t,Elongation,Activation
-0,0.24444,0.099248
0.01,0.24607,0.135422
0.02,0.24407,0.167218
0.03,0.24375,0.187467
0.04,0.2456,0.194876
0.05,0.24804,0.192884
0.06,0.25027,0.185748
0.07,0.25235,0.176748
0.08,0.25443,0.168483
0.09,0.25649,0.16344
0.1,0.25847,0.162067
0.11,0.26032,0.163003
0.12,0.26199,0.164872
0.13,0.26345,0.167873
0.14,0.26467,0.173766
0.15,0.2656,0.182409
0.16,0.26618,0.193219
0.17,0.26631,0.20605
0.18,0.26587,0.223339
0.19,0.2647,0.24708
0.2,0.26258,0.277154
0.21,0.25923,0.312215
0.22,0.2543,0.35227
0.23,0.24745,0.393682
0.24,0.23835,0.429832
0.25,0.22663,0.448417
0.26,0.21184,0.441789
0.27,0.19372,0.419018
0.28,0.17228,0.392424
0.29,0.14775,0.366614
0.3,0.12064,0.338787
0.31,0.0915699999999999,0.306056
0.32,0.0625500000000001,0.270455
0.33,0.0367500000000001,0.233848
0.34,0.0138400000000001,0.196758
0.35,-0.008158,0.158448
0.36,-0.0306380000000001,0.11932
0.37,-0.053997,0.083193
0.38,-0.078082,0.053832
0.39,-0.102563,0.032356
0.4,-0.127077,0.018225
0.41,-0.151273,0.010083
0.42,-0.17482,0.00657
0.43,-0.197415,0.006379
0.44,-0.218799,0.008473
0.45,-0.238777,0.012115
0.46,-0.257218,0.016668
0.47,-0.270047,0.021484
0.48,-0.273747,0.025972
0.49,-0.268387,0.02886
0.5,-0.256975,0.030211
0.51,-0.24297,0.030679
0.52,-0.228281,0.030761
0.53,-0.213428,0.030105
0.54,-0.198467,0.028096
0.55,-0.183466,0.025108
0.56,-0.16853,0.022005
0.57,-0.153749,0.019646
0.58,-0.13916,0.018655
0.59,-0.124783,0.019028
0.6,-0.110639,0.020116
0.61,-0.096735,0.021098
0.62,-0.083082,0.021593
0.63,-0.069686,0.021591
0.64,-0.056319,0.021197
0.65,-0.043114,0.020449
0.66,-0.0300280000000001,0.019286
0.67,-0.016883,0.017832
0.68,-0.00350099999999998,0.016473
0.69,0.0101899999999999,0.015394
0.7,0.02413,0.014494
0.71,0.0382499999999999,0.01392
0.72,0.0525199999999999,0.013994
0.73,0.0669,0.014922
0.74,0.0812600000000001,0.016602
0.75,0.09535,0.018549
0.76,0.10886,0.020008
0.77,0.12147,0.020304
0.78,0.13294,0.019407
0.79,0.14306,0.018149
0.8,0.15166,0.017283
0.81,0.15858,0.017302
0.82,0.16366,0.018176
0.83,0.16679,0.01957
0.84,0.1679,0.021036
0.85,0.16699,0.022133
0.86,0.16409,0.022535
0.87,0.15932,0.022381
0.88,0.15287,0.021872
0.89,0.14502,0.02122
0.9,0.1361,0.020655
0.91,0.12645,0.020538
0.92,0.11642,0.021017
0.93,0.10636,0.022033
0.94,0.09659,0.023507
0.95,0.0873900000000001,0.025473
0.96,0.0789599999999999,0.027671
0.97,0.0714999999999999,0.029567
0.98,0.06515,0.031231
0.99,0.0600000000000001,0.033091
1,0.0561199999999999,0.034949
1.01,0.0535300000000001,0.036107
1.02,0.0522100000000001,0.03608
1.03,0.05209,0.034894
1.04,0.05308,0.033002
1.05,0.0550600000000001,0.03152
1.06,0.0579099999999999,0.031806
1.07,0.0615000000000001,0.034746
1.08,0.0657300000000001,0.040367
1.09,0.0704800000000001,0.04831
1.1,0.0756699999999999,0.057718
1.11,0.08121,0.0676
1.12,0.08704,0.075479
1.13,0.09311,0.080972
1.14,0.09935,0.084596
1.15,0.10573,0.089023
1.16,0.1122,0.095723
1.17,0.11873,0.105466
1.18,0.1253,0.118243
1.19,0.13187,0.132535
1.2,0.13845,0.14603
1.21,0.14501,0.15832
1.22,0.15156,0.170317
1.23,0.15808,0.179062
1.24,0.16455,0.178716
1.25,0.17096,0.16815
1.26,0.17731,0.151516
1.27,0.18356,0.132254
1.28,0.18968,0.113461
1.29,0.19565,0.098523
1.3,0.20143,0.08995
1.31,0.207,0.089569
1.32,0.21236,0.09812
1.33,0.21748,0.115586
1.34,0.22234,0.140827
1.35,0.22695,0.169877
1.36,0.2313,0.199078
1.37,0.23541,0.227271
1.38,0.23927,0.251631
1.39,0.2429,0.268528
1.4,0.24631,0.276207
1.41,0.2495,0.276195
1.42,0.25249,0.270166
1.43,0.25527,0.257626
1.44,0.25784,0.238798
1.45,0.26022,0.218
1.46,0.26241,0.199703
1.47,0.2644,0.184386
1.48,0.26621,0.171018
1.49,0.26783,0.161486
1.5,0.26926,0.160069
1.51,0.27048,0.167194
1.52,0.27147,0.18109
1.53,0.27215,0.196779
1.54,0.27245,0.208465
1.55,0.27222,0.213525
1.56,0.27127,0.209965
1.57,0.26937,0.202003
1.58,0.26619,0.192379
1.59,0.26136,0.184449
1.6,0.25442,0.18364
1.61,0.24488,0.19081
1.62,0.23239,0.20129
1.63,0.21664,0.208467
1.64,0.19736,0.211358
1.65,0.17467,0.212476
1.66,0.14896,0.208311
1.67,0.12087,0.198901
1.68,0.0910599999999999,0.188081
1.69,0.0606899999999999,0.176769
1.7,0.0333300000000001,0.163132
1.71,0.00882000000000005,0.146933
1.72,-0.01479,0.128349
1.73,-0.038792,0.106547
1.74,-0.06352,0.08218
1.75,-0.088813,0.057898
1.76,-0.114353,0.038995
1.77,-0.139797,0.02509
1.78,-0.164804,0.015851
1.79,-0.189048,0.010493
1.8,-0.212229,0.008114
1.81,-0.234087,0.007767
1.82,-0.254426,0.008603
1.83,-0.273464,0.010002
1.84,-0.285298,0.011485
1.85,-0.287465,0.012806
1.86,-0.281251,0.013878
1.87,-0.269845,0.014686
1.88,-0.256082,0.015161
1.89,-0.241363,0.015415
1.9,-0.226093,0.015597
1.91,-0.210409,0.015679
1.92,-0.194481,0.015847
1.93,-0.178484,0.016591
1.94,-0.162571,0.018287
1.95,-0.146865,0.021105
1.96,-0.131449,0.024733
1.97,-0.116399,0.02828
1.98,-0.101787,0.03049
1.99,-0.087657,0.030476
2,-0.073797,0.028966
2.01,-0.0604789999999999,0.027349
2.02,-0.047688,0.026123
2.03,-0.035235,0.025164
2.04,-0.022944,0.024363
2.05,-0.0106889999999999,0.023674
2.06,0.00164000000000009,0.023022
2.07,0.01407,0.022506
2.08,0.0265599999999999,0.022109
2.09,0.0390999999999999,0.021748
2.1,0.05166,0.021137
2.11,0.0641799999999999,0.020081
2.12,0.0764800000000001,0.018717
2.13,0.0882700000000001,0.017423
2.14,0.0992500000000001,0.016359
2.15,0.10916,0.015554
2.16,0.11779,0.014893
2.17,0.12494,0.014414
2.18,0.13046,0.014168
2.19,0.13423,0.014125
2.2,0.13617,0.014138
2.21,0.13624,0.013994
2.22,0.1345,0.013885
2.23,0.13107,0.014015
2.24,0.12616,0.014331
2.25,0.12004,0.014701
2.26,0.11301,0.014871
2.27,0.10542,0.014786
2.28,0.09762,0.014897
2.29,0.0899300000000001,0.015781
2.3,0.0826800000000001,0.017739
2.31,0.07612,0.020705
2.32,0.07046,0.024448
2.33,0.0658799999999999,0.028772
2.34,0.0624800000000001,0.033941
2.35,0.06033,0.040141
2.36,0.05942,0.046987
2.37,0.05969,0.053683
2.38,0.0609999999999999,0.060254
2.39,0.06321,0.06545
2.4,0.0661499999999999,0.067838
2.41,0.0696600000000001,0.065355
2.42,0.0736000000000001,0.058889
2.43,0.0778799999999999,0.050974
2.44,0.0824,0.044052
2.45,0.0871299999999999,0.039661
2.46,0.09205,0.038369
2.47,0.09714,0.039836
2.48,0.10237,0.043206
2.49,0.10775,0.048062
2.5,0.11324,0.054152
2.51,0.11883,0.061012
2.52,0.12448,0.067615
2.53,0.13017,0.072447
2.54,0.13587,0.076688
2.55,0.14154,0.082235
2.56,0.14718,0.089129
2.57,0.15275,0.096208
2.58,0.15826,0.10282
2.59,0.16367,0.107435
2.6,0.16899,0.109853
2.61,0.1742,0.111941
2.62,0.1793,0.114265
2.63,0.18428,0.116165
2.64,0.18914,0.117895
2.65,0.19387,0.121339
2.66,0.19845,0.128583
2.67,0.2029,0.140817
2.68,0.2072,0.15809
2.69,0.21136,0.175878
2.7,0.21537,0.188391
2.71,0.21923,0.192868
2.72,0.22294,0.192093
2.73,0.2265,0.189548
2.74,0.22989,0.187186
2.75,0.23313,0.18498
