t,Elongation,Activation
-0,0.0447299999999999,0
0.01,0.03813,0
0.02,0.0240199999999999,0.012065
0.03,0.00679999999999992,0.035674
0.04,-0.01126,0.050394
0.05,-0.029607,0.056896
0.06,-0.048271,0.05696
0.07,-0.067314,0.052301
0.08,-0.08668,0.045655
0.09,-0.106227,0.039461
0.1,-0.125761,0.034709
0.11,-0.145057,0.031501
0.12,-0.163893,0.029481
0.13,-0.182054,0.02807
0.14,-0.19935,0.026689
0.15,-0.215625,0.024562
0.16,-0.227949,0.022075
0.17,-0.232112,0.01965
0.18,-0.227203,0.017729
0.19,-0.215535,0.016756
0.2,-0.200524,0.016906
0.21,-0.184408,0.018037
0.22,-0.168015,0.019679
0.23,-0.151598,0.02114
0.24,-0.135366,0.022106
0.25,-0.119539,0.023007
0.26,-0.104285,0.024149
0.27,-0.089691,0.025488
0.28,-0.075789,0.026687
0.29,-0.0625830000000001,0.027042
0.3,-0.05006,0.026357
0.31,-0.038192,0.025132
0.32,-0.026753,0.024071
0.33,-0.01588,0.023606
0.34,-0.00556000000000001,0.023536
0.35,0.00434000000000001,0.023568
0.36,0.01389,0.023563
0.37,0.02315,0.023287
0.38,0.0321899999999999,0.022505
0.39,0.04114,0.02104
0.4,0.0501,0.019215
0.41,0.0591999999999999,0.017433
0.42,0.0685199999999999,0.016051
0.43,0.0781400000000001,0.015337
0.44,0.08809,0.015363
0.45,0.0983700000000001,0.015769
0.46,0.10894,0.016188
0.47,0.11966,0.016325
0.48,0.13035,0.016051
0.49,0.14081,0.015566
0.5,0.15085,0.01541
0.51,0.16029,0.016151
0.52,0.16894,0.017989
0.53,0.17665,0.020706
0.54,0.18327,0.0236
0.55,0.18865,0.025776
0.56,0.19267,0.026256
0.57,0.19525,0.025201
0.58,0.19634,0.023523
0.59,0.19592,0.021867
0.6,0.19403,0.020381
0.61,0.19076,0.019061
0.62,0.18623,0.018238
0.63,0.1806,0.018445
0.64,0.17407,0.0199
0.65,0.16688,0.022301
0.66,0.1593,0.025059
0.67,0.15158,0.027769
0.68,0.14398,0.030287
0.69,0.13669,0.032162
0.7,0.12988,0.032583
0.71,0.12368,0.03099
0.72,0.11816,0.028172
0.73,0.11337,0.025248
0.74,0.10928,0.022888
0.75,0.10586,0.021473
0.76,0.10303,0.021164
0.77,0.1007,0.02175
0.78,0.09877,0.02269
0.79,0.0971599999999999,0.023576
0.8,0.09578,0.024099
0.81,0.09457,0.024211
0.82,0.09352,0.024115
0.83,0.09263,0.024149
0.84,0.0919300000000001,0.024912
0.85,0.0914699999999999,0.026827
0.86,0.09131,0.029574
0.87,0.09151,0.03249
0.88,0.0921099999999999,0.035584
0.89,0.09314,0.039076
0.9,0.09463,0.042537
0.91,0.09657,0.045424
0.92,0.09894,0.047451
0.93,0.10171,0.048603
0.94,0.10483,0.050006
0.95,0.10827,0.05346
0.96,0.11198,0.059676
0.97,0.11592,0.068193
