t,Elongation,Activation
-0,0.05782,0
0.01,0.0485500000000001,0
0.02,0.0345200000000001,0.020734
0.03,0.01898,0.043857
0.04,0.00337999999999994,0.056637
0.05,-0.012342,0.060849
0.06,-0.028533,0.059117
0.07,-0.04531,0.05321
0.08,-0.062595,0.045052
0.09,-0.080413,0.036747
0.1,-0.098479,0.029524
0.11,-0.11647,0.024098
0.12,-0.134116,0.020525
0.13,-0.151184,0.018434
0.14,-0.16748,0.017388
0.15,-0.182839,0.016893
0.16,-0.197132,0.016598
0.17,-0.209563,0.016164
0.18,-0.213754,0.015702
0.19,-0.207865,0.015752
0.2,-0.195005,0.016487
0.21,-0.17939,0.017795
0.22,-0.163296,0.019221
0.23,-0.147281,0.020017
0.24,-0.131415,0.01988
0.25,-0.115824,0.019164
0.26,-0.100696,0.01821
0.27,-0.086166,0.017395
0.28,-0.072296,0.01686
0.29,-0.059094,0.016327
0.3,-0.046557,0.015641
0.31,-0.0346689999999999,0.01497
0.32,-0.020734,0.014557
0.33,-0.007575,0.014606
0.34,0.00377999999999989,0.014983
0.35,0.01389,0.015429
0.36,0.02346,0.015802
0.37,0.0328299999999999,0.016019
0.38,0.0421100000000001,0.016073
0.39,0.05138,0.015848
0.4,0.0607500000000001,0.015437
0.41,0.07036,0.014906
0.42,0.0803,0.014528
0.43,0.09063,0.014426
0.44,0.1014,0.014556
0.45,0.1126,0.014785
0.46,0.12415,0.014816
0.47,0.13589,0.0144
0.48,0.1476,0.013506
0.49,0.15901,0.012435
0.5,0.16989,0.011456
0.51,0.18006,0.010801
0.52,0.18933,0.010607
0.53,0.1975,0.010916
0.54,0.20443,0.011601
0.55,0.20995,0.012392
0.56,0.21396,0.01284
0.57,0.21636,0.012802
0.58,0.21713,0.012473
0.59,0.21627,0.012029
0.6,0.21386,0.011586
0.61,0.21001,0.011175
0.62,0.20484,0.010863
0.63,0.19857,0.010855
0.64,0.19145,0.01133
0.65,0.18374,0.0123
0.66,0.17573,0.013629
0.67,0.1677,0.01515
0.68,0.15989,0.016768
0.69,0.1525,0.018208
0.7,0.14569,0.019019
0.71,0.13959,0.018824
0.72,0.13424,0.017982
0.73,0.12966,0.017175
0.74,0.12583,0.016663
0.75,0.12267,0.016599
0.76,0.1201,0.017199
0.77,0.11799,0.018472
0.78,0.11623,0.020095
0.79,0.11473,0.021448
0.8,0.11339,0.022303
0.81,0.11216,0.022779
0.82,0.11102,0.0232
0.83,0.10999,0.024099
0.84,0.10909,0.025649
0.85,0.10838,0.027796
0.86,0.10792,0.03011
0.87,0.10779,0.031935
0.88,0.10804,0.033057
0.89,0.10872,0.033745
0.9,0.10984,0.034033
0.91,0.11142,0.033435
0.92,0.11346,0.031602
0.93,0.11592,0.028744
0.94,0.11877,0.02563
0.95,0.12198,0.023349
0.96,0.12551,0.022318
0.97,0.12933,0.022387
0.98,0.13339,0.023019
0.99,0.13769,0.023864
1,0.14219,0.024765
1.01,0.14687,0.026184
1.02,0.15173,0.028598
1.03,0.15672,0.032209
1.04,0.16183,0.037174
1.05,0.16703,0.043692
1.06,0.17227,0.051422
1.07,0.17754,0.059699
1.08,0.1828,0.067301
1.09,0.18801,0.073922
1.1,0.19315,0.081505
1.11,0.19819,0.090825
1.12,0.20311,0.101667
1.13,0.2079,0.113989
1.14,0.21253,0.1268
1.15,0.21699,0.13919
1.16,0.22129,0.150681
1.17,0.22541,0.159837
1.18,0.22937,0.165037
1.19,0.23316,0.164517
1.2,0.2368,0.158
1.21,0.24032,0.146786
1.22,0.24372,0.134258
1.23,0.24703,0.123481
1.24,0.25028,0.117654
1.25,0.25349,0.121919
1.26,0.25667,0.139795
1.27,0.25984,0.173894
1.28,0.26301,0.227448
1.29,0.26616,0.289719
1.3,0.26932,0.35036
1.31,0.27245,0.394865
1.32,0.27555,0.415888
1.33,0.27859,0.415603
1.34,0.28154,0.396621
1.35,0.28438,0.366251
1.36,0.28706,0.332854
1.37,0.28953,0.301071
1.38,0.29176,0.271135
1.39,0.2937,0.243885
1.4,0.29529,0.217894
1.41,0.29647,0.190953
1.42,0.29721,0.166791
1.43,0.29743,0.148063
1.44,0.2971,0.135566
1.45,0.29615,0.127151
1.46,0.29453,0.121818
1.47,0.29219,0.119041
1.48,0.28904,0.121279
1.49,0.28502,0.129855
1.5,0.28002,0.142078
1.51,0.27392,0.151895
1.52,0.26656,0.154873
1.53,0.25779,0.154194
1.54,0.24753,0.153858
1.55,0.23571,0.153268
1.56,0.22212,0.149824
1.57,0.20659,0.145251
1.58,0.18908,0.141185
1.59,0.16973,0.13629
1.6,0.14866,0.126891
1.61,0.12609,0.112861
1.62,0.10228,0.097167
1.63,0.07734,0.081223
1.64,0.0523199999999999,0.065795
1.65,0.0297499999999999,0.051872
1.66,0.00940000000000007,0.040898
1.67,-0.0102179999999999,0.033259
1.68,-0.030071,0.028344
1.69,-0.05042,0.025196
1.7,-0.071308,0.022919
1.71,-0.09244,0.020769
1.72,-0.113508,0.018902
1.73,-0.134236,0.017867
1.74,-0.154397,0.017873
1.75,-0.173779,0.018779
1.76,-0.1922,0.020066
1.77,-0.209516,0.020742
1.78,-0.222802,0.020112
1.79,-0.228569,0.018603
1.8,-0.226338,0.016862
1.81,-0.217987,0.015253
1.82,-0.206072,0.013778
1.83,-0.192434,0.012299
1.84,-0.177945,0.010787
1.85,-0.162963,0.009475
1.86,-0.147714,0.00877
1.87,-0.132429,0.008584
1.88,-0.117323,0.008799
1.89,-0.102553,0.009384
1.9,-0.08822,0.01043
1.91,-0.0744010000000001,0.011895
1.92,-0.061136,0.013521
1.93,-0.048439,0.014922
1.94,-0.036301,0.015871
1.95,-0.021967,0.016364
1.96,-0.00830399999999998,0.016787
1.97,0.00366,0.017429
1.98,0.0144899999999999,0.018323
1.99,0.0248900000000001,0.019275
2,0.0351300000000001,0.020095
2.01,0.0452699999999999,0.020708
2.02,0.0552999999999999,0.020753
2.03,0.0652600000000001,0.020181
2.04,0.07517,0.019284
2.05,0.08504,0.018113
2.06,0.0948599999999999,0.016796
2.07,0.10461,0.015385
2.08,0.11426,0.01383
2.09,0.12374,0.012308
2.1,0.13298,0.011109
2.11,0.14186,0.010334
2.12,0.15027,0.009953
2.13,0.15809,0.009805
2.14,0.16523,0.009768
2.15,0.17158,0.009818
2.16,0.17704,0.009991
2.17,0.18149,0.010143
2.18,0.18484,0.00992
2.19,0.18697,0.009185
2.2,0.18781,0.008157
2.21,0.18728,0.007071
2.22,0.18537,0.006176
2.23,0.18211,0.00561
2.24,0.17757,0.005405
2.25,0.1719,0.005561
2.26,0.16531,0.006055
2.27,0.15804,0.006802
2.28,0.15034,0.007675
2.29,0.1425,0.008596
2.3,0.13477,0.009536
2.31,0.1274,0.010489
2.32,0.12061,0.011454
2.33,0.11455,0.012466
