t,Angle
0,-7.87192263
0.01,-7.57320135
0.02,-7.25955736
0.03,-6.92806217
0.04,-6.56239571
0.05,-6.17833357
0.06,-5.81603857
0.07,-5.4622827
0.08,-5.13561478
0.09,-4.86644522
0.1,-4.64844963
0.11,-4.49858396
0.12,-4.42625218
0.13,-4.476011
0.14,-4.60109546
0.15,-4.82746128
0.16,-5.16918344
0.17,-5.62209369
0.18,-6.20419397
0.19,-6.93274935
0.2,-7.81180899
0.21,-8.87187709
0.22,-10.14735229
0.23,-11.64213527
0.24,-13.37363055
0.25,-15.35762949
0.26,-17.58500539
0.27,-20.05403863
0.28,-22.74415959
0.29,-25.62807806
0.3,-28.66531842
0.31,-31.82791582
0.32,-35.02054567
0.33,-38.24582081
0.34,-41.43226531
0.35,-44.50822351
0.36,-47.47274165
0.37,-50.26463152
0.38,-52.85056275
0.39,-55.18705988
0.4,-57.24847969
0.41,-58.97498097
0.42,-60.41107504
0.43,-61.52006593
0.44,-62.27402059
0.45,-62.69896593
0.46,-62.70934143
0.47,-62.43042192
0.48,-61.84017943
0.49,-60.95504999
0.5,-59.8020729
0.51,-58.40220169
0.52,-56.77228087
0.53,-54.94226919
0.54,-52.92231404
0.55,-50.73181603
0.56,-48.38593213
0.57,-45.9070083
0.58,-43.27775463
0.59,-40.52794286
0.6,-37.65944785
0.61,-34.68328382
0.62,-31.6124786
0.63,-28.46797975
0.64,-25.28416363
0.65,-22.10661218
0.66,-18.99969747
0.67,-16.03777259
0.68,-13.2985589
0.69,-10.86400357
0.7,-8.80088181
0.71,-7.16129976
0.72,-5.99596318
0.73,-5.24482578
0.74,-4.97774533
0.75,-5.1103579
0.76,-5.61518489
0.77,-6.43715723
0.78,-7.53702085
0.79,-8.79723707
0.8,-10.18286162
0.81,-11.64597592
0.82,-13.05063083
0.83,-14.45636783
0.84,-15.7119287
0.85,-16.81496119
0.86,-17.80987539
0.87,-18.64116476
0.88,-19.3202257
0.89,-19.85682678
0.9,-20.28517803
0.91,-20.57259592
0.92,-20.72730197
0.93,-20.81136067
0.94,-20.80106283
0.95,-20.7153785
0.96,-20.53057857
0.97,-20.2497012
0.98,-19.85543429
0.99,-19.39952709
1,-18.82324773
1.01,-18.1555014
1.02,-17.41296964
1.03,-16.60577974
1.04,-15.7607998
1.05,-14.88974643
1.06,-14.0105648
1.07,-13.13298807
1.08,-12.27171575
1.09,-11.41953669
1.1,-10.59875476
1.11,-9.80332836
1.12,-9.04592899
1.13,-8.3238902
1.14,-7.65082392
1.15,-7.01166428
1.16,-6.42724868
1.17,-5.89065457
1.18,-5.43325257
1.19,-4.99447385
1.2,-4.63147187
1.21,-4.30908276
1.22,-4.04626369
1.23,-3.83734881
1.24,-3.67467613
1.25,-3.57647306
1.26,-3.55722769
1.27,-3.61842388
1.28,-3.76595177
1.29,-4.04703579
1.3,-4.4631548
1.31,-5.03037453
1.32,-5.75817454
1.33,-6.68031928
1.34,-7.81107883
1.35,-9.18292345
1.36,-10.80946403
1.37,-12.69944386
1.38,-14.87256597
1.39,-17.31541051
1.4,-20.01395939
1.41,-22.93625805
1.42,-26.04535764
1.43,-29.28655506
1.44,-32.60946988
1.45,-35.94875959
1.46,-39.25369297
1.47,-42.4753326
1.48,-45.5677089
1.49,-48.51075133
1.5,-51.27286386
1.51,-53.82569363
1.52,-56.13508624
1.53,-58.17587158
1.54,-59.93016162
1.55,-61.37437475
1.56,-62.51661696
1.57,-63.33192345
1.58,-63.8187037
1.59,-63.97971635
1.6,-63.8798524
1.61,-63.40252255
1.62,-62.68643905
1.63,-61.7091638
1.64,-60.48292174
1.65,-59.02994636
1.66,-57.37142778
1.67,-55.48969472
1.68,-53.43723936
1.69,-51.21470786
1.7,-48.82711606
1.71,-46.29850953
1.72,-43.61119773
1.73,-40.79493308
1.74,-37.85363267
1.75,-34.79633469
1.76,-31.64177602
1.77,-28.40972113
1.78,-25.13711282
1.79,-21.87103768
1.8,-18.67172857
1.81,-15.61555483
1.82,-12.7874413
1.83,-10.26347882
1.84,-8.11751345
1.85,-6.40407118
1.86,-5.13480468
1.87,-4.36234206
1.88,-3.99516452
1.89,-4.04569353
1.9,-4.4785889
1.91,-5.20981999
1.92,-6.20054208
1.93,-7.35379717
1.94,-8.62237662
1.95,-9.96795927
1.96,-11.29745248
1.97,-12.55761892
1.98,-13.78266314
1.99,-14.9433793
2,-15.91995057
2.01,-16.84170963
2.02,-17.61114766
2.03,-18.23098025
2.04,-18.71063397
2.05,-19.09210324
2.06,-19.36752407
2.07,-19.53696124
2.08,-19.61375069
2.09,-19.60733084
2.1,-19.51355858
2.11,-19.33588572
2.12,-19.04624675
2.13,-18.71843098
2.14,-18.28221083
2.15,-17.779317
2.16,-17.20593276
2.17,-16.5723975
2.18,-15.85240945
2.19,-15.13360007
2.2,-14.42490859
2.21,-13.66689398
2.22,-12.94286663
2.23,-12.23686986
2.24,-11.56765634
2.25,-10.90369721
2.26,-10.2999685
2.27,-9.71862772
2.28,-9.16529989
2.29,-8.6466647
2.3,-8.18395701
2.31,-7.73081834
2.32,-7.31928454
2.33,-6.95168626
2.34,-6.59783965
2.35,-6.29573574
2.36,-6.03271501
2.37,-5.81338858
2.38,-5.62898667
2.39,-5.454257
2.4,-5.38705981
2.41,-5.32655928
2.42,-5.34169195
2.43,-5.42826745
2.44,-5.59598204
2.45,-5.85972358
2.46,-6.23596631
2.47,-6.73930553
2.48,-7.40143527
2.49,-8.21423016
2.5,-9.22497961
2.51,-10.43601904
2.52,-11.90704145
2.53,-13.60316676
2.54,-15.5679769
2.55,-17.79171389
2.56,-20.26187887
2.57,-22.96072036
2.58,-25.84941437
2.59,-28.89061789
2.6,-32.02956441
2.61,-35.23569853
2.62,-38.41064346
2.63,-41.51930586
2.64,-44.54916874
2.65,-47.44480359
2.66,-50.17620519
2.67,-52.71509402
2.68,-55.02201674
2.69,-57.06923216
2.7,-58.83629623
2.71,-60.3028133
2.72,-61.45997103
2.73,-62.29705712
2.74,-62.80923045
2.75,-63.00015194
2.76,-62.88172764
2.77,-62.4708467
2.78,-61.78464102
2.79,-60.83777837
2.8,-59.65067876
2.81,-58.24337343
2.82,-56.62716319
2.83,-54.82707005
2.84,-52.8632079
2.85,-50.73749813
2.86,-48.46692687
2.87,-46.06015644
2.88,-43.53269144
2.89,-40.89302636
2.9,-38.15174261
2.91,-35.31272964
2.92,-32.38511028
2.93,-29.38937934
2.94,-26.34559768
2.95,-23.28495525
2.96,-20.2501452
2.97,-17.29549676
2.98,-14.48842681
2.99,-11.89934012
3,-9.59426378
3.01,-7.63255293
3.02,-6.05212508
3.03,-4.87898908
3.04,-4.1210964
3.05,-3.73437235
3.06,-3.7348454
3.07,-4.01872122
3.08,-4.60077261
3.09,-5.40428384
3.1,-6.36929822
3.11,-7.46337679
3.12,-8.62173207
3.13,-9.84913216
3.14,-11.10613626
3.15,-12.36360695
3.16,-13.56260744
3.17,-14.72891347
3.18,-15.81721262
3.19,-16.82994163
3.2,-17.68722328
3.21,-18.44043955
3.22,-19.08016659
3.23,-19.56676529
3.24,-19.91133879
3.25,-20.15148728
3.26,-20.27771365
3.27,-20.29201924
3.28,-20.19570176
3.29,-19.98515671
3.3,-19.64002805
3.31,-19.22133141
3.32,-18.70074295
3.33,-18.08926215
3.34,-17.37279583
3.35,-16.57787809
3.36,-15.72926433
3.37,-14.83948238
3.38,-13.92603276
3.39,-13.00747079
3.4,-12.0738087
3.41,-11.19159646
3.42,-10.32021205
3.43,-9.48024058
3.44,-8.6972002
3.45,-7.96152079
3.46,-7.29188639
3.47,-6.67351894
3.48,-6.14949803
3.49,-5.6656651
3.5,-5.25658425
3.51,-4.86158544
3.52,-4.5608403
3.53,-4.3070651
3.54,-4.10046467
3.55,-3.94442004
3.56,-3.82362768
3.57,-3.77936889
3.58,-3.78490519
3.59,-3.85480476
3.6,-4.01740288
3.61,-4.27457734
3.62,-4.63252686
3.63,-5.11378424
3.64,-5.71933213
3.65,-6.48176491
3.66,-7.40675927
3.67,-8.50557367
3.68,-9.81915375
3.69,-11.36898424
3.7,-13.15574546
3.71,-15.20087682
3.72,-17.50573045
3.73,-20.05732693
3.74,-22.84534825
3.75,-25.83367708
3.76,-28.998353
3.77,-32.24741312
3.78,-35.56665784
3.79,-38.86425499
3.8,-42.11088402
3.81,-45.25258979
3.82,-48.24885519
3.83,-51.071398
3.84,-53.68743826
3.85,-56.06265815
3.86,-58.16715639
3.87,-59.97226626
3.88,-61.46791043
3.89,-62.64319795
3.9,-63.47722065
3.91,-63.96954513
3.92,-64.13502555
3.93,-63.97323588
3.94,-63.51630237
3.95,-62.7778896
3.96,-61.77860341
3.97,-60.54252394
3.98,-59.0892677
3.99,-57.44464009
4,-55.61476455
4.01,-53.63449152
4.02,-51.50919149
4.03,-49.25751611
4.04,-46.9117873
4.05,-44.42662343
4.06,-41.86795937
4.07,-39.20950876
4.08,-36.47147641
4.09,-33.65150839
4.1,-30.75304023
4.11,-27.78933292
4.12,-24.77558947
4.13,-21.76175292
4.14,-18.77404192
4.15,-15.8893325
4.16,-13.17609015
4.17,-10.71590736
4.18,-8.57344606
4.19,-6.80179237
4.2,-5.42700999
4.21,-4.45252389
4.22,-3.84760125
4.23,-3.58670656
4.24,-3.5936168
4.25,-3.82534536
4.26,-4.18521449
4.27,-4.64101006
4.28,-5.13494438
4.29,-5.64411563
4.3,-6.12374244
4.31,-6.57664051
4.32,-6.99708022
4.33,-7.40175105
4.34,-7.79426793
4.35,-8.1358585
4.36,-8.47332425
4.37,-8.76237698
4.38,-9.00967215
4.39,-9.19624958
4.4,-9.34026483
4.41,-9.44540536
4.42,-9.49287486
4.43,-9.48216106
4.44,-9.41427822
4.45,-9.27768152
4.46,-9.03625513
4.47,-8.76348705
4.48,-8.42290795
4.49,-8.00243739
4.5,-7.53564722
4.51,-7.01045995
4.52,-6.44979116
4.53,-5.88816407
4.54,-5.30912097
4.55,-4.7639941
4.56,-4.25781796
4.57,-3.80423779
4.58,-3.37396743
4.59,-3.00472509
4.6,-2.68764749
4.61,-2.41374174
4.62,-2.18524011
4.63,-2.01364458
4.64,-1.88531726
4.65,-1.79348382
4.66,-1.7349095
4.67,-1.73136012
4.68,-1.78069893
4.69,-1.84094009
4.7,-1.95713189
4.71,-2.10010247
4.72,-2.27328349
4.73,-2.47456228
4.74,-2.72215352
4.75,-3.00909523
4.76,-3.33739643
4.77,-3.74009534
4.78,-4.2433157
4.79,-4.84057921
4.8,-5.56353638
4.81,-6.42288852
4.82,-7.4546001
4.83,-8.67585527
4.84,-10.12844593
4.85,-11.82162953
4.86,-13.77187023
4.87,-16.00485923
4.88,-18.51823754
4.89,-21.29018239
4.9,-24.29768822
4.91,-27.5023661
4.92,-30.85368026
4.93,-34.29948665
4.94,-37.76806235
4.95,-41.20515818
4.96,-44.5583494
4.97,-47.77282497
4.98,-50.81764991
4.99,-53.64780875
5,-56.23786383
5.01,-58.55364167
5.02,-60.57159175
5.03,-62.25565456
5.04,-63.63213035
5.05,-64.66865084
5.06,-65.35636404
5.07,-65.73483533
5.08,-65.69886649
5.09,-65.38436097
5.1,-64.76918047
5.11,-63.86879715
5.12,-62.69747035
5.13,-61.27882879
5.14,-59.64388056
5.15,-57.78677708
5.16,-55.75371403
5.17,-53.56188588
5.18,-51.21379227
5.19,-48.73615846
5.2,-46.15321617
5.21,-43.46880696
5.22,-40.69152955
5.23,-37.8573469
5.24,-34.94335462
5.25,-31.98232994
5.26,-28.98307965
5.27,-25.98096722
5.28,-22.98132913
5.29,-20.03484931
5.3,-17.19495671
5.31,-14.49961564
5.32,-12.01357295
5.33,-9.7872691
5.34,-7.85917333
5.35,-6.26196685
5.36,-5.00124676
5.37,-4.07737805
5.38,-3.46262003
5.39,-3.11500532
5.4,-3.01119917
5.41,-3.0931041
5.42,-3.32866825
5.43,-3.65272883
5.44,-4.0399811
5.45,-4.46621406
5.46,-4.8747748
5.47,-5.26261475
5.48,-5.6029529
5.49,-5.88932629
5.5,-6.10023217
5.51,-6.25354983
5.52,-6.35038029
5.53,-6.41936061
