t,Elongation,Activation
-0,0.0364899999999999,0.010844
0.01,0.03556,0.01508
0.02,0.02763,0.019285
0.03,0.0192300000000001,0.023178
0.04,0.0136400000000001,0.0268
0.05,0.0109399999999999,0.030016
0.06,0.0100899999999999,0.032431
0.07,0.0102800000000001,0.033669
0.08,0.0112300000000001,0.033709
0.09,0.01291,0.033207
0.1,0.01535,0.032966
0.11,0.0185299999999999,0.033441
0.12,0.0224,0.034761
0.13,0.0268600000000001,0.03659
0.14,0.0318000000000001,0.038393
0.15,0.03714,0.040267
0.16,0.0427599999999999,0.043599
0.17,0.0485500000000001,0.049242
0.18,0.0544500000000001,0.057779
0.19,0.06037,0.069032
0.2,0.0662700000000001,0.081567
0.21,0.07209,0.093289
0.22,0.0778000000000001,0.102563
0.23,0.0833900000000001,0.108493
0.24,0.0888500000000001,0.110346
0.25,0.09415,0.108665
0.26,0.09931,0.106105
0.27,0.10433,0.104486
0.28,0.10919,0.10426
0.29,0.11393,0.103909
0.3,0.11854,0.102386
0.31,0.12304,0.1014
0.32,0.12745,0.102677
0.33,0.13178,0.104907
0.34,0.13606,0.105248
0.35,0.14031,0.104288
0.36,0.14455,0.103961
0.37,0.14881,0.105444
0.38,0.15313,0.109573
0.39,0.1575,0.116563
0.4,0.16195,0.124094
0.41,0.16648,0.12941
0.42,0.1711,0.131544
0.43,0.17581,0.132533
0.44,0.18061,0.136729
0.45,0.18547,0.146896
0.46,0.19038,0.165207
0.47,0.19532,0.193792
0.48,0.20026,0.22833
0.49,0.20518,0.26614
0.5,0.21007,0.298866
0.51,0.21492,0.315132
0.52,0.21968,0.310297
0.53,0.22432,0.284476
0.54,0.22878,0.246985
0.55,0.23299,0.208134
0.56,0.2368,0.174141
0.57,0.24006,0.148135
0.58,0.24254,0.132815
0.59,0.244,0.128387
0.6,0.24413,0.131883
0.61,0.2426,0.139488
0.62,0.23905,0.147935
0.63,0.23315,0.155885
0.64,0.22469,0.162728
0.65,0.2135,0.170985
0.66,0.19943,0.184486
0.67,0.18251,0.204127
0.68,0.16299,0.227758
0.69,0.14121,0.250527
0.7,0.11766,0.264771
0.71,0.09273,0.264431
0.72,0.0668,0.248686
0.73,0.04054,0.222554
0.74,0.0160499999999999,0.191367
0.75,-0.00705299999999998,0.160059
0.76,-0.02973,0.131126
0.77,-0.052423,0.107132
0.78,-0.075115,0.092346
0.79,-0.097604,0.083836
0.8,-0.119641,0.078724
0.81,-0.140906,0.075211
0.82,-0.157096,0.071582
0.83,-0.166802,0.066359
0.84,-0.170552,0.057551
0.85,-0.169253,0.04657
0.86,-0.163774,0.035754
0.87,-0.155011,0.026333
0.88,-0.143964,0.019163
0.89,-0.131603,0.014597
0.9,-0.118676,0.012412
0.91,-0.105667,0.012168
0.92,-0.092871,0.01345
0.93,-0.080487,0.015791
0.94,-0.068634,0.018641
0.95,-0.057382,0.021702
0.96,-0.046766,0.024508
0.97,-0.036782,0.026428
0.98,-0.027403,0.027556
0.99,-0.01858,0.028394
1,-0.010088,0.029277
1.01,-0.00197000000000003,0.03017
1.02,0.00584000000000007,0.030484
1.03,0.01346,0.029358
1.04,0.02108,0.026712
1.05,0.02884,0.023629
1.06,0.0368999999999999,0.020988
1.07,0.0454000000000001,0.019175
1.08,0.0544500000000001,0.018369
1.09,0.0641400000000001,0.018398
1.1,0.07447,0.01876
1.11,0.0853900000000001,0.018918
1.12,0.0967499999999999,0.018583
1.13,0.10832,0.017761
1.14,0.11975,0.016738
1.15,0.13068,0.015684
1.16,0.14075,0.014779
1.17,0.14961,0.014295
1.18,0.15697,0.014366
1.19,0.16255,0.01489
1.2,0.16615,0.015734
1.21,0.16759,0.01668
1.22,0.1668,0.017335
1.23,0.16375,0.017484
1.24,0.15847,0.017252
1.25,0.15114,0.016799
1.26,0.14198,0.016517
1.27,0.13132,0.016803
1.28,0.11951,0.017723
1.29,0.10695,0.019461
1.3,0.0940099999999999,0.022373
1.31,0.0810599999999999,0.026488
1.32,0.06837,0.031353
1.33,0.05619,0.036449
1.34,0.0447299999999999,0.04242
1.35,0.03417,0.04945
1.36,0.02468,0.05665
1.37,0.01641,0.062829
1.38,0.00949,0.067205
1.39,0.00404000000000004,0.070284
1.4,0.000150000000000095,0.073696
1.41,-0.00213099999999999,0.077551
1.42,-0.00282199999999999,0.080977
1.43,-0.00201499999999999,0.083729
1.44,0.000140000000000029,0.086193
1.45,0.00344000000000011,0.089015
1.46,0.00767999999999991,0.093783
1.47,0.0126299999999999,0.100706
1.48,0.0181199999999999,0.107726
1.49,0.02397,0.111563
1.5,0.0300499999999999,0.1105
1.51,0.03626,0.107428
1.52,0.04254,0.104682
1.53,0.04884,0.102177
1.54,0.0551200000000001,0.100591
1.55,0.0613699999999999,0.100244
1.56,0.06758,0.100253
1.57,0.07376,0.098551
1.58,0.07989,0.09379
1.59,0.0859799999999999,0.086732
1.6,0.0920399999999999,0.078762
1.61,0.09806,0.072798
1.62,0.10404,0.070274
1.63,0.10998,0.071155
1.64,0.11587,0.074559
1.65,0.1217,0.079353
1.66,0.12746,0.084719
1.67,0.13314,0.09043
1.68,0.13872,0.096755
1.69,0.14419,0.103976
1.7,0.14954,0.110017
1.71,0.15475,0.113373
1.72,0.15983,0.115055
1.73,0.16477,0.116316
1.74,0.16957,0.117705
1.75,0.17425,0.120665
1.76,0.17883,0.12643
1.77,0.18333,0.132862
1.78,0.18777,0.136811
1.79,0.19216,0.136525
1.8,0.19653,0.132096
1.81,0.20088,0.126169
1.82,0.20519,0.122096
1.83,0.20945,0.120805
1.84,0.21359,0.121688
1.85,0.21756,0.124467
1.86,0.22123,0.129951
1.87,0.22447,0.138064
1.88,0.22711,0.148233
1.89,0.22892,0.158765
1.9,0.22964,0.165734
1.91,0.22899,0.165978
1.92,0.22663,0.158418
1.93,0.22227,0.145073
1.94,0.21567,0.13256
1.95,0.20663,0.125382
1.96,0.1949,0.124058
1.97,0.18034,0.126089
1.98,0.16303,0.129634
1.99,0.14316,0.133353
2,0.12108,0.134901
2.01,0.0971299999999999,0.132504
2.02,0.07178,0.12406
2.03,0.04532,0.108445
2.04,0.0204200000000001,0.089395
2.05,-0.00293399999999999,0.072613
2.06,-0.025772,0.0618
2.07,-0.048691,0.058165
2.08,-0.071761,0.060854
2.09,-0.0948,0.068239
2.1,-0.117557,0.078055
2.11,-0.139795,0.086983
2.12,-0.161296,0.092645
2.13,-0.180664,0.092696
2.14,-0.194229,0.084965
2.15,-0.201191,0.071449
2.16,-0.202471,0.055831
2.17,-0.199382,0.041302
2.18,-0.193157,0.029689
2.19,-0.184831,0.021646
2.2,-0.175213,0.017096
2.21,-0.164862,0.015495
2.22,-0.154126,0.016093
2.23,-0.143202,0.018038
2.24,-0.132193,0.020373
2.25,-0.121144,0.022181
2.26,-0.110062,0.022501
2.27,-0.098946,0.021103
2.28,-0.087788,0.018947
2.29,-0.076579,0.01692
2.3,-0.0653,0.015561
2.31,-0.053698,0.01499
2.32,-0.041849,0.01516
2.33,-0.029704,0.015999
2.34,-0.0170940000000001,0.017482
2.35,-0.00385199999999997,0.019377
2.36,0.0100899999999999,0.021161
2.37,0.0245899999999999,0.022146
2.38,0.0395099999999999,0.021781
2.39,0.0547,0.020239
2.4,0.07002,0.017911
2.41,0.0852200000000001,0.015484
2.42,0.0999000000000001,0.013542
2.43,0.11369,0.012396
2.44,0.12626,0.012007
2.45,0.13731,0.012286
2.46,0.1466,0.013032
2.47,0.15391,0.01395
2.48,0.15906,0.014801
2.49,0.16192,0.01538
2.5,0.16241,0.01575
2.51,0.16051,0.01617
2.52,0.1563,0.016751
2.53,0.14993,0.01741
2.54,0.14166,0.018313
2.55,0.13181,0.019666
2.56,0.12076,0.021528
2.57,0.10888,0.023789
