t,Elongation,Activation
-0,0.04477,0.001184
0.01,0.04345,0.007453
0.02,0.0377000000000001,0.013241
0.03,0.03203,0.018138
0.04,0.0284199999999999,0.021877
0.05,0.0266299999999999,0.024213
0.06,0.02593,0.025265
0.07,0.0258799999999999,0.025392
0.08,0.02647,0.025219
0.09,0.0277700000000001,0.025364
0.1,0.0298499999999999,0.025992
0.11,0.0326900000000001,0.027012
0.12,0.03624,0.028426
0.13,0.0404199999999999,0.030014
0.14,0.0451299999999999,0.031586
0.15,0.05026,0.033226
0.16,0.0557099999999999,0.035259
0.17,0.0613900000000001,0.037353
0.18,0.06721,0.039352
0.19,0.0730900000000001,0.041169
0.2,0.0789800000000001,0.042772
0.21,0.0848199999999999,0.044364
0.22,0.09057,0.04593
0.23,0.0962000000000001,0.047788
0.24,0.10169,0.050205
0.25,0.10703,0.052816
0.26,0.1122,0.056213
0.27,0.1172,0.060899
0.28,0.12204,0.066448
0.29,0.12671,0.071089
0.3,0.13122,0.073159
0.31,0.13559,0.07174
0.32,0.13985,0.067085
0.33,0.14401,0.061009
0.34,0.1481,0.055381
0.35,0.15215,0.05262
0.36,0.15619,0.054075
0.37,0.16027,0.059227
0.38,0.1644,0.066818
0.39,0.16861,0.075178
0.4,0.17292,0.081253
0.41,0.17734,0.083545
0.42,0.18188,0.082516
0.43,0.18652,0.080765
0.44,0.19126,0.081948
0.45,0.19608,0.087919
0.46,0.20096,0.099451
0.47,0.20588,0.116121
0.48,0.21083,0.133586
0.49,0.21577,0.149516
0.5,0.22069,0.160333
0.51,0.22557,0.162466
0.52,0.23038,0.154743
0.53,0.23508,0.139561
0.54,0.23962,0.11985
0.55,0.24389,0.098615
0.56,0.24777,0.078632
0.57,0.25108,0.06247
0.58,0.25363,0.052364
0.59,0.25514,0.048825
0.6,0.25532,0.050987
0.61,0.25383,0.05639
0.62,0.25037,0.061946
0.63,0.24465,0.066003
0.64,0.23643,0.069924
0.65,0.2255,0.07667
0.66,0.21167,0.08702
0.67,0.19499,0.099879
0.68,0.17575,0.114377
0.69,0.15432,0.127921
0.7,0.13118,0.135336
0.71,0.10469,0.132614
0.72,0.0775399999999999,0.119815
0.73,0.0522899999999999,0.100997
0.74,0.0305500000000001,0.080546
0.75,0.01136,0.062313
0.76,-0.00699099999999997,0.04831
0.77,-0.025442,0.038731
0.78,-0.044183,0.03397
0.79,-0.063024,0.031615
0.8,-0.081696,0.029418
0.81,-0.099955,0.026989
0.82,-0.117604,0.024414
0.83,-0.13486,0.021798
0.84,-0.14701,0.019146
0.85,-0.151799,0.016462
0.86,-0.149725,0.013851
0.87,-0.142619,0.011372
0.88,-0.132473,0.009277
0.89,-0.12079,0.007783
0.9,-0.108461,0.006992
0.91,-0.095976,0.006968
0.92,-0.083629,0.007656
0.93,-0.071639,0.008959
0.94,-0.06015,0.010732
0.95,-0.049247,0.012728
0.96,-0.0389699999999999,0.014509
0.97,-0.029318,0.015657
0.98,-0.020263,0.016464
0.99,-0.011757,0.017413
1,-0.00144699999999998,0.018621
1.01,0.00855000000000006,0.019992
1.02,0.0172399999999999,0.021204
1.03,0.02504,0.021553
1.04,0.03267,0.020662
1.05,0.0406,0.018982
1.06,0.0490200000000001,0.01703
1.07,0.0580400000000001,0.015092
1.08,0.0677399999999999,0.013329
1.09,0.0781799999999999,0.012158
1.1,0.0893600000000001,0.011657
1.11,0.10122,0.011694
1.12,0.11359,0.01174
1.13,0.1262,0.011426
1.14,0.13864,0.010861
1.15,0.15049,0.010131
1.16,0.16136,0.009364
1.17,0.17089,0.008692
1.18,0.17874,0.008221
1.19,0.18464,0.008061
1.2,0.18833,0.008208
1.21,0.18966,0.008565
1.22,0.18851,0.008891
1.23,0.18489,0.009052
1.24,0.17888,0.009228
1.25,0.17068,0.009449
1.26,0.16062,0.009665
1.27,0.14906,0.009755
1.28,0.13641,0.00951
1.29,0.12311,0.009031
1.3,0.10958,0.008723
1.31,0.09615,0.008926
1.32,0.0831200000000001,0.009845
1.33,0.0707100000000001,0.011579
1.34,0.0591299999999999,0.014008
1.35,0.0485100000000001,0.016788
1.36,0.0389999999999999,0.019269
1.37,0.0306900000000001,0.021089
1.38,0.02372,0.022971
1.39,0.01816,0.026215
1.4,0.0140899999999999,0.030851
1.41,0.01153,0.036436
1.42,0.01047,0.041817
1.43,0.01085,0.045835
1.44,0.0125500000000001,0.047025
1.45,0.0154000000000001,0.045564
1.46,0.0192099999999999,0.043271
1.47,0.02379,0.041036
1.48,0.0289600000000001,0.038643
1.49,0.0345500000000001,0.035661
1.5,0.0404500000000001,0.032641
1.51,0.0465599999999999,0.030238
1.52,0.0528,0.028884
1.53,0.0590999999999999,0.028753
1.54,0.06545,0.029742
1.55,0.0718000000000001,0.031525
1.56,0.0781400000000001,0.033983
1.57,0.08446,0.036888
1.58,0.0907500000000001,0.039645
1.59,0.097,0.04227
1.6,0.1032,0.04504
1.61,0.10935,0.047857
1.62,0.11543,0.05022
1.63,0.12143,0.052615
1.64,0.12735,0.055569
1.65,0.13318,0.059395
1.66,0.13891,0.064072
1.67,0.14451,0.068606
1.68,0.14999,0.072326
1.69,0.15533,0.07408
1.7,0.16053,0.073047
1.71,0.16558,0.069333
1.72,0.17049,0.064252
1.73,0.17526,0.059093
1.74,0.17992,0.055151
1.75,0.18446,0.053817
1.76,0.18892,0.05548
1.77,0.19333,0.059436
1.78,0.1977,0.064241
1.79,0.20206,0.068669
1.8,0.20641,0.072106
1.81,0.21075,0.075846
1.82,0.21507,0.082252
1.83,0.21933,0.092178
1.84,0.22348,0.104197
1.85,0.22744,0.115326
1.86,0.2311,0.122167
1.87,0.23431,0.120012
1.88,0.23688,0.109054
1.89,0.2386,0.095679
1.9,0.23922,0.083996
1.91,0.23846,0.076324
1.92,0.23604,0.075098
1.93,0.23169,0.081218
1.94,0.22513,0.093006
1.95,0.21612,0.10755
1.96,0.20438,0.121003
1.97,0.18986,0.130581
1.98,0.17269,0.134636
1.99,0.15307,0.132645
2,0.13134,0.125957
2.01,0.10586,0.116172
2.02,0.0792900000000001,0.102484
2.03,0.05396,0.085164
2.04,0.0319199999999999,0.066905
2.05,0.01244,0.051177
2.06,-0.00619400000000003,0.040008
2.07,-0.025023,0.034225
2.08,-0.044305,0.033771
2.09,-0.063879,0.037708
2.1,-0.083473,0.044123
2.11,-0.102837,0.05006
2.12,-0.121742,0.053384
2.13,-0.139984,0.053533
2.14,-0.157407,0.050093
2.15,-0.174246,0.043792
2.16,-0.185339,0.035939
