t,Elongation,Activation
-0,-0.010915,0
0.01,-0.00582499999999997,0
0.02,-0.00585000000000002,0.006639
0.03,-0.00456699999999999,0.011966
0.04,0.000869999999999926,0.015421
0.05,0.00936000000000003,0.017616
0.06,0.0188299999999999,0.018893
0.07,0.0281100000000001,0.019589
0.08,0.03694,0.020119
0.09,0.04542,0.020698
0.1,0.05603,0.02123
0.11,0.0661099999999999,0.021566
0.12,0.07457,0.021886
0.13,0.08199,0.022383
0.14,0.0890500000000001,0.022946
0.15,0.09596,0.023084
0.16,0.1027,0.022727
0.17,0.10918,0.02214
0.18,0.11534,0.021431
0.19,0.12112,0.020565
0.2,0.12643,0.019417
0.21,0.13112,0.018113
0.22,0.13506,0.016821
0.23,0.13808,0.015612
0.24,0.14005,0.014523
0.25,0.14084,0.013786
0.26,0.14038,0.013486
0.27,0.13863,0.013336
0.28,0.13564,0.012976
0.29,0.1315,0.012338
0.3,0.12637,0.011527
0.31,0.12048,0.010695
0.32,0.11409,0.010151
0.33,0.10747,0.010073
0.34,0.1009,0.010547
0.35,0.09466,0.011535
0.36,0.0889800000000001,0.013024
0.37,0.08409,0.014852
0.38,0.0801499999999999,0.016605
0.39,0.07731,0.017767
0.4,0.0756699999999999,0.018
0.41,0.0752600000000001,0.017353
0.42,0.0760799999999999,0.016445
0.43,0.07805,0.015696
0.44,0.08108,0.015356
0.45,0.085,0.015706
0.46,0.0896699999999999,0.016698
0.47,0.09493,0.018319
0.48,0.10065,0.020971
0.49,0.1067,0.024732
0.5,0.113,0.028972
0.51,0.11948,0.032591
0.52,0.12607,0.034377
0.53,0.13276,0.033656
0.54,0.13948,0.030479
0.55,0.1462,0.026136
0.56,0.15288,0.021882
0.57,0.15949,0.01861
0.58,0.16597,0.016814
0.59,0.17229,0.016397
0.6,0.17843,0.016899
0.61,0.18438,0.017751
0.62,0.19013,0.019012
0.63,0.19572,0.020797
0.64,0.20119,0.023067
0.65,0.2066,0.025631
0.66,0.21204,0.028638
0.67,0.21759,0.032076
0.68,0.22331,0.035585
0.69,0.22925,0.039034
0.7,0.23546,0.042753
0.71,0.24191,0.047118
0.72,0.24857,0.051488
0.73,0.25539,0.055277
0.74,0.2623,0.058758
0.75,0.2692,0.061997
0.76,0.27602,0.064935
0.77,0.28264,0.068828
0.78,0.28902,0.075016
0.79,0.29509,0.083373
0.8,0.30082,0.092501
0.81,0.3062,0.101128
0.82,0.31124,0.108593
0.83,0.31596,0.113046
0.84,0.32039,0.113474
0.85,0.32456,0.107971
0.86,0.32852,0.097413
0.87,0.33229,0.085379
0.88,0.33591,0.075061
0.89,0.33938,0.068363
0.9,0.34275,0.065479
0.91,0.346,0.066852
0.92,0.34914,0.076158
0.93,0.35218,0.097998
0.94,0.35512,0.134496
0.95,0.35793,0.183454
0.96,0.36061,0.237315
0.97,0.36314,0.285185
0.98,0.36548,0.319503
0.99,0.3676,0.346485
1,0.36948,0.374328
1.01,0.37107,0.400325
1.02,0.37234,0.411454
1.03,0.37326,0.400015
1.04,0.3738,0.377136
1.05,0.37392,0.365518
1.06,0.37358,0.375568
1.07,0.37275,0.404194
1.08,0.37138,0.436292
1.09,0.36941,0.459426
1.1,0.36676,0.474573
1.11,0.36333,0.485696
1.12,0.35898,0.49368
1.13,0.35354,0.495951
1.14,0.34681,0.490756
1.15,0.33854,0.483834
1.16,0.32841,0.484745
1.17,0.31605,0.495219
1.18,0.30108,0.506212
1.19,0.28305,0.50979
1.2,0.26201,0.507097
1.21,0.23838,0.49331
1.22,0.21229,0.461441
1.23,0.18426,0.406525
1.24,0.15504,0.339828
1.25,0.12533,0.271108
1.26,0.0956999999999999,0.207877
1.27,0.06656,0.155701
1.28,0.0413300000000001,0.115678
1.29,0.01979,0.087116
1.3,1.9999999999909e-05,0.068608
1.31,-0.019532,0.056746
