t,Elongation,Activation
-0,0.0137,0.001703
0.01,0.0135700000000001,0.004904
0.02,0.00649999999999995,0.007335
0.03,-0.00114599999999998,0.008943
0.04,-0.00615299999999996,0.009963
0.05,-0.00855799999999995,0.010641
0.06,-0.00953700000000002,0.011162
0.07,-0.010023,0.011516
0.08,-0.010426,0.011679
0.09,-0.010835,0.011744
0.1,-0.01124,0.011734
0.11,-0.011635,0.01155
0.12,-0.012023,0.011106
0.13,-0.012412,0.010532
0.14,-0.012808,0.010024
0.15,-0.013211,0.009764
0.16,-0.0136230000000001,0.009809
0.17,-0.014042,0.01002
0.18,-0.014466,0.010355
0.19,-0.014893,0.010666
0.2,-0.015324,0.010835
0.21,-0.015748,0.010859
0.22,-0.016166,0.01082
0.23,-0.016585,0.010708
0.24,-0.017005,0.010493
0.25,-0.017424,0.010212
0.26,-0.017839,0.009945
0.27,-0.018252,0.009727
0.28,-0.018659,0.00948
0.29,-0.01906,0.009171
0.3,-0.019451,0.008831
0.31,-0.019831,0.008496
0.32,-0.020199,0.008253
0.33,-0.020554,0.008113
0.34,-0.0208970000000001,0.008053
0.35,-0.021231,0.008125
0.36,-0.021555,0.008387
0.37,-0.0218699999999999,0.008826
0.38,-0.0221789999999999,0.009292
0.39,-0.022483,0.009647
0.4,-0.0227810000000001,0.009786
0.41,-0.023073,0.009699
0.42,-0.023359,0.00945
0.43,-0.023635,0.009105
0.44,-0.023899,0.008732
0.45,-0.024149,0.00843
0.46,-0.024382,0.008273
0.47,-0.024595,0.008281
0.48,-0.024788,0.008457
0.49,-0.02496,0.008786
0.5,-0.02511,0.009176
0.51,-0.025241,0.009568
0.52,-0.025354,0.009884
0.53,-0.0254529999999999,0.01003
0.54,-0.02554,0.01003
0.55,-0.02562,0.009905
0.56,-0.0256960000000001,0.009775
0.57,-0.025772,0.009779
0.58,-0.025848,0.010013
0.59,-0.025926,0.010382
0.6,-0.026003,0.010755
0.61,-0.026079,0.011095
0.62,-0.026149,0.011393
0.63,-0.026219,0.011674
0.64,-0.02628,0.011982
0.65,-0.026327,0.012318
0.66,-0.026358,0.012636
0.67,-0.026376,0.012838
0.68,-0.026383,0.012857
0.69,-0.026382,0.01261
0.7,-0.026377,0.012172
0.71,-0.02637,0.011726
0.72,-0.026365,0.011324
0.73,-0.026363,0.010972
0.74,-0.026366,0.010681
0.75,-0.026377,0.010459
0.76,-0.026394,0.010163
0.77,-0.026419,0.009585
0.78,-0.0264529999999999,0.008757
0.79,-0.026493,0.007895
0.8,-0.026541,0.007234
0.81,-0.026595,0.006936
0.82,-0.026657,0.006979
0.83,-0.026728,0.007282
0.84,-0.026809,0.007803
0.85,-0.026901,0.008489
0.86,-0.0270049999999999,0.00923
0.87,-0.02712,0.009858
0.88,-0.027246,0.010334
0.89,-0.027383,0.010519
0.9,-0.0275300000000001,0.010408
0.91,-0.02768,0.01009
0.92,-0.027838,0.009626
0.93,-0.028011,0.00913
0.94,-0.028199,0.008658
0.95,-0.028401,0.008219
0.96,-0.028616,0.007814
0.97,-0.028843,0.007576
0.98,-0.029081,0.007526
0.99,-0.029327,0.007612
1,-0.0295800000000001,0.00789
1.01,-0.029838,0.00829
1.02,-0.030098,0.008705
1.03,-0.030358,0.009106
1.04,-0.030617,0.009424
1.05,-0.030873,0.009676
1.06,-0.031125,0.009915
1.07,-0.031369,0.010246
1.08,-0.031606,0.010692
1.09,-0.031832,0.011209
1.1,-0.032048,0.011824
1.11,-0.0322519999999999,0.012451
1.12,-0.0324449999999999,0.012846
1.13,-0.032628,0.012765
1.14,-0.032802,0.012205
1.15,-0.032969,0.011382
1.16,-0.033127,0.010537
1.17,-0.033276,0.009907
1.18,-0.033417,0.009581
1.19,-0.033547,0.009631
1.2,-0.0336689999999999,0.010053
1.21,-0.0337809999999999,0.010608
1.22,-0.033884,0.011061
1.23,-0.03398,0.011235
1.24,-0.034069,0.011134
1.25,-0.034153,0.010838
1.26,-0.034233,0.010475
1.27,-0.034307,0.010164
1.28,-0.034375,0.010067
1.29,-0.034435,0.010255
1.3,-0.034486,0.010638
1.31,-0.034524,0.011133
1.32,-0.0345490000000001,0.011615
1.33,-0.034559,0.011937
1.34,-0.034556,0.012163
1.35,-0.034539,0.012437
1.36,-0.034511,0.01275
1.37,-0.034474,0.012929
1.38,-0.034431,0.012833
1.39,-0.034385,0.012435
1.4,-0.03434,0.01178
1.41,-0.034299,0.011137
1.42,-0.034264,0.010721
1.43,-0.034239,0.010612
1.44,-0.034222,0.010757
1.45,-0.034215,0.011069
1.46,-0.0342170000000001,0.01157
1.47,-0.0342249999999999,0.012178
1.48,-0.034238,0.012682
1.49,-0.034254,0.01299
1.5,-0.034272,0.013066
1.51,-0.034289,0.012927
1.52,-0.034303,0.012725
1.53,-0.034314,0.012489
1.54,-0.034321,0.012194
1.55,-0.034323,0.011903
1.56,-0.034322,0.011633
1.57,-0.034317,0.011384
1.58,-0.03431,0.01115
1.59,-0.0343020000000001,0.010899
1.6,-0.034296,0.010599
1.61,-0.03429,0.010346
1.62,-0.034286,0.010167
1.63,-0.034284,0.009996
1.64,-0.034283,0.009718
1.65,-0.034283,0.009429
1.66,-0.034284,0.009229
1.67,-0.034288,0.009109
1.68,-0.034295,0.009021
1.69,-0.034305,0.008879
1.7,-0.034318,0.008702
1.71,-0.034335,0.008493
1.72,-0.034355,0.008296
1.73,-0.034379,0.00815
1.74,-0.034403,0.008168
1.75,-0.034427,0.008487
1.76,-0.034448,0.009131
1.77,-0.034463,0.01009
1.78,-0.0344719999999999,0.011221
1.79,-0.034474,0.01223
1.8,-0.03447,0.012963
1.81,-0.034459,0.013383
1.82,-0.03444,0.013479
1.83,-0.0344139999999999,0.013348
1.84,-0.03438,0.012981
1.85,-0.034338,0.012397
1.86,-0.034291,0.011623
1.87,-0.034237,0.010773
1.88,-0.03418,0.010085
1.89,-0.03412,0.00979
1.9,-0.034057,0.009789
1.91,-0.0339930000000001,0.010032
1.92,-0.033929,0.01046
1.93,-0.033866,0.010896
1.94,-0.0338000000000001,0.011174
1.95,-0.033729,0.011295
1.96,-0.033644,0.011375
1.97,-0.033538,0.011494
1.98,-0.033404,0.01175
1.99,-0.033232,0.01221
2,-0.033018,0.012847
2.01,-0.032756,0.01354
2.02,-0.0324449999999999,0.014199
2.03,-0.032084,0.014764
2.04,-0.031675,0.015237
2.05,-0.03122,0.015573
2.06,-0.030731,0.015699
2.07,-0.030203,0.015583
2.08,-0.029634,0.015202
2.09,-0.029025,0.01473
2.1,-0.028376,0.014315
2.11,-0.027685,0.013993
2.12,-0.026944,0.013806
2.13,-0.026145,0.013775
2.14,-0.025277,0.01383
2.15,-0.024332,0.013804
2.16,-0.0233,0.013504
2.17,-0.022173,0.01294
2.18,-0.020954,0.012508
2.19,-0.019631,0.012372
2.2,-0.018197,0.012477
2.21,-0.0166539999999999,0.012724
2.22,-0.015003,0.013031
2.23,-0.0132409999999999,0.013277
2.24,-0.011374,0.013309
2.25,-0.00940700000000005,0.012877
2.26,-0.00734500000000005,0.012095
2.27,-0.005193,0.011303
2.28,-0.00295500000000004,0.010792
2.29,-0.000638999999999945,0.010619
2.3,0.00174999999999992,0.010758
2.31,0.00419999999999998,0.011176
2.32,0.00669999999999993,0.011704
2.33,0.00923000000000007,0.012186
2.34,0.0118,0.012509
2.35,0.01437,0.01275
2.36,0.01695,0.012992
2.37,0.01952,0.01325
2.38,0.02207,0.013535
2.39,0.0246,0.013846
2.4,0.0270999999999999,0.01416
2.41,0.0295799999999999,0.014643
2.42,0.03203,0.015501
2.43,0.03447,0.016846
2.44,0.0368900000000001,0.018809
2.45,0.03929,0.021337
2.46,0.0416799999999999,0.024664
2.47,0.0440700000000001,0.029368
2.48,0.04647,0.035506
2.49,0.04888,0.042624
2.5,0.0512999999999999,0.049795
2.51,0.0537399999999999,0.054873
2.52,0.05619,0.055743
2.53,0.05867,0.053809
2.54,0.06118,0.050667
2.55,0.06372,0.047409
2.56,0.0662799999999999,0.045229
2.57,0.0688599999999999,0.045676
2.58,0.0714699999999999,0.049074
2.59,0.0741099999999999,0.055171
2.6,0.07677,0.062438
2.61,0.07945,0.069845
2.62,0.08216,0.078284
2.63,0.08491,0.088451
2.64,0.0876699999999999,0.101595
2.65,0.0904700000000001,0.117577
2.66,0.0932900000000001,0.134608
2.67,0.0961399999999999,0.149687
2.68,0.0990200000000001,0.161455
2.69,0.10194,0.169677
2.7,0.10489,0.172452
2.71,0.10788,0.169082
2.72,0.11091,0.159152
2.73,0.11398,0.144708
2.74,0.11708,0.129801
2.75,0.12023,0.118092
2.76,0.12342,0.111265
2.77,0.12664,0.109098
2.78,0.1299,0.11094
2.79,0.13319,0.118004
2.8,0.13649,0.129017
2.81,0.13979,0.139913
2.82,0.14309,0.146754
2.83,0.14636,0.150026
2.84,0.14959,0.153356
2.85,0.15277,0.159038
2.86,0.15586,0.167446
2.87,0.15886,0.17668
2.88,0.16175,0.182846
2.89,0.16453,0.185278
2.9,0.16719,0.182893
2.91,0.16973,0.176568
2.92,0.17215,0.168662
2.93,0.17448,0.159541
2.94,0.17674,0.150043
2.95,0.17893,0.140797
2.96,0.18111,0.13183
2.97,0.18328,0.124123
2.98,0.1855,0.118762
2.99,0.18777,0.114464
3,0.19014,0.110778
3.01,0.19261,0.107039
3.02,0.1952,0.102993
3.03,0.19791,0.100919
3.04,0.20074,0.102834
3.05,0.20367,0.10974
3.06,0.20667,0.122634
3.07,0.20972,0.141185
3.08,0.21281,0.161201
3.09,0.21589,0.178451
3.1,0.21895,0.188939
3.11,0.22195,0.191476
3.12,0.22487,0.188005
3.13,0.22769,0.178147
3.14,0.23041,0.165328
3.15,0.23301,0.151828
3.16,0.23549,0.140788
3.17,0.23787,0.13505
3.18,0.24015,0.135024
3.19,0.24231,0.138015
3.2,0.24437,0.140239
3.21,0.2463,0.142105
3.22,0.24806,0.147722
3.23,0.24957,0.16077
3.24,0.25072,0.182555
3.25,0.25135,0.205808
3.26,0.25127,0.225822
3.27,0.2502,0.240348
3.28,0.24784,0.249189
3.29,0.24383,0.252321
3.3,0.23774,0.250961
3.31,0.22926,0.24548
3.32,0.21817,0.23274
3.33,0.20425,0.214932
3.34,0.18747,0.197214
3.35,0.16803,0.180237
3.36,0.14632,0.16275
3.37,0.12276,0.143471
3.38,0.0978300000000001,0.123455
3.39,0.0719399999999999,0.105594
3.4,0.04522,0.090525
3.41,0.0201199999999999,0.077206
3.42,-0.00342200000000004,0.06581
3.43,-0.026413,0.057573
3.44,-0.0494250000000001,0.053307
3.45,-0.0725209999999999,0.054108
3.46,-0.095526,0.060417
3.47,-0.118207,0.071784
3.48,-0.140343,0.088114
3.49,-0.16207,0.108018
3.5,-0.179153,0.126843
3.51,-0.189891,0.138354
3.52,-0.194783,0.135774
3.53,-0.194898,0.117929
3.54,-0.191228,0.09336
3.55,-0.18466,0.069208
3.56,-0.176021,0.049218
3.57,-0.166032,0.034642
3.58,-0.155245,0.024706
3.59,-0.144025,0.019331
3.6,-0.132592,0.016707
3.61,-0.12106,0.015508
3.62,-0.1095,0.014683
3.63,-0.097931,0.013847
3.64,-0.08636,0.013041
3.65,-0.074774,0.012278
3.66,-0.063175,0.011452
3.67,-0.05135,0.010488
3.68,-0.039479,0.009566
3.69,-0.027578,0.009092
3.7,-0.015532,0.009216
3.71,-0.00321899999999997,0.009788
3.72,0.00940999999999992,0.010517
3.73,0.0222899999999999,0.011164
3.74,0.03532,0.011788
3.75,0.04847,0.012441
3.76,0.06165,0.012979
3.77,0.0746800000000001,0.013299
3.78,0.08721,0.013449
3.79,0.09883,0.013501
3.8,0.10912,0.01353
3.81,0.11779,0.013518
3.82,0.12464,0.013443
3.83,0.1295,0.013197
3.84,0.13224,0.012804
3.85,0.13281,0.01238
3.86,0.13119,0.011892
3.87,0.12746,0.011311
3.88,0.12183,0.010674
3.89,0.11455,0.010093
3.9,0.10602,0.009486
3.91,0.09667,0.008818
3.92,0.0869599999999999,0.008139
3.93,0.07738,0.007726
3.94,0.0683199999999999,0.007963
3.95,0.06016,0.009476
3.96,0.0531900000000001,0.012803
3.97,0.0476799999999999,0.018397
3.98,0.0438000000000001,0.026549
3.99,0.04169,0.037176
4,0.0413699999999999,0.049924
4.01,0.04277,0.064556
4.02,0.0457099999999999,0.080612
4.03,0.04993,0.097714
4.04,0.0551200000000001,0.114762
4.05,0.0609599999999999,0.130158
4.06,0.06721,0.141703
4.07,0.0736600000000001,0.145847
4.08,0.0801799999999999,0.145982
4.09,0.0866800000000001,0.149875
4.1,0.0931299999999999,0.161659
4.11,0.0995200000000001,0.180243
4.12,0.10584,0.200508
4.13,0.11211,0.212924
4.14,0.11831,0.213051
4.15,0.12444,0.203726
4.16,0.13049,0.187881
4.17,0.13645,0.168752
4.18,0.14228,0.149146
4.19,0.14797,0.131567
4.2,0.15349,0.118443
4.21,0.15881,0.112483
4.22,0.16392,0.116288
4.23,0.16882,0.129139
4.24,0.17351,0.14716
4.25,0.17799,0.165649
4.26,0.18229,0.179558
4.27,0.18644,0.186905
4.28,0.19046,0.192954
4.29,0.19438,0.199541
4.3,0.19823,0.207309
