t,knee
0,-6.02256655
0.01,-6.02281668
0.02,-6.03675705
0.03,-6.03554572
0.04,-6.05863883
0.05,-6.06515047
0.06,-6.06406011
0.07,-6.08462554
0.08,-6.08412001
0.09,-6.086243
0.1,-6.09267696
0.11,-6.0930343
0.12,-6.09741965
0.13,-6.10064426
0.14,-6.10824867
0.15,-6.11650019
0.16,-6.12775604
0.17,-6.14269108
0.18,-6.16026118
0.19,-6.18050343
0.2,-6.20304754
0.21,-6.22794797
0.22,-6.25358882
0.23,-6.28005873
0.24,-6.3068647
0.25,-6.33300991
0.26,-6.3640749
0.27,-6.38492404
0.28,-6.42730395
0.29,-6.43974718
0.3,-6.45042853
0.31,-6.48122274
0.32,-6.48366561
0.33,-6.48352575
0.34,-6.49131335
0.35,-6.48426824
0.36,-6.47647999
0.37,-6.46710845
0.38,-6.46035747
0.39,-6.45730466
0.4,-6.44966403
0.41,-6.43103774
0.42,-6.42588492
0.43,-6.43084681
0.44,-6.43304807
0.45,-6.43815944
0.46,-6.4463629
0.47,-6.45499922
0.48,-6.46825827
0.49,-6.47839528
0.5,-6.4910352
0.51,-6.50200246
0.52,-6.5164989
0.53,-6.52630024
0.54,-6.53429463
0.55,-6.5424483
0.56,-6.54939517
0.57,-6.5586611
0.58,-6.56006196
0.59,-6.56416227
0.6,-6.56555883
0.61,-6.56660088
0.62,-6.56850543
0.63,-6.57288991
0.64,-6.57072188
0.65,-6.56862656
0.66,-6.56949635
0.67,-6.56130348
0.68,-6.55700954
0.69,-6.55480517
0.7,-6.54490358
0.71,-6.53600799
0.72,-6.52936669
0.73,-6.52648418
0.74,-6.51872748
0.75,-6.51270285
0.76,-6.50744601
0.77,-6.50279556
0.78,-6.49938614
0.79,-6.5019463
0.8,-6.49648245
0.81,-6.49924144
0.82,-6.50274628
0.83,-6.49560627
0.84,-6.50291319
0.85,-6.50296963
0.86,-6.51988584
0.87,-6.52721475
0.88,-6.53723659
0.89,-6.54953665
0.9,-6.56314842
0.91,-6.57817646
0.92,-6.5940142
0.93,-6.61007245
0.94,-6.62620714
0.95,-6.64090261
0.96,-6.65396462
0.97,-6.6791272
0.98,-6.68502268
0.99,-6.6887286
1,-6.70305781
1.01,-6.7065393
1.02,-6.71136172
1.03,-6.71632889
1.04,-6.72459059
1.05,-6.73380909
1.06,-6.76106685
1.07,-6.76430629
1.08,-6.79645576
1.09,-6.81595497
1.1,-6.83624244
1.11,-6.86442079
1.12,-6.89657089
1.13,-6.91519703
1.14,-6.93587559
1.15,-6.95779119
1.16,-6.97472713
1.17,-6.99074599
1.18,-7.00444612
1.19,-7.01037845
