t,Angle
0,-16.05795924
0.01,-15.64559315
0.02,-15.25978189
0.03,-14.86144088
0.04,-14.45704206
0.05,-14.04271936
0.06,-13.69205411
0.07,-13.38595248
0.08,-13.14714718
0.09,-12.97285165
0.1,-12.89971245
0.11,-12.86864306
0.12,-12.89094626
0.13,-12.95905232
0.14,-13.06416767
0.15,-13.20800679
0.16,-13.37883465
0.17,-13.56752176
0.18,-13.77439663
0.19,-13.97354637
0.2,-14.14979013
0.21,-14.29304371
0.22,-14.40259561
0.23,-14.48576026
0.24,-14.58308456
0.25,-14.70998109
0.26,-14.91014657
0.27,-15.20946231
0.28,-15.65602845
0.29,-16.27091136
0.3,-16.99761327
0.31,-17.82692199
0.32,-18.73193416
0.33,-19.56677992
0.34,-20.34360401
0.35,-20.98562592
0.36,-21.40851468
0.37,-21.64174363
0.38,-21.6622645
0.39,-21.48594475
0.4,-21.17044307
0.41,-20.71517378
0.42,-20.19334177
0.43,-19.60622012
0.44,-18.98133445
0.45,-18.35360447
0.46,-17.74687531
0.47,-17.13369641
0.48,-16.54126067
0.49,-15.97343997
0.5,-15.44025603
0.51,-14.94374442
0.52,-14.48696735
0.53,-14.05761553
0.54,-13.66458156
0.55,-13.30295525
0.56,-12.97219053
0.57,-12.66895754
0.58,-12.39822189
0.59,-12.13453437
0.6,-11.88668722
0.61,-11.64786173
0.62,-11.42298481
0.63,-11.18948799
0.64,-10.9607347
0.65,-10.73398117
0.66,-10.49731904
0.67,-10.25914395
0.68,-10.01905186
0.69,-9.77696004
0.7,-9.51605369
0.71,-9.26491682
0.72,-8.99214317
0.73,-8.78041754
0.74,-8.49723904
0.75,-8.24321996
0.76,-8.00664591
0.77,-7.75676002
0.78,-7.50095757
0.79,-7.23841669
0.8,-6.99644598
0.81,-6.71536087
0.82,-6.40430239
0.83,-6.10403347
0.84,-5.79791477
0.85,-5.4858454
0.86,-5.17109154
0.87,-4.86330763
0.88,-4.5592441
0.89,-4.26304779
0.9,-4.03699147
0.91,-3.8201537
0.92,-3.61261001
0.93,-3.50029858
0.94,-3.4817402
0.95,-3.55905278
0.96,-3.76852774
0.97,-4.1885771
0.98,-4.74018411
0.99,-5.53386021
1,-6.52642041
1.01,-7.83062929
1.02,-9.36679204
1.03,-11.130553
1.04,-13.12649947
1.05,-15.29146616
1.06,-17.46453092
1.07,-19.58849493
1.08,-21.52112019
1.09,-23.17743643
1.1,-24.47396939
1.11,-25.35779578
1.12,-25.81720042
1.13,-25.90210714
1.14,-25.6735504
1.15,-25.15336749
1.16,-24.43485994
1.17,-23.58743126
1.18,-22.6869019
1.19,-21.77538173
1.2,-20.88461694
1.21,-20.04116989
1.22,-19.25165396
1.23,-18.52891132
1.24,-17.86761656
1.25,-17.27032311
1.26,-16.719987
1.27,-16.23330481
1.28,-15.83800415
1.29,-15.46542617
1.3,-15.1754989
1.31,-14.95265337
1.32,-14.77010562
1.33,-14.640339
1.34,-14.54528107
1.35,-14.46543104
1.36,-14.44810159
1.37,-14.41971108
1.38,-14.40374105
1.39,-14.39040359
1.4,-14.3782756
1.41,-14.36620977
1.42,-14.36269393
1.43,-14.37330035
1.44,-14.40045825
1.45,-14.45678126
1.46,-14.55039747
1.47,-14.69138671
1.48,-14.90018628
1.49,-15.19069224
1.5,-15.56480185
1.51,-16.03281158
1.52,-16.62984246
1.53,-17.28751999
1.54,-18.00491189
1.55,-18.73540725
1.56,-19.40850613
1.57,-20.01440369
1.58,-20.50792705
1.59,-20.79615889
1.6,-20.91974661
1.61,-20.85994698
1.62,-20.65001704
1.63,-20.3162532
1.64,-19.89969178
1.65,-19.3924206
1.66,-18.88662304
1.67,-18.33498368
1.68,-17.82469571
1.69,-17.30644168
1.7,-16.80230987
1.71,-16.3375047
1.72,-15.88702105
1.73,-15.4550085
1.74,-15.05570128
1.75,-14.67816761
1.76,-14.34799307
1.77,-14.05463253
1.78,-13.7746881
1.79,-13.54029674
1.8,-13.3352885
1.81,-13.15549282
1.82,-13.00787795
1.83,-12.87117163
1.84,-12.76003007
1.85,-12.65253961
1.86,-12.55860817
1.87,-12.47319812
1.88,-12.38857497
1.89,-12.31213572
1.9,-12.22092701
1.91,-12.14840349
1.92,-12.0564032
1.93,-11.96420265
1.94,-11.85253426
1.95,-11.72856119
1.96,-11.62367435
1.97,-11.51427554
1.98,-11.36709529
1.99,-11.24318222
2,-11.09549912
2.01,-10.96631253
2.02,-10.80251163
2.03,-10.66186174
2.04,-10.48029045
