t,knee
0,-57.74652973
0.01,-56.77355019
0.02,-55.6665779
0.03,-54.3718026
0.04,-52.83654775
0.05,-51.03353138
0.06,-48.99564297
0.07,-46.70789254
0.08,-44.23352764
0.09,-41.60629864
0.1,-38.84940319
0.11,-36.0080602
0.12,-33.09664096
0.13,-30.13157584
0.14,-27.12669333
0.15,-24.10763658
0.16,-21.10741342
0.17,-18.16922231
0.18,-15.33606219
0.19,-12.67665396
0.2,-10.25387628
0.21,-8.12109568
0.22,-6.31348502
0.23,-4.85868997
0.24,-3.73203475
0.25,-2.93326537
0.26,-2.42190967
0.27,-2.1509107
0.28,-2.07491817
0.29,-2.09589337
0.3,-2.23728907
0.31,-2.41535907
0.32,-2.59715737
0.33,-2.83833279
0.34,-3.07260787
0.35,-3.33023312
0.36,-3.62350147
0.37,-3.9405311
0.38,-4.31058023
0.39,-4.6383801
0.4,-5.01633077
0.41,-5.33028903
0.42,-5.66669215
0.43,-5.94984944
0.44,-6.18633163
0.45,-6.38561852
0.46,-6.51542432
0.47,-6.64213767
0.48,-6.71952478
0.49,-6.80416704
0.5,-6.84223561
0.51,-6.84760453
0.52,-6.82001033
0.53,-6.74664643
0.54,-6.67107643
0.55,-6.54664513
0.56,-6.3946703
0.57,-6.21097856
0.58,-5.99360804
0.59,-5.76164617
0.6,-5.50230543
0.61,-5.24061552
0.62,-4.93321999
0.63,-4.65950958
0.64,-4.39517418
0.65,-4.08820733
0.66,-3.80617248
0.67,-3.52902566
0.68,-3.25404833
0.69,-2.98836102
0.7,-2.73988033
0.71,-2.51739463
0.72,-2.32901373
0.73,-2.18756256
0.74,-2.01946243
0.75,-1.90066145
0.76,-1.82164841
0.77,-1.75769992
0.78,-1.73089519
0.79,-1.73847312
0.8,-1.73591881
0.81,-1.81390154
0.82,-1.96915961
0.83,-2.14146818
0.84,-2.36701532
0.85,-2.65008137
0.86,-2.99523116
0.87,-3.39553443
0.88,-3.88315514
0.89,-4.42974563
0.9,-5.0689846
0.91,-5.81007147
0.92,-6.65067766
0.93,-7.62770621
0.94,-8.74016202
0.95,-10.05294253
0.96,-11.54573487
0.97,-13.23461184
0.98,-15.16726248
0.99,-17.32646941
1,-19.73742643
1.01,-22.34412489
1.02,-25.17060268
1.03,-28.17749159
1.04,-31.29323069
1.05,-34.45039013
1.06,-37.64094038
1.07,-40.76630212
1.08,-43.79527731
1.09,-46.68181427
1.1,-49.40373515
1.11,-51.9433519
1.12,-54.27765135
1.13,-56.37559337
1.14,-58.20432918
1.15,-59.80765494
1.16,-61.1177837
1.17,-62.13667989
1.18,-62.85234065
1.19,-63.25704155
1.2,-63.35780639
1.21,-63.18079321
1.22,-62.7283043
1.23,-61.9780526
1.24,-61.02103514
1.25,-59.79991479
1.26,-58.35196983
1.27,-56.71391555
1.28,-54.90749433
1.29,-52.8954976
1.3,-50.75521623
1.31,-48.49745443
1.32,-46.10720113
1.33,-43.6267615
1.34,-41.05195959
1.35,-38.41826115
1.36,-35.70691564
1.37,-32.96213447
1.38,-30.16892333
1.39,-27.35231608
1.4,-24.52897995
1.41,-21.72588793
1.42,-18.9724452
1.43,-16.30667525
1.44,-13.78097425
1.45,-11.44402184
1.46,-9.34582534
1.47,-7.52316946
