t,Elongation,Activation
-0,0.16172,0
0.01,0.16162,0.010134
0.02,0.15607,0.023989
0.03,0.15139,0.035483
0.04,0.14956,0.044261
0.05,0.14937,0.050605
0.06,0.14944,0.0555
0.07,0.14929,0.059604
0.08,0.14899,0.063122
0.09,0.14866,0.065749
0.1,0.14836,0.06713
0.11,0.14806,0.066349
0.12,0.14776,0.063129
0.13,0.14744,0.058782
0.14,0.14712,0.054934
0.15,0.1468,0.052188
0.16,0.14647,0.050758
0.17,0.14614,0.050336
0.18,0.14581,0.050879
0.19,0.14549,0.052217
0.2,0.14516,0.053903
0.21,0.14484,0.055329
0.22,0.14453,0.055973
0.23,0.14422,0.056152
0.24,0.14392,0.055899
0.25,0.14363,0.054878
0.26,0.14335,0.052856
0.27,0.14307,0.050458
0.28,0.14281,0.048058
0.29,0.14255,0.045945
0.3,0.1423,0.044783
0.31,0.14207,0.045097
0.32,0.14185,0.046496
0.33,0.14164,0.047589
0.34,0.14144,0.047743
0.35,0.14124,0.047799
0.36,0.14104,0.04852
0.37,0.14085,0.049957
0.38,0.14066,0.052149
0.39,0.14047,0.055093
0.4,0.14029,0.058227
0.41,0.14011,0.06102
0.42,0.13994,0.063123
0.43,0.13978,0.064503
0.44,0.13962,0.064898
0.45,0.13947,0.064111
0.46,0.13933,0.062721
0.47,0.1392,0.061212
0.48,0.13908,0.059533
0.49,0.13897,0.057568
0.5,0.13886,0.05603
0.51,0.13876,0.055288
0.52,0.13867,0.055051
0.53,0.13858,0.054925
0.54,0.1385,0.054178
0.55,0.13843,0.053077
0.56,0.13836,0.052031
0.57,0.1383,0.050635
0.58,0.13824,0.04894
0.59,0.13818,0.047207
0.6,0.13811,0.045729
0.61,0.13805,0.044861
0.62,0.13798,0.044184
0.63,0.13791,0.042758
0.64,0.13784,0.041151
0.65,0.13777,0.040069
0.66,0.1377,0.03963
0.67,0.13764,0.039778
0.68,0.13757,0.040607
0.69,0.1375,0.042115
0.7,0.13744,0.044508
0.71,0.13737,0.047341
0.72,0.13731,0.049524
0.73,0.13725,0.050708
0.74,0.13719,0.050678
0.75,0.13713,0.050129
0.76,0.13706,0.049427
0.77,0.137,0.048546
0.78,0.13693,0.047444
0.79,0.13687,0.046326
0.8,0.13681,0.0456
0.81,0.13675,0.045053
0.82,0.13669,0.044066
0.83,0.13664,0.042605
0.84,0.13658,0.041605
0.85,0.13652,0.041896
0.86,0.13647,0.043577
0.87,0.13641,0.045832
0.88,0.13636,0.047573
0.89,0.13631,0.048155
0.9,0.13626,0.047721
0.91,0.13622,0.047032
0.92,0.13617,0.04613
0.93,0.13613,0.044906
0.94,0.13608,0.043748
0.95,0.13603,0.042934
0.96,0.13597,0.042414
0.97,0.13592,0.04249
0.98,0.13588,0.043402
0.99,0.13583,0.044468
1,0.13579,0.04413
1.01,0.13576,0.041507
1.02,0.13573,0.037833
1.03,0.13571,0.034885
1.04,0.13569,0.033159
1.05,0.13567,0.033003
1.06,0.13565,0.034305
1.07,0.13563,0.03672
1.08,0.13561,0.039365
1.09,0.13558,0.040892
1.1,0.13556,0.0409
1.11,0.13553,0.040571
1.12,0.13551,0.040754
1.13,0.13548,0.041567
1.14,0.13546,0.042864
1.15,0.13545,0.044042
1.16,0.13544,0.044948
1.17,0.13544,0.045579
1.18,0.13545,0.045562
1.19,0.13547,0.044163
1.2,0.1355,0.041241
1.21,0.13553,0.03804
1.22,0.13556,0.035393
1.23,0.13559,0.033616
1.24,0.13562,0.032892
1.25,0.13565,0.033146
1.26,0.13568,0.033772
1.27,0.13569,0.034105
1.28,0.13571,0.033942
1.29,0.13572,0.033175
1.3,0.13573,0.032492
1.31,0.13574,0.033043
1.32,0.13576,0.03526
1.33,0.13577,0.038872
1.34,0.13579,0.042751
1.35,0.13581,0.045972
1.36,0.13584,0.048868
1.37,0.13587,0.051978
1.38,0.1359,0.054849
1.39,0.13593,0.056489
1.4,0.13597,0.056998
1.41,0.136,0.057207
1.42,0.13604,0.057109
1.43,0.13608,0.056757
1.44,0.13612,0.056271
1.45,0.13615,0.055096
1.46,0.13618,0.053139
1.47,0.13621,0.050869
1.48,0.13623,0.048276
1.49,0.13625,0.045342
1.5,0.13626,0.041938
1.51,0.13627,0.038871
1.52,0.13628,0.036789
1.53,0.1363,0.035897
1.54,0.13631,0.036174
1.55,0.13633,0.037656
1.56,0.13634,0.040373
1.57,0.13636,0.043973
1.58,0.13637,0.047623
1.59,0.13639,0.050144
1.6,0.13641,0.050391
1.61,0.13642,0.048867
1.62,0.13644,0.046906
1.63,0.13646,0.045543
1.64,0.13648,0.045327
1.65,0.13651,0.046112
1.66,0.13653,0.047289
1.67,0.13655,0.048208
1.68,0.13657,0.048324
1.69,0.13659,0.046948
1.7,0.13661,0.044503
1.71,0.13662,0.04192
1.72,0.13663,0.039749
1.73,0.13664,0.038426
1.74,0.13665,0.038315
1.75,0.13665,0.040001
1.76,0.13666,0.042929
1.77,0.13666,0.045966
1.78,0.13667,0.048863
1.79,0.13668,0.051451
1.8,0.13669,0.05302
1.81,0.1367,0.053005
1.82,0.13671,0.051872
1.83,0.13673,0.05059
1.84,0.13674,0.049499
1.85,0.13676,0.048618
1.86,0.13678,0.048397
1.87,0.1368,0.048949
1.88,0.13683,0.049446
1.89,0.13685,0.048688
1.9,0.13687,0.04644
1.91,0.1369,0.043476
1.92,0.13692,0.040189
1.93,0.13694,0.036706
1.94,0.13697,0.033325
1.95,0.13699,0.030644
1.96,0.13702,0.029356
1.97,0.13705,0.029366
1.98,0.13708,0.030332
1.99,0.13712,0.032404
2,0.13716,0.03553
2.01,0.13721,0.039482
2.02,0.13726,0.043447
2.03,0.13731,0.046545
2.04,0.13737,0.04878
2.05,0.13743,0.051028
2.06,0.13749,0.05349
2.07,0.13754,0.055755
2.08,0.1376,0.057923
2.09,0.13766,0.059795
2.1,0.13772,0.060709
2.11,0.13777,0.060352
2.12,0.13782,0.059348
2.13,0.13787,0.058223
2.14,0.13791,0.057373
2.15,0.13795,0.057048
2.16,0.13798,0.056266
2.17,0.13801,0.053827
2.18,0.13804,0.049841
2.19,0.13806,0.045877
2.2,0.13809,0.04231
2.21,0.13811,0.039709
2.22,0.13813,0.03847
2.23,0.13815,0.038477
2.24,0.13817,0.039337
2.25,0.13819,0.040271
2.26,0.13821,0.040854
2.27,0.13822,0.041464
2.28,0.13823,0.042743
2.29,0.13825,0.045105
2.3,0.13827,0.048364
2.31,0.13828,0.05163
2.32,0.13831,0.054278
2.33,0.13833,0.056222
2.34,0.13835,0.057772
2.35,0.13837,0.058617
2.36,0.13839,0.057779
2.37,0.1384,0.055819
2.38,0.13842,0.053967
2.39,0.13843,0.05276
2.4,0.13844,0.052492
2.41,0.13846,0.053135
2.42,0.13847,0.05414
2.43,0.13848,0.054578
2.44,0.13849,0.05419
2.45,0.13851,0.053565
2.46,0.13853,0.053004
2.47,0.13855,0.052402
2.48,0.13859,0.050861
2.49,0.13862,0.047678
2.5,0.13866,0.042813
2.51,0.1387,0.037574
2.52,0.13874,0.033768
2.53,0.13879,0.032225
2.54,0.13883,0.032901
2.55,0.13886,0.035129
2.56,0.1389,0.038458
2.57,0.13893,0.04244
2.58,0.13896,0.047064
2.59,0.13898,0.05212
2.6,0.13901,0.056861
2.61,0.13903,0.060981
2.62,0.13906,0.063821
2.63,0.13908,0.065209
2.64,0.1391,0.064822
2.65,0.13912,0.062609
2.66,0.13913,0.059764
