t,Elongation,Activation
-0,0.15944,0.011477
0.01,0.15941,0.026117
0.02,0.15417,0.038797
0.03,0.14983,0.047946
0.04,0.14824,0.054077
0.05,0.14821,0.058342
0.06,0.14839,0.060852
0.07,0.14835,0.060939
0.08,0.14817,0.058608
0.09,0.14798,0.055508
0.1,0.14781,0.052573
0.11,0.14764,0.049729
0.12,0.14746,0.047244
0.13,0.14727,0.046148
0.14,0.14707,0.046826
0.15,0.14686,0.049078
0.16,0.14664,0.051952
0.17,0.14643,0.054724
0.18,0.14622,0.056597
0.19,0.14601,0.057092
0.2,0.1458,0.056256
0.21,0.1456,0.054093
0.22,0.1454,0.051096
0.23,0.1452,0.0477
0.24,0.145,0.044087
0.25,0.14481,0.040463
0.26,0.14462,0.037903
0.27,0.14443,0.037335
0.28,0.14424,0.039047
0.29,0.14405,0.042615
0.3,0.14387,0.047117
0.31,0.14368,0.05146
0.32,0.1435,0.054269
0.33,0.14332,0.054548
0.34,0.14314,0.052948
0.35,0.14297,0.05096
0.36,0.1428,0.050129
0.37,0.14263,0.051169
0.38,0.14246,0.053717
0.39,0.1423,0.056182
0.4,0.14214,0.057748
0.41,0.14198,0.05862
0.42,0.14183,0.058839
0.43,0.14169,0.058618
0.44,0.14156,0.057805
0.45,0.14143,0.055991
0.46,0.14132,0.05322
0.47,0.14121,0.050265
0.48,0.14111,0.048056
0.49,0.14102,0.046856
0.5,0.14092,0.046385
0.51,0.14084,0.0459
0.52,0.14076,0.044605
0.53,0.14068,0.042276
0.54,0.1406,0.039023
0.55,0.14053,0.035411
0.56,0.14047,0.032541
0.57,0.1404,0.031474
0.58,0.14034,0.032586
0.59,0.14028,0.035352
0.6,0.14022,0.039175
0.61,0.14015,0.04374
0.62,0.14009,0.048837
0.63,0.14003,0.053863
0.64,0.13996,0.05765
0.65,0.13989,0.058707
0.66,0.13983,0.056405
0.67,0.13976,0.052488
0.68,0.13969,0.048615
0.69,0.13962,0.046152
0.7,0.13955,0.045088
0.71,0.13948,0.044547
0.72,0.1394,0.044134
0.73,0.13933,0.043855
0.74,0.13926,0.04347
0.75,0.13918,0.043442
0.76,0.1391,0.044283
0.77,0.13902,0.045647
0.78,0.13893,0.046379
0.79,0.13883,0.046266
0.8,0.13872,0.045678
0.81,0.1386,0.045274
0.82,0.13847,0.045675
0.83,0.13832,0.046719
0.84,0.13814,0.04787
0.85,0.13794,0.048895
0.86,0.1377,0.04935
0.87,0.13741,0.049594
0.88,0.13704,0.050127
0.89,0.13659,0.050468
0.9,0.13604,0.050197
0.91,0.13536,0.049575
0.92,0.13453,0.048889
0.93,0.13353,0.047925
0.94,0.13235,0.046407
0.95,0.13095,0.043874
0.96,0.12932,0.040635
0.97,0.12746,0.037875
0.98,0.12536,0.036478
0.99,0.12301,0.037053
1,0.12042,0.039239
1.01,0.1176,0.042017
1.02,0.11456,0.04408
1.03,0.11134,0.044983
1.04,0.10795,0.045946
1.05,0.10443,0.047435
1.06,0.10082,0.048816
1.07,0.0971599999999999,0.049205
1.08,0.0934999999999999,0.047041
1.09,0.08988,0.04217
1.1,0.08636,0.036009
1.11,0.08297,0.029582
1.12,0.0797399999999999,0.023707
1.13,0.0767,0.019408
1.14,0.07386,0.017402
1.15,0.07121,0.017728
1.16,0.06873,0.020105
1.17,0.0664,0.024056
1.18,0.0641799999999999,0.028773
1.19,0.06202,0.032888
1.2,0.0598799999999999,0.035017
1.21,0.05775,0.035402
1.22,0.05559,0.034803
1.23,0.05338,0.033706
1.24,0.0511200000000001,0.031993
1.25,0.0488200000000001,0.030171
1.26,0.0465,0.029497
1.27,0.04419,0.030529
1.28,0.0419099999999999,0.032853
1.29,0.03972,0.03547
1.3,0.03765,0.037096
1.31,0.0357400000000001,0.037397
1.32,0.03403,0.036941
1.33,0.03254,0.035486
1.34,0.0313000000000001,0.032334
1.35,0.0302899999999999,0.028575
1.36,0.0295300000000001,0.025651
1.37,0.0289900000000001,0.024184
1.38,0.0286299999999999,0.02405
1.39,0.02834,0.024696
1.4,0.0281199999999999,0.02564
1.41,0.0279499999999999,0.027183
1.42,0.0277799999999999,0.02947
1.43,0.02755,0.032232
1.44,0.0271999999999999,0.034648
1.45,0.0266999999999999,0.035524
1.46,0.026,0.034596
1.47,0.02508,0.03317
1.48,0.0239199999999999,0.03236
1.49,0.0224899999999999,0.032861
1.5,0.0207900000000001,0.03451
1.51,0.0188299999999999,0.036727
1.52,0.0165999999999999,0.038599
1.53,0.01414,0.03921
1.54,0.01146,0.03816
1.55,0.00859999999999994,0.036048
1.56,0.00560999999999989,0.035168
1.57,0.00253999999999999,0.038064
1.58,-0.000561000000000034,0.046513
1.59,-0.00362899999999999,0.061748
1.6,-0.00660000000000005,0.084856
1.61,-0.00942299999999996,0.115868
1.62,-0.012061,0.152157
1.63,-0.0144919999999999,0.186549
1.64,-0.016706,0.208183
1.65,-0.0187079999999999,0.209892
1.66,-0.020516,0.19757
1.67,-0.022157,0.182112
1.68,-0.023664,0.169286
1.69,-0.025074,0.162523
1.7,-0.026423,0.163348
1.71,-0.027751,0.167961
1.72,-0.029085,0.171775
1.73,-0.03045,0.176015
1.74,-0.031867,0.178539
1.75,-0.03335,0.175574
1.76,-0.034918,0.172
1.77,-0.036579,0.172404
1.78,-0.038335,0.176117
1.79,-0.040187,0.180725
1.8,-0.042137,0.182648
1.81,-0.044175,0.178607
1.82,-0.0463,0.171447
1.83,-0.048511,0.161305
1.84,-0.0508,0.1474
1.85,-0.053169,0.131232
1.86,-0.055611,0.112479
1.87,-0.058119,0.094948
1.88,-0.060681,0.082631
1.89,-0.063291,0.075854
1.9,-0.065941,0.071886
1.91,-0.068623,0.066843
1.92,-0.071334,0.059313
1.93,-0.074076,0.050967
1.94,-0.076847,0.043984
1.95,-0.079647,0.040215
1.96,-0.082483,0.038858
1.97,-0.08536,0.038845
1.98,-0.088289,0.039384
1.99,-0.091275,0.039439
2,-0.094328,0.03774
2.01,-0.097448,0.034423
2.02,-0.100632,0.030875
2.03,-0.103871,0.028378
2.04,-0.107151,0.027607
2.05,-0.110459,0.028511
2.06,-0.113768,0.030344
2.07,-0.117064,0.031967
2.08,-0.120327,0.033893
2.09,-0.123541,0.037222
2.1,-0.126692,0.042128
2.11,-0.129767,0.048152
2.12,-0.132754,0.054251
2.13,-0.135643,0.060435
2.14,-0.138423,0.068175
2.15,-0.141085,0.078237
2.16,-0.143618,0.091177
2.17,-0.146021,0.10442
2.18,-0.148278,0.116835
2.19,-0.150377,0.124482
2.2,-0.152308,0.124016
2.21,-0.154061,0.118492
2.22,-0.155633,0.111662
2.23,-0.15702,0.106961
2.24,-0.158218,0.107324
2.25,-0.159241,0.112363
2.26,-0.16011,0.117741
2.27,-0.160841,0.116921
2.28,-0.161452,0.107659
2.29,-0.161967,0.093356
2.3,-0.162409,0.076742
2.31,-0.1628,0.060502
2.32,-0.163159,0.047286
2.33,-0.1635,0.038889
2.34,-0.163831,0.035873
2.35,-0.164155,0.037645
2.36,-0.164472,0.04256
2.37,-0.164778,0.048291
2.38,-0.165067,0.053476
2.39,-0.16533,0.058418
2.4,-0.16556,0.063025
2.41,-0.165751,0.068968
2.42,-0.165899,0.076721
2.43,-0.166003,0.085999
2.44,-0.166064,0.097674
2.45,-0.166087,0.111122
2.46,-0.16608,0.123822
2.47,-0.16605,0.129985
2.48,-0.166009,0.124697
2.49,-0.165967,0.110496
2.5,-0.165935,0.091286
2.51,-0.165924,0.070357
2.52,-0.165943,0.051153
2.53,-0.166001,0.036199
2.54,-0.166103,0.0265
2.55,-0.166253,0.021717
2.56,-0.166452,0.020802
2.57,-0.166699,0.022337
2.58,-0.16699,0.024406
2.59,-0.16732,0.025505
2.6,-0.167682,0.026214
2.61,-0.168069,0.027137
2.62,-0.168471,0.028413
2.63,-0.16888,0.030472
2.64,-0.169286,0.034535
2.65,-0.16968,0.041076
2.66,-0.170056,0.04952
2.67,-0.170404,0.057838
2.68,-0.170718,0.062313
2.69,-0.170992,0.060493
2.7,-0.171218,0.053999
2.71,-0.17139,0.045393
2.72,-0.1715,0.0374
2.73,-0.17154,0.031482
2.74,-0.171498,0.028072
2.75,-0.171364,0.027223
2.76,-0.171123,0.028253
2.77,-0.170759,0.029843
2.78,-0.170262,0.030204
2.79,-0.169607,0.028768
2.8,-0.168767,0.026434
2.81,-0.167722,0.024055
2.82,-0.166457,0.022442
2.83,-0.164956,0.021997
2.84,-0.163202,0.022735
2.85,-0.161184,0.024636
2.86,-0.158889,0.027174
2.87,-0.156309,0.02955
2.88,-0.153438,0.030364
2.89,-0.150271,0.029387
2.9,-0.146806,0.02776
2.91,-0.143035,0.026541
2.92,-0.138963,0.026975
2.93,-0.134597,0.029732
2.94,-0.129948,0.034717
2.95,-0.125022,0.041087
2.96,-0.119835,0.047852
2.97,-0.114406,0.054429
2.98,-0.108774,0.059594
2.99,-0.102968,0.061098
3,-0.097025,0.058588
3.01,-0.090977,0.053976
3.02,-0.084867,0.048796
3.03,-0.0787330000000001,0.044179
3.04,-0.072608,0.040758
3.05,-0.066524,0.038617
3.06,-0.060518,0.037625
3.07,-0.054615,0.037795
3.08,-0.048836,0.038756
3.09,-0.043206,0.039906
3.1,-0.0377420000000001,0.041276
3.11,-0.032463,0.04278
3.12,-0.027385,0.043827
3.13,-0.022527,0.044217
3.14,-0.017904,0.044664
3.15,-0.013524,0.045876
3.16,-0.00940200000000002,0.048033
3.17,-0.00553800000000004,0.050562
3.18,-0.00192800000000004,0.053058
3.19,0.00144000000000011,0.05499
3.2,0.0045599999999999,0.055237
3.21,0.00747000000000009,0.052626
3.22,0.01017,0.04699
3.23,0.01271,0.03943
3.24,0.01512,0.032298
3.25,0.0174399999999999,0.027471
3.26,0.0197000000000001,0.02582
3.27,0.0219499999999999,0.027339
3.28,0.0242,0.031363
3.29,0.0264800000000001,0.036608
3.3,0.0288200000000001,0.041576
3.31,0.03121,0.044436
3.32,0.0336799999999999,0.045701
3.33,0.0362,0.045877
3.34,0.03877,0.044483
3.35,0.0413699999999999,0.041137
3.36,0.0439799999999999,0.036725
3.37,0.0465800000000001,0.032576
3.38,0.0491699999999999,0.029711
3.39,0.0517300000000001,0.029023
3.4,0.0542400000000001,0.030925
3.41,0.0567,0.0353
3.42,0.0590999999999999,0.041546
3.43,0.0614300000000001,0.048189
3.44,0.0637000000000001,0.054326
3.45,0.0659000000000001,0.061011
3.46,0.06803,0.068453
3.47,0.0700799999999999,0.076118
3.48,0.0720499999999999,0.083552
3.49,0.07395,0.089116
3.5,0.07576,0.091312
3.51,0.0774999999999999,0.089173
3.52,0.0791500000000001,0.083982
3.53,0.08081,0.078026
3.54,0.08239,0.072993
3.55,0.0838699999999999,0.069403
3.56,0.08528,0.068554
3.57,0.0866400000000001,0.070772
3.58,0.0879700000000001,0.074826
3.59,0.0892900000000001,0.077899
3.6,0.0905800000000001,0.077951
3.61,0.0918699999999999,0.075796
3.62,0.0931500000000001,0.072747
3.63,0.0944199999999999,0.069677
3.64,0.0956900000000001,0.067426
3.65,0.0969500000000001,0.065682
3.66,0.0982099999999999,0.063215
3.67,0.0994600000000001,0.060074
3.68,0.10071,0.056668
3.69,0.10195,0.052566
3.7,0.10319,0.04829
3.71,0.10443,0.045705
3.72,0.10567,0.04652
3.73,0.10692,0.051046
3.74,0.10819,0.058031
3.75,0.10947,0.065417
3.76,0.11078,0.07165
3.77,0.11213,0.075825
3.78,0.11352,0.078198
3.79,0.11495,0.078024
3.8,0.11642,0.075464
3.81,0.11792,0.071878
3.82,0.11947,0.068675
3.83,0.12104,0.067765
3.84,0.12264,0.070209
3.85,0.12424,0.075139
3.86,0.12586,0.080032
3.87,0.12748,0.081274
3.88,0.12908,0.078322
3.89,0.13067,0.074117
3.9,0.13224,0.071441
3.91,0.13378,0.071465
3.92,0.13529,0.074588
3.93,0.13674,0.079732
3.94,0.13813,0.084396
3.95,0.13945,0.085803
3.96,0.14069,0.082453
3.97,0.14184,0.076203
3.98,0.1429,0.06891
3.99,0.14387,0.062706
4,0.14476,0.05778
4.01,0.14555,0.054924
4.02,0.14626,0.054741
4.03,0.1469,0.056921
4.04,0.14747,0.060523
4.05,0.14798,0.063865
4.06,0.14844,0.065448
4.07,0.14885,0.064572
4.08,0.14921,0.062439
4.09,0.14954,0.061098
4.1,0.14983,0.061314
4.11,0.15008,0.062257
4.12,0.1503,0.062374
4.13,0.15049,0.060539
4.14,0.15064,0.057754
4.15,0.15077,0.055318
4.16,0.15088,0.053934
4.17,0.15096,0.053691
4.18,0.15102,0.054552
4.19,0.15106,0.056942
4.2,0.15109,0.060498
4.21,0.15112,0.064717
4.22,0.15114,0.068677
4.23,0.15116,0.072129
4.24,0.15118,0.07474
4.25,0.1512,0.076222
4.26,0.15123,0.077027
4.27,0.15126,0.077422
