t,ankle
0,-13.20926026
0.01,-13.2027975
0.02,-13.20258308
0.03,-13.20150516
0.04,-13.19986276
0.05,-13.19721222
0.06,-13.16390198
0.07,-13.16498333
0.08,-13.16499991
0.09,-13.1649637
0.1,-13.15518717
0.11,-13.15620594
0.12,-13.15659853
0.13,-13.15662668
0.14,-13.15589038
0.15,-13.15588928
0.16,-13.14976657
0.17,-13.14974755
0.18,-13.1484894
0.19,-13.14847796
0.2,-13.14718187
0.21,-13.14610438
0.22,-13.14603695
0.23,-13.14322332
0.24,-13.14262716
0.25,-13.14243371
0.26,-13.14254395
0.27,-13.14306915
0.28,-13.14323623
0.29,-13.14400223
0.3,-13.16015937
0.31,-13.16049217
0.32,-13.16130982
0.33,-13.16156476
0.34,-13.16288584
0.35,-13.16316794
0.36,-13.16558397
0.37,-13.18498446
0.38,-13.18502483
0.39,-13.18515068
0.4,-13.18583369
0.41,-13.18819412
0.42,-13.21947238
0.43,-13.21782151
0.44,-13.21704635
0.45,-13.2168728
0.46,-13.2176653
0.47,-13.21768
0.48,-13.21416845
0.49,-13.21418412
0.5,-13.21553264
0.51,-13.21805585
0.52,-13.22078668
0.53,-13.21984662
0.54,-13.21937818
0.55,-13.21928974
0.56,-13.21927463
0.57,-13.21967924
0.58,-13.21966687
0.59,-13.21969559
0.6,-13.21871511
0.61,-13.2186642
0.62,-13.21865903
0.63,-13.21981076
0.64,-13.22185334
0.65,-13.22154687
0.66,-13.22158902
0.67,-13.22558825
0.68,-13.22556044
0.69,-13.22894219
0.7,-13.228957
0.71,-13.23372548
0.72,-13.23380026
0.73,-13.240726
0.74,-13.24217141
0.75,-13.24916997
0.76,-13.25045096
0.77,-13.25887479
0.78,-13.26024689
0.79,-13.27128715
0.8,-13.2796352
0.81,-13.28767204
0.82,-13.29695411
0.83,-13.30740123
0.84,-13.31874592
0.85,-13.33147576
0.86,-13.3191531
0.87,-13.35006056
0.88,-13.34856122
0.89,-13.35788431
0.9,-13.38912281
0.91,-13.38487898
0.92,-13.39820393
0.93,-13.43336008
0.94,-13.42307234
0.95,-13.46302668
0.96,-13.45456084
0.97,-13.50114031
0.98,-13.51712612
0.99,-13.52054787
1,-13.5255556
1.01,-13.51121585
1.02,-13.47522624
1.03,-13.43594861
1.04,-13.36449184
1.05,-13.27221659
1.06,-13.14825566
1.07,-13.0090212
1.08,-12.84736329
1.09,-12.66874709
1.1,-12.47850113
1.11,-12.28732883
1.12,-12.07738771
1.13,-11.87721574
1.14,-11.66568228
1.15,-11.46704255
1.16,-11.26303038
1.17,-11.06441043
1.18,-10.86898731
1.19,-10.67799675
1.2,-10.48524826
1.21,-10.30011954
1.22,-10.11385506
1.23,-9.93493493
1.24,-9.75083075
1.25,-9.57149018
1.26,-9.37569686
1.27,-9.18572356
1.28,-8.98795959
1.29,-8.770745
1.3,-8.528708
1.31,-8.27360441
1.32,-7.97468227
1.33,-7.65912661
1.34,-7.32335347
1.35,-6.94721829
1.36,-6.54583485
1.37,-6.13172614
1.38,-5.72720333
1.39,-5.2997873
1.4,-4.86512833
1.41,-4.45048801
1.42,-4.0595014
1.43,-3.67070456
1.44,-3.29272673
1.45,-2.94075611
1.46,-2.60142916
1.47,-2.28845148
1.48,-1.9947739
1.49,-1.73326532
1.5,-1.49852106
1.51,-1.29715886
1.52,-1.12421488
1.53,-0.98274988
1.54,-0.86752773
1.55,-0.7712438
1.56,-0.68976012
1.57,-0.61510101
1.58,-0.53919898
1.59,-0.45680666
1.6,-0.36820393
1.61,-0.26728197
1.62,-0.15709664
1.63,-0.03766929
1.64,0.08854801
1.65,0.21607289
1.66,0.34639008
1.67,0.46860335
1.68,0.58414321
1.69,0.69050066
1.7,0.78725321
1.71,0.87360601
1.72,0.94255798
1.73,0.99143218
1.74,1.032672
1.75,1.05658353
1.76,1.07235665
1.77,1.07199247
1.78,1.06232068
1.79,1.03941375
1.8,1.00746261
1.81,0.96973446
1.82,0.91357759
1.83,0.85271764
1.84,0.79044731
1.85,0.67090213
1.86,0.60353827
1.87,0.45510084
1.88,0.3781306
1.89,0.20970498
1.9,0.08362379
1.91,-0.05537232
1.92,-0.19807594
1.93,-0.34590491
1.94,-0.48183247
1.95,-0.65365774
1.96,-0.79544318
1.97,-0.96913563
1.98,-1.14515636
1.99,-1.32795447
2,-1.5169199
2.01,-1.71595183
2.02,-1.92341496
2.03,-2.13241359
2.04,-2.35188282
2.05,-2.57324426
2.06,-2.79616084
2.07,-3.02628973
2.08,-3.26259043
2.09,-3.49014213
2.1,-3.71982002
2.11,-3.95202287
2.12,-4.18284543
2.13,-4.41422589
2.14,-4.63355185
2.15,-4.84776277
2.16,-5.05065842
2.17,-5.23870136
2.18,-5.41102469
2.19,-5.56309793
2.2,-5.68785988
2.21,-5.80076822
2.22,-5.88059576
2.23,-5.93604786
2.24,-5.97231134
2.25,-5.99255269
2.26,-6.00101222
2.27,-6.000404
2.28,-5.99733077
2.29,-5.99169383
2.3,-5.98755949
2.31,-5.98578515
2.32,-5.98700149
2.33,-5.99136241
2.34,-5.99870048
2.35,-6.00795298
2.36,-6.01897921
2.37,-6.0252594
2.38,-6.03024475
2.39,-6.03227401
2.4,-6.02580309
2.41,-6.02117864
2.42,-6.00576721
2.43,-5.99277325
2.44,-5.96219921
2.45,-5.93364227
2.46,-5.92852855
2.47,-5.91135672
2.48,-5.90133019
2.49,-5.88117742
2.5,-5.82957835
2.51,-5.84921916
2.52,-5.8142839
2.53,-5.85381877
2.54,-5.8414983
2.55,-5.85639501
2.56,-5.8744469
2.57,-5.8985647
2.58,-5.92540103
2.59,-5.95824556
2.6,-5.98956007
2.61,-6.02511634
2.62,-6.05928798
2.63,-6.09355911
2.64,-6.12578717
2.65,-6.15651959
2.66,-6.18214406
2.67,-6.20691192
2.68,-6.22302706
2.69,-6.24308304
2.7,-6.24490893
2.71,-6.25704042
2.72,-6.24913794
2.73,-6.24808726
2.74,-6.22650535
2.75,-6.20589031
2.76,-6.17092477
2.77,-6.12300765
2.78,-6.07685338
2.79,-6.0048902
2.8,-5.91539704
2.81,-5.80702496
2.82,-5.6770484
2.83,-5.52515393
2.84,-5.34831166
2.85,-5.15069531
2.86,-4.92842559
2.87,-4.68383999
2.88,-4.41716441
2.89,-4.12612458
2.9,-3.80994292
2.91,-3.47685475
2.92,-3.11494491
2.93,-2.73294687
2.94,-2.33078584
2.95,-1.90000333
2.96,-1.44270439
2.97,-0.99528642
2.98,-0.49094488
2.99,-0.0295416
3,0.49209946
3.01,0.98728337
3.02,1.45915063
3.03,1.96454192
3.04,2.42311457
3.05,2.88794572
3.06,3.29798532
3.07,3.71948822
3.08,4.08976623
3.09,4.45268497
3.1,4.78009673
3.11,5.07793385
3.12,5.34091258
3.13,5.5663188
3.14,5.75608279
3.15,5.90865398
3.16,6.01765399
3.17,6.08519932
3.18,6.10707417
3.19,6.09070534
3.2,6.03620604
3.21,5.94948484
3.22,5.82868509
3.23,5.6879685
3.24,5.52825032
3.25,5.35007058
3.26,5.16530089
3.27,4.96972319
3.28,4.76825898
3.29,4.56814773
3.3,4.36571226
3.31,4.15922486
3.32,3.95623503
3.33,3.75202313
3.34,3.54466712
3.35,3.33619068
3.36,3.12470683
3.37,2.90641247
3.38,2.68367933
3.39,2.45363762
3.4,2.21929488
3.41,1.98101006
3.42,1.73793834
3.43,1.50313737
3.44,1.2356013
3.45,0.97530582
3.46,0.72859822
3.47,0.45353874
3.48,0.19055955
3.49,-0.08701182
3.5,-0.37424237
3.51,-0.67005404
3.52,-0.96960761
3.53,-1.28277139
3.54,-1.59679165
3.55,-1.91531218
3.56,-2.23933837
3.57,-2.57498327
3.58,-2.90264686
3.59,-3.23854923
3.6,-3.56863807
3.61,-3.89166545
3.62,-4.19635817
3.63,-4.49912898
3.64,-4.8048576
3.65,-5.09865121
3.66,-5.39222542
3.67,-5.6828841
3.68,-5.95874757
3.69,-6.2545771
3.7,-6.53621777
3.71,-6.82358168
3.72,-7.09960774
3.73,-7.36936438
3.74,-7.65542587
3.75,-7.93245774
3.76,-8.19796111
3.77,-8.46429559
3.78,-8.72303987
3.79,-8.98039461
3.8,-9.22627241
3.81,-9.46942233
3.82,-9.69675824
3.83,-9.91672301
3.84,-10.1228771
3.85,-10.3147972
3.86,-10.48454746
3.87,-10.63640752
3.88,-10.77100116
3.89,-10.88583657
3.9,-10.98477832
3.91,-11.07021653
3.92,-11.14433356
3.93,-11.20771291
3.94,-11.270144
3.95,-11.32668794
3.96,-11.38266814
3.97,-11.44054334
3.98,-11.49878168
3.99,-11.5588868
4,-11.61840455
4.01,-11.67952548
4.02,-11.7387398
4.03,-11.80082331
4.04,-11.85337006
4.05,-11.90811077
4.06,-11.94524995
4.07,-11.97723565
4.08,-12.00890562
4.09,-12.03267648
4.1,-12.00905248
4.11,-12.04492488
4.12,-12.03035755
4.13,-12.0245075
4.14,-12.00891482
4.15,-12.00005752
4.16,-11.95693323
4.17,-11.93147061
4.18,-11.90558684
4.19,-11.88751143
4.2,-11.85889673
4.21,-11.84259097
4.22,-11.82683472
4.23,-11.8185411
4.24,-11.8148887
4.25,-11.80293552
4.26,-11.80121244
4.27,-11.7991767
4.28,-11.79547381
4.29,-11.79660254
4.3,-11.79543536
4.31,-11.79437474
4.32,-11.79405475
