t,Angle
0,-5.35850843
0.01,-5.35341807
0.02,-5.35609887
0.03,-5.35899949
0.04,-5.36199978
0.05,-5.36544698
0.06,-5.37238622
0.07,-5.37590681
0.08,-5.37886789
0.09,-5.37933294
0.1,-5.3714361
0.11,-5.37244616
0.12,-5.37338295
0.13,-5.37377753
0.14,-5.37344369
0.15,-5.37387972
0.16,-5.37776371
0.17,-5.37796052
0.18,-5.37433253
0.19,-5.37459013
0.2,-5.37086438
0.21,-5.3685361
0.22,-5.36865246
0.23,-5.3662258
0.24,-5.36384526
0.25,-5.36215476
0.26,-5.36062367
0.27,-5.35928152
0.28,-5.35933345
0.29,-5.3568762
0.3,-5.34048129
0.31,-5.33952262
0.32,-5.33846883
0.33,-5.33837304
0.34,-5.33541261
0.35,-5.33542758
0.36,-5.33129902
0.37,-5.32094948
0.38,-5.31823307
0.39,-5.31802303
0.4,-5.31411294
0.41,-5.31028108
0.42,-5.2920802
0.43,-5.29083484
0.44,-5.29019664
0.45,-5.2898255
0.46,-5.290523
0.47,-5.29055227
0.48,-5.28460363
0.49,-5.28458398
0.5,-5.28634328
0.51,-5.29093039
0.52,-5.30031104
0.53,-5.2994639
0.54,-5.30032642
0.55,-5.30045166
0.56,-5.3005228
0.57,-5.30511048
0.58,-5.30518882
0.59,-5.32679313
0.6,-5.32580777
0.61,-5.32575549
0.62,-5.32577604
0.63,-5.33236442
0.64,-5.34626615
0.65,-5.34745045
0.66,-5.34763237
0.67,-5.36416648
0.68,-5.36407221
0.69,-5.37315247
0.7,-5.37302447
0.71,-5.37912885
0.72,-5.37905604
0.73,-5.38493178
0.74,-5.38660882
0.75,-5.39011575
0.76,-5.39166563
0.77,-5.39755743
0.78,-5.39917242
0.79,-5.41041559
0.8,-5.42033764
0.81,-5.43131487
0.82,-5.4464881
0.83,-5.4664989
0.84,-5.49206725
0.85,-5.52616037
0.86,-5.57283215
0.87,-5.61967521
0.88,-5.68203448
0.89,-5.77977568
0.9,-5.87769115
0.91,-6.02055329
0.92,-6.17994787
0.93,-6.38806477
0.94,-6.61640777
0.95,-6.90797067
0.96,-7.21909351
0.97,-7.62027693
0.98,-8.05619679
0.99,-8.548169
1,-9.11315817
1.01,-9.74362149
1.02,-10.4446535
1.03,-11.22391739
1.04,-12.07235975
1.05,-12.98353793
1.06,-13.95004976
1.07,-14.95518063
1.08,-15.98452104
1.09,-17.02164373
1.1,-18.05099512
1.11,-19.05566015
1.12,-20.033159
1.13,-20.96921838
1.14,-21.87669349
1.15,-22.74054113
1.16,-23.56650393
1.17,-24.38697098
1.18,-25.19974015
1.19,-26.01019838
1.2,-26.83522437
1.21,-27.66300349
1.22,-28.50185374
1.23,-29.35777215
1.24,-30.250251
1.25,-31.14551734
1.26,-32.07169339
1.27,-33.00581428
1.28,-33.9557646
1.29,-34.91576863
1.3,-35.89674984
1.31,-36.88785047
1.32,-37.9089924
1.33,-38.94513226
1.34,-39.99643138
1.35,-41.07974396
1.36,-42.17100093
1.37,-43.27787198
1.38,-44.39074164
1.39,-45.52446864
1.4,-46.66165322
1.41,-47.79872814
1.42,-48.92832569
1.43,-50.05857153
1.44,-51.18748657
1.45,-52.30130272
1.46,-53.41291419
1.47,-54.51310326
1.48,-55.60760352
1.49,-56.68801395
1.5,-57.76215338
1.51,-58.82239101
1.52,-59.8751103
1.53,-60.91377889
1.54,-61.93599978
1.55,-62.94600128
1.56,-63.93634347
1.57,-64.90805763
1.58,-65.86082263
1.59,-66.79149833
1.6,-67.70238202
1.61,-68.58349369
1.62,-69.44313498
1.63,-70.27909847
1.64,-71.08530287
1.65,-71.85901002
1.66,-72.60971257
1.67,-73.32579133
1.68,-74.01448487
1.69,-74.67580039
1.7,-75.30985186
1.71,-75.9141026
1.72,-76.49847958
1.73,-77.05841128
1.74,-77.59974986
1.75,-78.11931
1.76,-78.62514131
1.77,-79.11211062
1.78,-79.58563735
1.79,-80.03447865
1.8,-80.48821843
1.81,-80.91089766
1.82,-81.33036141
1.83,-81.72755418
1.84,-82.10763862
1.85,-82.47504502
1.86,-82.82603076
1.87,-83.15057231
1.88,-83.46847648
1.89,-83.75197024
1.9,-84.02454251
1.91,-84.2839248
1.92,-84.5233465
1.93,-84.75589315
1.94,-84.97792867
1.95,-85.18885005
1.96,-85.40258121
1.97,-85.60602027
1.98,-85.81008507
1.99,-86.01123978
2,-86.20977566
2.01,-86.40271432
2.02,-86.58920375
2.03,-86.76338002
2.04,-86.92212188
2.05,-87.05904203
2.06,-87.16847864
2.07,-87.24832019
2.08,-87.28708321
2.09,-87.30175773
2.1,-87.27222782
2.11,-87.21352556
2.12,-87.12957304
2.13,-87.01660265
2.14,-86.90733664
2.15,-86.78301295
2.16,-86.67488952
2.17,-86.58495144
2.18,-86.52232413
2.19,-86.48545423
2.2,-86.47179532
2.21,-86.49946782
2.22,-86.54940181
2.23,-86.62507631
2.24,-86.71836374
2.25,-86.82272976
2.26,-86.93414573
2.27,-87.04476855
2.28,-87.15589214
2.29,-87.2567961
2.3,-87.3502005
2.31,-87.43600714
2.32,-87.51370162
2.33,-87.58511303
2.34,-87.652183
2.35,-87.71718199
2.36,-87.77929096
2.37,-87.8407982
2.38,-87.90180316
2.39,-87.96317501
2.4,-88.0268081
2.41,-88.09003302
2.42,-88.154166
2.43,-88.21848192
2.44,-88.28723364
2.45,-88.3564403
2.46,-88.41355842
2.47,-88.47690049
2.48,-88.53985843
2.49,-88.59779851
2.5,-88.65303971
2.51,-88.69714596
2.52,-88.74653747
2.53,-88.77975592
2.54,-88.80917623
2.55,-88.83382126
2.56,-88.85038092
2.57,-88.86063643
2.58,-88.86635342
2.59,-88.86852026
2.6,-88.8664977
2.61,-88.86090334
2.62,-88.85383552
2.63,-88.84380526
2.64,-88.83448595
2.65,-88.82781012
2.66,-88.8215881
2.67,-88.81601874
2.68,-88.81194229
2.69,-88.8082041
2.7,-88.80653698
2.71,-88.80519558
2.72,-88.80614745
2.73,-88.80975595
2.74,-88.81494069
2.75,-88.81831493
2.76,-88.82783342
2.77,-88.83773563
2.78,-88.8530592
2.79,-88.86779342
2.8,-88.8892708
2.81,-88.91364647
2.82,-88.94539806
2.83,-88.98348653
2.84,-89.02800188
2.85,-89.07845693
2.86,-89.13885037
2.87,-89.20603412
2.88,-89.27894069
2.89,-89.35968151
2.9,-89.45310994
2.91,-89.54157082
2.92,-89.64590689
2.93,-89.75104975
2.94,-89.85940892
2.95,-89.97944297
2.96,-90.10234803
2.97,-90.22120145
2.98,-90.35338953
2.99,-90.46655546
3,-90.57926754
3.01,-90.67851485
3.02,-90.75329132
3.03,-90.80755088
3.04,-90.82074859
3.05,-90.79778442
3.06,-90.72135607
3.07,-90.59414833
3.08,-90.40380346
3.09,-90.15171739
3.1,-89.83476721
3.11,-89.44977845
3.12,-88.9926286
3.13,-88.47230538
3.14,-87.88376024
3.15,-87.23036478
3.16,-86.51265879
3.17,-85.73448383
3.18,-84.90092624
3.19,-84.01102016
3.2,-83.06876321
3.21,-82.08413573
3.22,-81.05532945
3.23,-79.98688334
3.24,-78.88723759
3.25,-77.75486527
3.26,-76.59367811
3.27,-75.41613509
3.28,-74.21098264
3.29,-72.99734681
3.3,-71.77246972
3.31,-70.53505948
3.32,-69.29530641
3.33,-68.05709395
3.34,-66.81718322
3.35,-65.58644044
3.36,-64.36395381
3.37,-63.14770906
3.38,-61.94182354
3.39,-60.74877216
3.4,-59.56606307
3.41,-58.39612843
3.42,-57.23333626
3.43,-56.0794856
3.44,-54.93241321
3.45,-53.7927179
3.46,-52.65497224
3.47,-51.52186527
3.48,-50.38848001
3.49,-49.2545879
3.5,-48.11976722
3.51,-46.98424501
3.52,-45.84196164
3.53,-44.70804909
3.54,-43.56179398
3.55,-42.41489509
3.56,-41.30444504
3.57,-40.17443133
3.58,-39.03254935
3.59,-37.93378789
3.6,-36.85414096
3.61,-35.8016212
3.62,-34.75587966
3.63,-33.74446045
3.64,-32.75834322
3.65,-31.79214714
3.66,-30.87668005
3.67,-29.9219031
3.68,-29.00407383
3.69,-28.10778759
3.7,-27.24254256
3.71,-26.34826095
3.72,-25.49844102
3.73,-24.61937105
3.74,-23.79525502
3.75,-22.95365666
3.76,-22.09422416
3.77,-21.28996428
3.78,-20.4416403
3.79,-19.64949611
3.8,-18.82306718
3.81,-18.04160147
3.82,-17.26025088
3.83,-16.47142075
3.84,-15.76748071
3.85,-15.05950637
3.86,-14.36521514
3.87,-13.76258045
3.88,-13.16542118
3.89,-12.60803851
3.9,-12.08336882
3.91,-11.60440297
3.92,-11.14607418
3.93,-10.72224121
3.94,-10.31865201
3.95,-9.93836024
3.96,-9.57745933
3.97,-9.23389756
3.98,-8.90671065
3.99,-8.59410766
4,-8.29597583
4.01,-8.00915131
4.02,-7.78649833
4.03,-7.49342178
4.04,-7.29857718
4.05,-7.0662793
4.06,-6.86407495
4.07,-6.72747938
4.08,-6.59874807
4.09,-6.48882785
4.1,-6.42519495
4.11,-6.32738143
4.12,-6.30133584
4.13,-6.28887075
4.14,-6.29545214
4.15,-6.3208767
4.16,-6.34960096
4.17,-6.39737163
4.18,-6.44337209
4.19,-6.49443726
4.2,-6.52964265
4.21,-6.56431672
4.22,-6.59042488
4.23,-6.61778678
4.24,-6.62008671
4.25,-6.61744519
4.26,-6.60907171
4.27,-6.60023755
4.28,-6.58498103
4.29,-6.57293437
4.3,-6.5682041
4.31,-6.56317073
4.32,-6.5481084
