t,Elongation,Activation
-0,0.25502,0.165196
0.01,0.25681,0.232683
0.02,0.25595,0.283735
0.03,0.25663,0.305979
0.04,0.25889,0.301434
0.05,0.26146,0.281257
0.06,0.26388,0.256497
0.07,0.26625,0.232776
0.08,0.26865,0.211736
0.09,0.27104,0.190133
0.1,0.27334,0.166244
0.11,0.27552,0.145455
0.12,0.27753,0.131637
0.13,0.27934,0.126932
0.14,0.2809,0.132799
0.15,0.28217,0.149474
0.16,0.28306,0.176
0.17,0.28348,0.20411
0.18,0.28332,0.229476
0.19,0.28238,0.25072
0.2,0.28045,0.274746
0.21,0.27724,0.307793
0.22,0.2724,0.349366
0.23,0.26551,0.39103
0.24,0.25621,0.421366
0.25,0.24419,0.433265
0.26,0.22903,0.429974
0.27,0.21039,0.420836
0.28,0.18829,0.408527
0.29,0.16307,0.390963
0.3,0.13531,0.364535
0.31,0.10577,0.322646
0.32,0.07545,0.270463
0.33,0.0492999999999999,0.216987
0.34,0.0274799999999999,0.167272
0.35,0.00781999999999994,0.124137
0.36,-0.011808,0.089171
0.37,-0.032343,0.062384
0.38,-0.053822,0.042932
0.39,-0.0761230000000001,0.029171
0.4,-0.0987980000000001,0.019551
0.41,-0.121393,0.013031
0.42,-0.143534,0.009045
0.43,-0.164903,0.00703
0.44,-0.185244,0.006624
0.45,-0.204356,0.007577
0.46,-0.222083,0.009638
0.47,-0.238335,0.012486
0.48,-0.25084,0.015725
0.49,-0.254565,0.018219
0.5,-0.248756,0.019704
0.51,-0.236814,0.020603
0.52,-0.222653,0.021277
0.53,-0.208195,0.021606
0.54,-0.193789,0.021275
0.55,-0.179349,0.020459
0.56,-0.164875,0.019547
0.57,-0.150455,0.018866
0.58,-0.13616,0.018619
0.59,-0.122028,0.0188
0.6,-0.108076,0.019306
0.61,-0.09431,0.019928
0.62,-0.080742,0.020417
0.63,-0.067377,0.020496
0.64,-0.05128,0.019872
0.65,-0.035626,0.018443
0.66,-0.021373,0.016528
0.67,-0.00765899999999997,0.014414
0.68,0.00635999999999992,0.012481
0.69,0.0208200000000001,0.011048
0.7,0.0355300000000001,0.010407
0.71,0.0504100000000001,0.010545
0.72,0.06548,0.011196
0.73,0.0807100000000001,0.012249
0.74,0.0959700000000001,0.013665
0.75,0.11101,0.015135
0.76,0.12545,0.016051
0.77,0.13893,0.015789
0.78,0.15118,0.014298
0.79,0.16195,0.012264
0.8,0.17106,0.010369
0.81,0.17833,0.009244
0.82,0.18359,0.008975
0.83,0.1867,0.009553
0.84,0.18761,0.010783
0.85,0.1863,0.012333
0.86,0.18285,0.013736
0.87,0.17741,0.014717
0.88,0.17024,0.014934
0.89,0.16167,0.014301
0.9,0.15205,0.013492
0.91,0.14179,0.013106
0.92,0.13126,0.013473
0.93,0.12081,0.014648
0.94,0.11078,0.016491
0.95,0.10142,0.018823
0.96,0.0929500000000001,0.021094
0.97,0.08552,0.022789
0.98,0.07925,0.023708
0.99,0.0742,0.023965
1,0.0704100000000001,0.023877
1.01,0.0678799999999999,0.02355
1.02,0.06656,0.022947
1.03,0.0663800000000001,0.021979
1.04,0.0672299999999999,0.020459
1.05,0.0689900000000001,0.018547
1.06,0.07155,0.016979
1.07,0.0748,0.016281
1.08,0.07864,0.016431
1.09,0.0829800000000001,0.017238
1.1,0.0877600000000001,0.018567
1.11,0.09291,0.02021
1.12,0.0983799999999999,0.022038
1.13,0.10411,0.024467
1.14,0.11007,0.028142
1.15,0.1162,0.03417
1.16,0.12248,0.043747
1.17,0.12887,0.057991
1.18,0.13535,0.077155
1.19,0.14188,0.100155
1.2,0.14845,0.124239
1.21,0.15503,0.146118
1.22,0.16162,0.162606
1.23,0.1682,0.168268
1.24,0.17475,0.157821
1.25,0.18125,0.134077
1.26,0.18771,0.106146
1.27,0.19407,0.082196
1.28,0.20033,0.067456
1.29,0.20646,0.065373
1.3,0.21244,0.077995
1.31,0.21823,0.10774
1.32,0.22381,0.156949
1.33,0.22917,0.22433
1.34,0.23428,0.30408
1.35,0.23914,0.382974
1.36,0.24375,0.444231
1.37,0.24812,0.482391
1.38,0.25225,0.494134
1.39,0.25616,0.483774
1.4,0.25985,0.460642
1.41,0.26333,0.428413
1.42,0.2666,0.393274
1.43,0.26967,0.358712
1.44,0.27253,0.325535
1.45,0.27518,0.290468
1.46,0.27763,0.257512
1.47,0.27988,0.22706
1.48,0.28193,0.200169
1.49,0.28377,0.183238
1.5,0.28541,0.181493
1.51,0.28682,0.194764
1.52,0.28797,0.21758
1.53,0.2888,0.239084
1.54,0.28921,0.251375
1.55,0.28907,0.257413
1.56,0.28819,0.263158
1.57,0.28631,0.275878
1.58,0.28312,0.298917
1.59,0.27824,0.32768
1.6,0.2712,0.351622
1.61,0.26148,0.357998
1.62,0.24875,0.341275
1.63,0.23274,0.302918
1.64,0.21314,0.251959
1.65,0.19005,0.199408
1.66,0.16396,0.150966
1.67,0.13557,0.108696
1.68,0.10563,0.075782
1.69,0.0745800000000001,0.053414
1.7,0.04739,0.040736
1.71,0.0244200000000001,0.035448
1.72,0.00354999999999994,0.034489
1.73,-0.017279,0.034162
1.74,-0.039081,0.031791
1.75,-0.0618069999999999,0.027248
1.76,-0.085085,0.022358
1.77,-0.108531,0.017933
1.78,-0.131798,0.01437
1.79,-0.154562,0.011764
1.8,-0.176535,0.01007
1.81,-0.197459,0.009203
1.82,-0.217118,0.008975
1.83,-0.235351,0.009166
1.84,-0.252052,0.009525
1.85,-0.264663,0.009818
1.86,-0.268601,0.010049
1.87,-0.263248,0.010342
1.88,-0.2517,0.010688
1.89,-0.23757,0.011201
1.9,-0.222725,0.01205
1.91,-0.207586,0.013258
1.92,-0.192168,0.014825
1.93,-0.176552,0.016791
1.94,-0.160913,0.01909
1.95,-0.145408,0.021644
1.96,-0.130146,0.024438
1.97,-0.115209,0.027132
1.98,-0.100664,0.029106
1.99,-0.086562,0.029639
2,-0.070102,0.028531
2.01,-0.054514,0.026205
2.02,-0.0407189999999999,0.023412
2.03,-0.027848,0.020977
2.04,-0.015061,0.019015
2.05,-0.00203500000000001,0.017418
2.06,0.01122,0.016099
2.07,0.0245500000000001,0.015117
2.08,0.03793,0.014165
2.09,0.05138,0.013057
2.1,0.0649,0.011859
2.11,0.07843,0.010749
2.12,0.09175,0.009894
2.13,0.10456,0.009443
2.14,0.11651,0.009312
2.15,0.1273,0.009327
2.16,0.13667,0.009364
2.17,0.1444,0.00943
2.18,0.15031,0.009499
2.19,0.15427,0.009582
2.2,0.15617,0.009562
2.21,0.15601,0.009245
2.22,0.15385,0.008746
2.23,0.14986,0.008291
2.24,0.14429,0.007944
2.25,0.13744,0.007671
2.26,0.12969,0.007509
2.27,0.12142,0.007538
2.28,0.11303,0.007945
2.29,0.10489,0.008915
2.3,0.0972999999999999,0.010494
2.31,0.09053,0.012643
2.32,0.0847800000000001,0.01523
2.33,0.08019,0.018093
2.34,0.0768599999999999,0.021321
2.35,0.07483,0.025212
2.36,0.07406,0.029877
2.37,0.0744400000000001,0.035118
2.38,0.0758399999999999,0.040848
2.39,0.07809,0.04589
2.4,0.081,0.049357
2.41,0.0844199999999999,0.049641
2.42,0.0882099999999999,0.046838
2.43,0.0922799999999999,0.042566
2.44,0.09657,0.038351
2.45,0.10106,0.034961
2.46,0.10572,0.032593
2.47,0.11055,0.03084
2.48,0.11555,0.029123
2.49,0.12071,0.027543
2.5,0.12602,0.02711
2.51,0.13145,0.029555
2.52,0.13698,0.036853
2.53,0.14257,0.05117
2.54,0.1482,0.074421
2.55,0.15383,0.107508
2.56,0.15945,0.148769
2.57,0.16501,0.192697
2.58,0.17052,0.229157
2.59,0.17595,0.245479
2.6,0.18129,0.238627
2.61,0.18655,0.217996
2.62,0.19169,0.19499
2.63,0.19672,0.179556
2.64,0.20163,0.176101
2.65,0.20643,0.182191
2.66,0.2111,0.191022
2.67,0.21565,0.200251
2.68,0.22008,0.216592
2.69,0.22437,0.2432
2.7,0.22854,0.280011
2.71,0.23258,0.318289
2.72,0.23649,0.353656
2.73,0.24025,0.384859
2.74,0.24387,0.409209
2.75,0.24735,0.42437
2.76,0.25067,0.428449
2.77,0.25384,0.419727
2.78,0.25687,0.400371
2.79,0.25975,0.366788
2.8,0.26249,0.325976
2.81,0.26511,0.29143
2.82,0.26761,0.269724
2.83,0.27001,0.257663
2.84,0.27233,0.251785
2.85,0.27458,0.252192
2.86,0.27677,0.258558
2.87,0.2789,0.263679
2.88,0.28094,0.261277
2.89,0.28283,0.252842
2.9,0.28449,0.244233
2.91,0.28577,0.235399
2.92,0.28649,0.224532
2.93,0.2864,0.218862
2.94,0.28519,0.223656
2.95,0.28252,0.239989
2.96,0.27794,0.262494
2.97,0.27097,0.284077
2.98,0.26109,0.30722
2.99,0.24805,0.333412
3,0.2317,0.357896
3.01,0.21188,0.369854
3.02,0.1889,0.3563
3.03,0.16342,0.316577
3.04,0.13618,0.259245
3.05,0.10789,0.199065
3.06,0.07877,0.146304
3.07,0.0521799999999999,0.103782
3.08,0.0292699999999999,0.069832
3.09,0.00878000000000001,0.044677
3.1,-0.011096,0.028369
3.11,-0.031455,0.019463
3.12,-0.052378,0.015744
3.13,-0.073588,0.015118
3.14,-0.09478,0.015746
3.15,-0.115701,0.0161
3.16,-0.136131,0.015636
3.17,-0.155877,0.01448
3.18,-0.174783,0.013067
3.19,-0.192722,0.011728
3.2,-0.20998,0.010558
3.21,-0.221706,0.009529
3.22,-0.226197,0.008611
3.23,-0.224665,0.007944
3.24,-0.219279,0.007695
3.25,-0.211747,0.007944
3.26,-0.202974,0.008697
3.27,-0.193313,0.009888
3.28,-0.182913,0.011359
3.29,-0.171892,0.012909
3.3,-0.160376,0.014273
3.31,-0.148489,0.015155
3.32,-0.136345,0.01537
3.33,-0.124031,0.015392
3.34,-0.111636,0.015684
3.35,-0.099232,0.01636
3.36,-0.086871,0.01715
3.37,-0.071676,0.017417
3.38,-0.056768,0.017022
3.39,-0.043177,0.016404
3.4,-0.030098,0.015913
3.41,-0.016656,0.015511
3.42,-0.00250399999999995,0.015015
3.43,0.01231,0.014251
3.44,0.02756,0.01316
3.45,0.04308,0.012011
3.46,0.0588200000000001,0.011057
3.47,0.07474,0.010419
3.48,0.09067,0.010157
3.49,0.10633,0.010282
3.5,0.12133,0.010711
3.51,0.13533,0.0113
3.52,0.14803,0.011901
3.53,0.15917,0.012326
3.54,0.1685,0.01248
3.55,0.17583,0.01235
3.56,0.18097,0.011994
3.57,0.18381,0.011489
3.58,0.18429,0.010938
3.59,0.18247,0.010417
