t,Angle
0,-3.87544216
0.01,-3.87426367
0.02,-3.84117351
0.03,-3.80458263
0.04,-3.79242317
0.05,-3.78331063
0.06,-3.80323893
0.07,-3.79568277
0.08,-3.8496993
0.09,-3.96830544
0.1,-4.06848371
0.11,-4.19537842
0.12,-4.31820212
0.13,-4.50354269
0.14,-4.73026598
0.15,-4.94292451
0.16,-5.20463032
0.17,-5.50823991
0.18,-5.86228545
0.19,-6.26764393
0.2,-6.76109212
0.21,-7.34560302
0.22,-8.05938804
0.23,-8.89146253
0.24,-9.90974506
0.25,-11.12105224
0.26,-12.54286744
0.27,-14.19752563
0.28,-16.09498679
0.29,-18.26265602
0.3,-20.71057853
0.31,-23.36689778
0.32,-26.22223671
0.33,-29.23630029
0.34,-32.33927047
0.35,-35.47295925
0.36,-38.59377873
0.37,-41.62587795
0.38,-44.53362426
0.39,-47.31687292
0.4,-49.92366704
0.41,-52.34436138
0.42,-54.55374204
0.43,-56.53236761
0.44,-58.26141074
0.45,-59.72722424
0.46,-60.91143354
0.47,-61.81836955
0.48,-62.44823975
0.49,-62.79693978
0.5,-62.86521548
0.51,-62.67711603
0.52,-62.25066315
0.53,-61.58649139
0.54,-60.70693291
0.55,-59.61114418
0.56,-58.37264717
0.57,-56.9236415
0.58,-55.35415672
0.59,-53.62798986
0.6,-51.79950755
0.61,-49.84100573
0.62,-47.7811011
0.63,-45.63344204
0.64,-43.40016805
0.65,-41.09333901
0.66,-38.71755343
0.67,-36.2820055
0.68,-33.79416291
0.69,-31.26251751
0.7,-28.69575939
0.71,-26.11632238
0.72,-23.53779006
0.73,-20.98752875
0.74,-18.49837845
0.75,-16.11177906
0.76,-13.86338078
0.77,-11.81163469
0.78,-9.99289608
0.79,-8.4360861
0.8,-7.16000865
0.81,-6.1728455
0.82,-5.45453734
0.83,-4.99316506
0.84,-4.74083596
0.85,-4.65720691
0.86,-4.68249838
0.87,-4.78016299
0.88,-4.89819232
0.89,-5.03954045
0.9,-5.17168485
0.91,-5.29438627
0.92,-5.3974397
0.93,-5.47789872
0.94,-5.60413333
0.95,-5.70405705
0.96,-5.80157426
0.97,-5.9313195
0.98,-6.06291656
0.99,-6.21360092
1,-6.34335019
1.01,-6.49406438
1.02,-6.65594008
1.03,-6.79971758
1.04,-6.93648876
1.05,-7.08511395
1.06,-7.2631958
1.07,-7.4367654
1.08,-7.64144886
1.09,-7.86851683
1.1,-8.10726706
1.11,-8.34998504
1.12,-8.58307054
1.13,-8.80304663
1.14,-8.97759597
1.15,-9.12631375
1.16,-9.25166396
1.17,-9.33183224
1.18,-9.3800456
1.19,-9.39361214
1.2,-9.36349833
1.21,-9.30545315
1.22,-9.19254632
1.23,-9.10239944
1.24,-8.96123013
1.25,-8.78931247
1.26,-8.59181216
1.27,-8.32544854
1.28,-8.07540859
1.29,-7.76186121
1.3,-7.43022164
1.31,-7.06913485
1.32,-6.68058971
1.33,-6.27572088
1.34,-5.87448025
1.35,-5.46464637
1.36,-5.07189631
1.37,-4.72283022
1.38,-4.40813381
1.39,-4.12304063
1.4,-3.86754245
1.41,-3.69198642
1.42,-3.5716254
1.43,-3.50248421
1.44,-3.45123522
1.45,-3.50100447
1.46,-3.58443553
1.47,-3.66865055
1.48,-3.83534142
1.49,-3.99286089
1.5,-4.20728881
1.51,-4.45446522
1.52,-4.71497483
1.53,-5.0433958
