t,Elongation,Activation
-0,0.14319,0.007455
0.01,0.14315,0.020161
0.02,0.13763,0.031224
0.03,0.13289,0.040115
0.04,0.13098,0.047433
0.05,0.13079,0.05366
0.06,0.13092,0.058175
0.07,0.13085,0.06035
0.08,0.13063,0.060201
0.09,0.13038,0.057845
0.1,0.13015,0.05387
0.11,0.12993,0.049242
0.12,0.12971,0.045848
0.13,0.12947,0.043854
0.14,0.12922,0.043283
0.15,0.12898,0.043867
0.16,0.12873,0.045059
0.17,0.12849,0.046666
0.18,0.12825,0.048631
0.19,0.12801,0.051106
0.2,0.12779,0.054514
0.21,0.12757,0.058338
0.22,0.12736,0.061127
0.23,0.12715,0.061299
0.24,0.12696,0.058628
0.25,0.12677,0.054529
0.26,0.12659,0.05013
0.27,0.12642,0.046289
0.28,0.12626,0.043895
0.29,0.12611,0.043441
0.3,0.12597,0.04467
0.31,0.12583,0.046727
0.32,0.1257,0.048386
0.33,0.12557,0.049369
0.34,0.12544,0.050451
0.35,0.12532,0.052295
0.36,0.12519,0.054915
0.37,0.12507,0.057594
0.38,0.12495,0.059736
0.39,0.12484,0.06099
0.4,0.12473,0.0615
0.41,0.12463,0.061673
0.42,0.12453,0.061582
0.43,0.12444,0.060492
0.44,0.12435,0.057734
0.45,0.12426,0.053808
0.46,0.12418,0.049627
0.47,0.1241,0.046524
0.48,0.12402,0.045393
0.49,0.12394,0.046074
0.5,0.12387,0.04787
0.51,0.12381,0.050192
0.52,0.12375,0.052935
0.53,0.1237,0.055234
0.54,0.12365,0.056152
0.55,0.12362,0.055226
0.56,0.12359,0.052261
0.57,0.12356,0.047517
0.58,0.12355,0.042332
0.59,0.12354,0.038572
0.6,0.12353,0.0369
0.61,0.12352,0.037031
0.62,0.12352,0.038288
0.63,0.12352,0.040055
0.64,0.12353,0.041973
0.65,0.12353,0.044364
0.66,0.12354,0.047275
0.67,0.12354,0.050297
0.68,0.12355,0.053054
0.69,0.12356,0.055002
0.7,0.12357,0.055557
0.71,0.12357,0.054091
0.72,0.12358,0.050713
0.73,0.12359,0.046637
0.74,0.12359,0.042987
0.75,0.1236,0.040859
0.76,0.1236,0.040523
0.77,0.12361,0.041801
0.78,0.1236,0.044393
0.79,0.1236,0.047771
0.8,0.12359,0.050983
0.81,0.12358,0.053064
0.82,0.12356,0.053522
0.83,0.12355,0.052788
0.84,0.12353,0.051702
0.85,0.12352,0.051051
0.86,0.12351,0.051059
0.87,0.1235,0.051779
0.88,0.1235,0.053105
0.89,0.12352,0.05425
0.9,0.12354,0.054605
0.91,0.12356,0.054294
0.92,0.1236,0.054261
0.93,0.12364,0.054681
0.94,0.12368,0.054977
0.95,0.12372,0.055156
0.96,0.12375,0.05527
0.97,0.12376,0.054857
0.98,0.12374,0.053811
0.99,0.12369,0.052581
1,0.12357,0.051694
1.01,0.12339,0.051116
1.02,0.12311,0.050194
1.03,0.12273,0.048876
1.04,0.12221,0.047931
1.05,0.12156,0.047963
1.06,0.12075,0.048658
1.07,0.11978,0.048716
1.08,0.11863,0.047192
1.09,0.11731,0.0441
1.1,0.11581,0.039642
1.11,0.11414,0.034192
1.12,0.11232,0.028632
1.13,0.11034,0.023325
1.14,0.10824,0.019586
1.15,0.10604,0.017697
1.16,0.10374,0.01769
1.17,0.1014,0.019081
1.18,0.09903,0.021106
1.19,0.0966899999999999,0.022827
1.2,0.0944100000000001,0.02343
1.21,0.09226,0.022392
1.22,0.0902799999999999,0.019943
1.23,0.0885499999999999,0.016946
1.24,0.0870899999999999,0.014179
1.25,0.0859300000000001,0.011986
1.26,0.08507,0.010434
1.27,0.0845,0.009543
1.28,0.08419,0.00924
1.29,0.08413,0.009428
1.3,0.0842799999999999,0.010003
1.31,0.0846,0.010838
1.32,0.0850500000000001,0.011729
1.33,0.0855999999999999,0.012559
1.34,0.0862099999999999,0.013151
1.35,0.0868500000000001,0.013366
1.36,0.08752,0.013358
1.37,0.0881000000000001,0.013339
1.38,0.0886499999999999,0.01336
1.39,0.08918,0.013302
1.4,0.08969,0.013041
1.41,0.0901700000000001,0.012669
