t,Angle
0,-14.44605504
0.01,-14.44599136
0.02,-14.44432105
0.03,-14.4354291
0.04,-14.43558315
0.05,-14.43635072
0.06,-14.43638819
0.07,-14.43635725
0.08,-14.43631114
0.09,-14.4324877
0.1,-14.43303271
0.11,-14.43308017
0.12,-14.43303801
0.13,-14.43295631
0.14,-14.43236894
0.15,-14.43212675
0.16,-14.42423253
0.17,-14.42427439
0.18,-14.42424342
0.19,-14.42402797
0.2,-14.41476245
0.21,-14.41455194
0.22,-14.39929076
0.23,-14.39920473
0.24,-14.38345895
0.25,-14.38348322
0.26,-14.38302786
0.27,-14.3829269
0.28,-14.37929549
0.29,-14.3791288
0.3,-14.37893396
0.31,-14.36755401
0.32,-14.36763343
0.33,-14.36778246
0.34,-14.36775402
0.35,-14.36641824
0.36,-14.3663532
0.37,-14.36617251
0.38,-14.36432714
0.39,-14.36423738
0.4,-14.36184719
0.41,-14.36176386
0.42,-14.36165464
0.43,-14.359765
0.44,-14.35965808
0.45,-14.35165683
0.46,-14.35159721
0.47,-14.35095589
0.48,-14.35089387
0.49,-14.35082164
0.5,-14.34949782
0.51,-14.34941731
0.52,-14.34932552
0.53,-14.34884053
0.54,-14.34122947
0.55,-14.34001562
0.56,-14.33996031
0.57,-14.33980292
0.58,-14.33747814
0.59,-14.33722353
0.6,-14.32998747
0.61,-14.32999828
0.62,-14.3280755
0.63,-14.32810694
0.64,-14.32684177
0.65,-14.32482796
0.66,-14.33067099
0.67,-14.33069839
0.68,-14.32943336
0.69,-14.32942596
0.7,-14.32487909
0.71,-14.32491985
0.72,-14.32198611
0.73,-14.32205185
0.74,-14.32094254
0.75,-14.32096276
0.76,-14.31763509
0.77,-14.31772813
0.78,-14.31776912
0.79,-14.3177678
0.8,-14.31357163
0.81,-14.31354403
0.82,-14.31227937
0.83,-14.31222537
0.84,-14.31009851
0.85,-14.30220227
0.86,-14.30210547
0.87,-14.29991591
0.88,-14.29981601
0.89,-14.29734643
0.9,-14.29727065
0.91,-14.2907575
0.92,-14.29055393
0.93,-14.29040313
0.94,-14.2903242
0.95,-14.29282443
0.96,-14.29010102
0.97,-14.28881408
0.98,-14.28700358
0.99,-14.25701679
1,-14.27180684
1.01,-14.23816154
1.02,-14.27763684
1.03,-14.25522753
1.04,-14.28737632
1.05,-14.29526013
1.06,-14.27007778
1.07,-14.30220398
1.08,-14.29920277
1.09,-14.27338378
1.1,-14.25237524
1.11,-14.18101865
1.12,-14.10989793
1.13,-13.98776398
1.14,-13.82564732
1.15,-13.58245604
1.16,-13.35723372
1.17,-13.01897182
1.18,-12.65733143
1.19,-12.23522151
1.2,-11.79383423
1.21,-11.28906053
1.22,-10.76280636
1.23,-10.17631731
1.24,-9.59118816
1.25,-8.96713718
1.26,-8.30979325
1.27,-7.60842479
1.28,-6.94450559
1.29,-6.20885138
1.3,-5.49775474
1.31,-4.76180285
1.32,-3.98993064
1.33,-3.24698466
1.34,-2.52322847
1.35,-1.74866171
1.36,-0.98250158
1.37,-0.24901213
1.38,0.51727823
1.39,1.29120129
1.4,2.06495113
1.41,2.87525444
1.42,3.63661994
1.43,4.43785994
1.44,5.2358271
1.45,6.01695192
1.46,6.76356744
1.47,7.50853314
1.48,8.25575343
1.49,9.01656119
1.5,9.69456283
1.51,10.39122029
1.52,11.08631462
1.53,11.70998041
1.54,12.35119676
1.55,12.97137109
1.56,13.57502374
1.57,14.19318619
1.58,14.75004563
1.59,15.32065732
1.6,15.90213236
1.61,16.44741606
1.62,16.96553022
1.63,17.49440204
1.64,17.99903397
1.65,18.46671816
1.66,18.94610577
1.67,19.42245798
1.68,19.86677453
1.69,20.31097191
1.7,20.74774789
1.71,21.17411446
1.72,21.59213582
1.73,21.99951613
1.74,22.39443487
1.75,22.77630334
1.76,23.14217416
1.77,23.49203167
1.78,23.82600151
1.79,24.14153735
1.8,24.44305297
1.81,24.72553188
1.82,24.99594253
1.83,25.25543789
1.84,25.50666063
1.85,25.7514475
1.86,25.98866514
1.87,26.21943674
1.88,26.44848252
1.89,26.66782645
1.9,26.88285404
1.91,27.08701178
1.92,27.28142972
1.93,27.46300672
1.94,27.63187177
1.95,27.78337316
1.96,27.9168019
1.97,28.03850268
1.98,28.13975889
1.99,28.22962322
2,28.30298285
2.01,28.36279873
2.02,28.40854939
2.03,28.43919238
2.04,28.46319974
2.05,28.47827945
2.06,28.48466209
2.07,28.51123253
2.08,28.49519642
2.09,28.52444429
2.1,28.50628849
2.11,28.49744462
2.12,28.50116807
2.13,28.48334461
2.14,28.49916374
2.15,28.4857402
2.16,28.48245306
2.17,28.47884047
2.18,28.47918155
2.19,28.47200019
2.2,28.46370107
2.21,28.45228174
2.22,28.42809601
2.23,28.40200657
2.24,28.36503208
2.25,28.31938505
2.26,28.26431429
2.27,28.20315355
2.28,28.1366784
2.29,28.06622478
2.3,27.99955772
2.31,27.92903909
2.32,27.86279741
2.33,27.79948572
2.34,27.69510551
2.35,27.6406991
2.36,27.58210603
2.37,27.51981814
2.38,27.45342693
2.39,27.38222938
2.4,27.30053407
2.41,27.20849703
2.42,27.11137265
2.43,27.00226276
2.44,26.88086423
2.45,26.74360741
2.46,26.60518221
2.47,26.45393349
2.48,26.29240689
2.49,26.12295363
2.5,25.94256249
2.51,25.75443767
2.52,25.54829205
2.53,25.32901766
2.54,25.09602228
2.55,24.84725148
2.56,24.57370393
2.57,24.27800579
2.58,23.96211109
2.59,23.62344381
2.6,23.26002836
2.61,22.87408755
2.62,22.47178811
2.63,22.04576837
2.64,21.60086551
2.65,21.13659512
2.66,20.65297568
2.67,20.15063491
2.68,19.6303192
2.69,19.09373345
2.7,18.53497617
2.71,17.95808544
2.72,17.36909338
2.73,16.74685172
2.74,16.11501441
2.75,15.46408013
2.76,14.80164315
2.77,14.13081101
2.78,13.43506026
2.79,12.73276678
2.8,12.02148624
2.81,11.29324146
2.82,10.56622488
2.83,9.79283653
2.84,9.03938097
2.85,8.26858187
2.86,7.47788973
2.87,6.68752213
2.88,5.8862877
2.89,5.07803023
2.9,4.28482549
2.91,3.4796326
2.92,2.65551483
2.93,1.81978224
2.94,1.03702329
2.95,0.23905901
2.96,-0.56250249
2.97,-1.33667484
2.98,-2.078101
2.99,-2.83139047
3,-3.53834928
3.01,-4.22503984
3.02,-4.89917493
3.03,-5.54086488
3.04,-6.18256663
3.05,-6.76195882
3.06,-7.32696524
3.07,-7.86840741
3.08,-8.37777366
3.09,-8.86307806
3.1,-9.32281425
3.11,-9.74322748
3.12,-10.14133054
3.13,-10.51010979
3.14,-10.85918252
3.15,-11.18676561
3.16,-11.49369536
3.17,-11.77800594
3.18,-12.04684885
3.19,-12.30462232
3.2,-12.55355376
3.21,-12.78720982
3.22,-13.01576427
3.23,-13.223299
3.24,-13.42675874
3.25,-13.61204646
3.26,-13.78329011
3.27,-13.94510036
3.28,-14.08732306
3.29,-14.21250475
3.3,-14.32498961
3.31,-14.41353103
3.32,-14.48892365
3.33,-14.54613505
3.34,-14.58906941
3.35,-14.62162185
3.36,-14.64237462
3.37,-14.6550487
3.38,-14.66321847
3.39,-14.66606043
3.4,-14.65871958
3.41,-14.65546618
3.42,-14.63516808
3.43,-14.62591093
3.44,-14.62465908
3.45,-14.59497798
3.46,-14.57166285
3.47,-14.55422414
3.48,-14.56946113
3.49,-14.54689732
3.5,-14.54957685
3.51,-14.5297753
3.52,-14.51925415
3.53,-14.5089898
3.54,-14.50109847
3.55,-14.4896863
3.56,-14.47726322
3.57,-14.43443513
3.58,-14.44010311
3.59,-14.39398306
3.6,-14.39244327
3.61,-14.35035813
3.62,-14.36439796
3.63,-14.3220139
3.64,-14.32297697
3.65,-14.32337321
3.66,-14.32574796
3.67,-14.34116595
3.68,-14.34399514
3.69,-14.35154263
3.7,-14.37048524
3.71,-14.39643642
3.72,-14.39386158
3.73,-14.40846702
3.74,-14.44631069
3.75,-14.46669513
3.76,-14.49139552
3.77,-14.51971832
3.78,-14.55015264
3.79,-14.58200095
3.8,-14.58747922
3.81,-14.61600187
3.82,-14.6742552
3.83,-14.67162307
3.84,-14.6719763
3.85,-14.72545193
3.86,-14.72329938
3.87,-14.71957603
3.88,-14.7197487
