t,Angle
0,-6.18607948
0.01,-6.18615329
0.02,-6.18402073
0.03,-6.16225911
0.04,-6.16264147
0.05,-6.1644573
0.06,-6.1645927
0.07,-6.16477555
0.08,-6.16468382
0.09,-6.15376708
0.1,-6.15536919
0.11,-6.15566621
0.12,-6.15734391
0.13,-6.15736205
0.14,-6.15895638
0.15,-6.15907387
0.16,-6.1600899
0.17,-6.16076885
0.18,-6.16758668
0.19,-6.16867036
0.2,-6.19344367
0.21,-6.19420181
0.22,-6.21326742
0.23,-6.21367116
0.24,-6.22185393
0.25,-6.22222606
0.26,-6.22380548
0.27,-6.22391726
0.28,-6.22123033
0.29,-6.2211023
0.3,-6.22093357
0.31,-6.19980692
0.32,-6.20007168
0.33,-6.20052084
0.34,-6.20055444
0.35,-6.19833502
0.36,-6.19831543
0.37,-6.19826406
0.38,-6.19694693
0.39,-6.19694281
0.4,-6.19540591
0.41,-6.19544485
0.42,-6.19549798
0.43,-6.19466664
0.44,-6.19468594
0.45,-6.18795005
0.46,-6.18809577
0.47,-6.18814109
0.48,-6.18820048
0.49,-6.18825112
0.5,-6.18717866
0.51,-6.18732002
0.52,-6.18738282
0.53,-6.18703332
0.54,-6.18709387
0.55,-6.18555687
0.56,-6.18571623
0.57,-6.18559854
0.58,-6.18024705
0.59,-6.17970163
0.6,-6.15474695
0.61,-6.1547496
0.62,-6.13465159
0.63,-6.13463242
0.64,-6.12753927
0.65,-6.10803017
0.66,-6.09542386
0.67,-6.09561463
0.68,-6.09166063
0.69,-6.09178276
0.7,-6.07889184
0.71,-6.07902293
0.72,-6.06670215
0.73,-6.06663382
0.74,-6.06059902
0.75,-6.06074787
0.76,-6.04827199
0.77,-6.04860408
0.78,-6.04895529
0.79,-6.04942782
0.8,-6.0621992
0.81,-6.06272076
0.82,-6.06624124
0.83,-6.06692117
0.84,-6.07307497
0.85,-6.08943261
0.86,-6.0897714
0.87,-6.08790785
0.88,-6.08817674
0.89,-6.08386378
0.9,-6.08404582
0.91,-6.06622867
0.92,-6.0652698
0.93,-6.06418848
0.94,-6.06285072
0.95,-6.07078657
0.96,-6.07994406
0.97,-6.09358303
0.98,-6.1160336
0.99,-6.16325665
1,-6.19635313
1.01,-6.27824797
1.02,-6.34974837
1.03,-6.45917916
1.04,-6.5774979
1.05,-6.73684491
1.06,-6.92129335
1.07,-7.15597774
1.08,-7.44151944
1.09,-7.78969684
1.1,-8.20244587
1.11,-8.7081037
1.12,-9.29848252
1.13,-10.00546453
1.14,-10.84738899
1.15,-11.76714285
1.16,-12.81786337
1.17,-13.96774624
1.18,-15.21068865
1.19,-16.53945187
1.2,-17.92568818
1.21,-19.35225496
1.22,-20.82177963
1.23,-22.31164739
1.24,-23.8188644
1.25,-25.34777566
1.26,-26.89900548
1.27,-28.47040092
1.28,-30.07495744
1.29,-31.69708514
1.3,-33.34963373
1.31,-35.02184704
1.32,-36.70619293
1.33,-38.41953747
1.34,-40.14859113
1.35,-41.89607036
1.36,-43.6625973
1.37,-45.46463099
1.38,-47.2868111
1.39,-49.11844382
1.4,-51.00600593
1.41,-52.8893459
1.42,-54.77795769
1.43,-56.69840674
1.44,-58.59093856
1.45,-60.47786105
1.46,-62.35043325
1.47,-64.17439056
1.48,-65.98617867
1.49,-67.78770568
1.5,-69.53693073
1.51,-71.2729108
1.52,-72.99108936
1.53,-74.6733729
1.54,-76.34715549
1.55,-77.99807461
1.56,-79.63026533
1.57,-81.25896489
1.58,-82.84856176
1.59,-84.43195267
1.6,-85.99836518
1.61,-87.53951322
1.62,-89.05754268
1.63,-90.57026679
1.64,-92.05426724
1.65,-93.52403394
1.66,-94.97887351
1.67,-96.42673595
1.68,-97.84900613
1.69,-99.26460795
1.7,-100.66487587
1.71,-102.04947691
1.72,-103.41551593
1.73,-104.76303757
1.74,-106.08877843
1.75,-107.39499012
1.76,-108.67867045
1.77,-109.93916748
1.78,-111.17805029
1.79,-112.39664848
1.8,-113.59341484
1.81,-114.77072906
1.82,-115.92882694
1.83,-117.06479121
1.84,-118.18096901
1.85,-119.27295927
1.86,-120.34534967
1.87,-121.39565733
1.88,-122.41992737
1.89,-123.41023908
1.9,-124.36597924
1.91,-125.28056565
1.92,-126.15252248
1.93,-126.97909897
1.94,-127.75487915
1.95,-128.4826577
1.96,-129.15700371
1.97,-129.7828759
1.98,-130.35974081
1.99,-130.89227377
2,-131.38010986
2.01,-131.82799182
2.02,-132.23932256
2.03,-132.61354395
2.04,-132.95466727
2.05,-133.26573045
2.06,-133.54215201
2.07,-133.79165308
2.08,-134.01054489
2.09,-134.20143059
2.1,-134.36040272
2.11,-134.4940806
2.12,-134.60201256
2.13,-134.68296213
2.14,-134.73734641
2.15,-134.76896422
2.16,-134.77522277
2.17,-134.75773519
2.18,-134.72033866
2.19,-134.65745479
2.2,-134.57081964
2.21,-134.47113215
2.22,-134.344775
2.23,-134.19825704
2.24,-134.03041776
2.25,-133.84171352
2.26,-133.6317917
2.27,-133.39882954
2.28,-133.14294658
2.29,-132.86367088
2.3,-132.55926957
2.31,-132.23105549
2.32,-131.8787535
2.33,-131.50019299
2.34,-131.09197209
2.35,-130.66322227
2.36,-130.20593928
2.37,-129.71927821
2.38,-129.2002768
2.39,-128.64553685
2.4,-128.05117122
