t,Elongation,Activation
-0,0.15277,0
0.01,0.15279,0
0.02,0.15194,0.014503
0.03,0.15148,0.024682
0.04,0.15148,0.03052
0.05,0.15158,0.032784
0.06,0.1516,0.033123
0.07,0.15158,0.033116
0.08,0.15157,0.033948
0.09,0.15156,0.036292
0.1,0.15154,0.040198
0.11,0.15152,0.04497
0.12,0.1515,0.049088
0.13,0.15147,0.05188
0.14,0.15144,0.052379
0.15,0.15141,0.049964
0.16,0.15139,0.045266
0.17,0.15136,0.039549
0.18,0.15133,0.033708
0.19,0.15131,0.028023
0.2,0.15129,0.02299
0.21,0.15128,0.018947
0.22,0.15126,0.016004
0.23,0.15126,0.014096
0.24,0.15126,0.013131
0.25,0.15126,0.013325
0.26,0.15126,0.014617
0.27,0.15127,0.016548
0.28,0.15128,0.018649
0.29,0.1513,0.020531
0.3,0.15131,0.022002
0.31,0.15132,0.023359
0.32,0.15133,0.025083
0.33,0.15134,0.0279
0.34,0.15135,0.032101
0.35,0.15135,0.037592
0.36,0.15135,0.043402
0.37,0.15134,0.048074
0.38,0.15134,0.050973
0.39,0.15134,0.051446
0.4,0.15133,0.049347
0.41,0.15133,0.045802
0.42,0.15133,0.042804
0.43,0.15134,0.041427
0.44,0.15134,0.04135
0.45,0.15134,0.041592
0.46,0.15135,0.040985
0.47,0.15135,0.039219
0.48,0.15135,0.036681
0.49,0.15135,0.034089
0.5,0.15136,0.031704
0.51,0.15136,0.029676
0.52,0.15136,0.028208
0.53,0.15137,0.02754
0.54,0.15138,0.027166
0.55,0.1514,0.026435
0.56,0.15142,0.025049
0.57,0.15145,0.023026
0.58,0.15149,0.020857
0.59,0.15153,0.019035
0.6,0.15157,0.017688
0.61,0.15162,0.016767
0.62,0.15167,0.016378
0.63,0.15172,0.016717
0.64,0.15176,0.017805
0.65,0.15181,0.019457
0.66,0.15185,0.021258
0.67,0.15189,0.022686
0.68,0.15193,0.023389
0.69,0.15196,0.023376
0.7,0.152,0.022863
0.71,0.15203,0.022082
0.72,0.15206,0.021252
0.73,0.15209,0.020709
0.74,0.15212,0.020403
0.75,0.15214,0.020356
0.76,0.15216,0.020848
0.77,0.15217,0.021903
