t,ankle
0,-13.78519703
0.01,-14.92996656
0.02,-16.14978774
0.03,-17.49972782
0.04,-18.97442102
0.05,-20.51863374
0.06,-22.03427837
0.07,-23.43805921
0.08,-24.6148204
0.09,-25.47565959
0.1,-25.97699397
0.11,-26.10492526
0.12,-25.89518612
0.13,-25.38828377
0.14,-24.62448826
0.15,-23.68329841
0.16,-22.59951239
0.17,-21.45376514
0.18,-20.27460274
0.19,-19.12295994
0.2,-18.00967497
0.21,-16.95533003
0.22,-15.97238624
0.23,-15.06036522
0.24,-14.2257204
0.25,-13.46888207
0.26,-12.78639858
0.27,-12.17524747
0.28,-11.65952242
0.29,-11.20919265
0.3,-10.82462566
0.31,-10.51493985
0.32,-10.26055976
0.33,-10.08078628
0.34,-9.94969707
0.35,-9.86047769
0.36,-9.81516996
0.37,-9.80225121
0.38,-9.80796314
0.39,-9.81713375
0.4,-9.82015019
0.41,-9.81159731
0.42,-9.78260298
0.43,-9.72599881
0.44,-9.65139211
0.45,-9.56404303
0.46,-9.46756677
0.47,-9.37397003
0.48,-9.28104821
0.49,-9.19896681
0.5,-9.11518037
0.51,-9.02859972
0.52,-8.93311494
0.53,-8.83007585
0.54,-8.72081501
0.55,-8.64336941
0.56,-8.51424531
0.57,-8.45115733
0.58,-8.47602436
0.59,-8.57611146
0.6,-8.78714631
0.61,-9.12932798
0.62,-9.5938784
0.63,-10.17627443
0.64,-10.87906417
0.65,-11.61115812
0.66,-12.37033511
0.67,-13.11126689
0.68,-13.81152489
0.69,-14.44251096
0.7,-14.97420411
0.71,-15.39931862
0.72,-15.76034282
0.73,-16.04943719
0.74,-16.27104559
0.75,-16.44792193
0.76,-16.58762796
0.77,-16.69080517
0.78,-16.80431502
0.79,-16.85049054
0.8,-16.89613166
0.81,-16.92027155
0.82,-16.92387521
0.83,-16.89358882
0.84,-16.83624645
0.85,-16.71865541
0.86,-16.54430197
0.87,-16.31176154
0.88,-16.02601303
0.89,-15.69740541
0.9,-15.31403781
0.91,-14.91001658
0.92,-14.4756556
0.93,-14.0364778
0.94,-13.59620342
0.95,-13.18411637
0.96,-12.78318443
0.97,-12.40309012
0.98,-12.03469768
0.99,-11.71216387
1,-11.40554484
1.01,-11.12442971
1.02,-10.8611691
1.03,-10.62919486
1.04,-10.39239012
1.05,-10.17031126
1.06,-9.95519393
1.07,-9.74685156
1.08,-9.53820189
1.09,-9.33835665
1.1,-9.12740136
1.11,-8.93074282
1.12,-8.68912739
1.13,-8.40906596
1.14,-8.13443029
1.15,-7.83898072
1.16,-7.52164146
1.17,-7.1825208
1.18,-6.82496107
1.19,-6.45758373
1.2,-6.08486936
1.21,-5.70608517
1.22,-5.31422481
1.23,-4.93379965
1.24,-4.55419295
1.25,-4.17893368
1.26,-3.81592573
1.27,-3.45012889
1.28,-3.10448238
1.29,-2.76477831
1.3,-2.43987979
1.31,-2.14199452
1.32,-1.84862178
1.33,-1.59411838
1.34,-1.35196819
1.35,-1.13147525
1.36,-0.92386096
1.37,-0.72508708
1.38,-0.58872443
1.39,-0.43083649
1.4,-0.28192678
1.41,-0.18994503
1.42,-0.10775833
1.43,-0.01464742
1.44,0.00451399
1.45,0.0030884
1.46,-0.0288953
1.47,-0.09971031
1.48,-0.2152885
1.49,-0.36146089
1.5,-0.58953614
1.51,-0.88002616
1.52,-1.24252065
1.53,-1.67627309
1.54,-2.18714622
1.55,-2.77893173
1.56,-3.47664558
1.57,-4.23421736
1.58,-5.11400915
1.59,-6.08472774
1.6,-7.16647009
1.61,-8.37219492
1.62,-9.70231274
1.63,-11.15790094
1.64,-12.73450844
1.65,-14.40247479
1.66,-16.09115303
1.67,-17.77202459
1.68,-19.38727869
1.69,-20.78144065
1.7,-21.99399155
1.71,-22.88212455
1.72,-23.46226969
1.73,-23.70533765
1.74,-23.66742112
1.75,-23.39936547
1.76,-22.8693276
1.77,-22.18157955
1.78,-21.38924848
1.79,-20.52683832
1.8,-19.62884573
1.81,-18.72659808
1.82,-17.825437
1.83,-16.9300724
1.84,-16.06096451
1.85,-15.22296686
1.86,-14.43107659
1.87,-13.69028618
1.88,-13.00849366
1.89,-12.39517102
1.9,-11.8578552
1.91,-11.38689975
1.92,-10.98650195
1.93,-10.66932139
1.94,-10.42163848
1.95,-10.22697086
1.96,-10.07248755
1.97,-9.95446226
1.98,-9.83973761
1.99,-9.75596467
2,-9.68318281
2.01,-9.60707902
2.02,-9.54300696
2.03,-9.47568015
2.04,-9.40990839
2.05,-9.35567234
2.06,-9.31355053
2.07,-9.29849757
2.08,-9.30735467
2.09,-9.35343895
2.1,-9.42742317
2.11,-9.53500077
2.12,-9.66400237
2.13,-9.80776833
2.14,-9.95093672
2.15,-10.08928695
2.16,-10.21261489
2.17,-10.33262805
2.18,-10.42400416
2.19,-10.5139946
2.2,-10.62795782
2.21,-10.79189671
2.22,-11.02650246
2.23,-11.35935415
2.24,-11.81353089
2.25,-12.32545122
2.26,-12.97400421
2.27,-13.63082245
2.28,-14.38802942
2.29,-15.10760725
2.3,-15.78308743
2.31,-16.38051482
2.32,-16.89666765
2.33,-17.31224896
2.34,-17.63470358
2.35,-17.8274311
2.36,-18.00044314
2.37,-18.08568682
2.38,-18.12106297
2.39,-18.10909755
2.4,-18.1220909
2.41,-18.05196768
2.42,-18.00679802
2.43,-17.9509795
2.44,-17.89397383
2.45,-17.80303805
2.46,-17.66910158
2.47,-17.51474154
2.48,-17.32106442
2.49,-17.09013581
2.5,-16.81153039
2.51,-16.4957427
2.52,-16.14365303
2.53,-15.76515082
2.54,-15.36314617
2.55,-14.96194149
2.56,-14.56578912
2.57,-14.15276394
2.58,-13.76102246
2.59,-13.36223504
2.6,-12.9989297
2.61,-12.63652429
2.62,-12.27582545
2.63,-11.91454844
2.64,-11.55922543
2.65,-11.20709891
2.66,-10.85720829
2.67,-10.5113525
2.68,-10.17741355
2.69,-9.85323555
2.7,-9.54503291
2.71,-9.24141851
2.72,-8.94000011
2.73,-8.66965837
2.74,-8.39434651
2.75,-8.15282385
2.76,-7.90525253
2.77,-7.66705754
2.78,-7.42756335
2.79,-7.1938241
2.8,-6.96726668
2.81,-6.73958969
2.82,-6.5071471
2.83,-6.28212105
2.84,-6.02894067
2.85,-5.78302157
2.86,-5.52946401
2.87,-5.30120865
2.88,-5.01249247
2.89,-4.7561927
2.9,-4.49985499
2.91,-4.20171093
2.92,-3.91970832
2.93,-3.64938646
2.94,-3.36627979
2.95,-3.10308482
2.96,-2.82954297
2.97,-2.5887251
2.98,-2.32453243
2.99,-2.10522545
3,-1.89226814
3.01,-1.69271641
3.02,-1.51347225
3.03,-1.359134
3.04,-1.2287746
3.05,-1.14550294
3.06,-1.09207893
3.07,-1.12051542
3.08,-1.20620063
3.09,-1.3648891
3.1,-1.61958528
3.11,-1.97660739
3.12,-2.44047328
3.13,-3.03125345
3.14,-3.73343936
3.15,-4.5866918
3.16,-5.56010273
3.17,-6.65648103
3.18,-7.86254821
3.19,-9.14629692
3.2,-10.49561492
3.21,-11.87158324
3.22,-13.21355399
3.23,-14.45884639
3.24,-15.62508639
3.25,-16.57877547
3.26,-17.40279169
3.27,-17.96420773
3.28,-18.32606815
3.29,-18.49312013
3.3,-18.50011057
3.31,-18.36600619
3.32,-18.11391409
3.33,-17.78347084
3.34,-17.38114924
3.35,-16.94654333
3.36,-16.4769525
3.37,-15.97514333
3.38,-15.49387268
3.39,-14.98667306
3.4,-14.47251511
3.41,-13.95849669
3.42,-13.44467738
3.43,-12.96007824
3.44,-12.48274584
3.45,-12.02269406
3.46,-11.59352909
3.47,-11.18815806
3.48,-10.8093897
3.49,-10.45591733
3.5,-10.14916335
3.51,-9.88684035
3.52,-9.66522033
3.53,-9.48949766
3.54,-9.35889248
3.55,-9.27968245
3.56,-9.21339867
3.57,-9.17893257
3.58,-9.15919953
3.59,-9.14386109
