t,Angle
0,-27.73602681
0.01,-29.28035994
0.02,-30.88527326
0.03,-32.64744739
0.04,-34.58971474
0.05,-36.69135218
0.06,-38.89228217
0.07,-41.11613756
0.08,-43.30503824
0.09,-45.41163133
0.1,-47.39845671
0.11,-49.23786073
0.12,-50.90776328
0.13,-52.39474479
0.14,-53.68464791
0.15,-54.75168265
0.16,-55.61242787
0.17,-56.26044421
0.18,-56.67863668
0.19,-56.86702175
0.2,-56.85756393
0.21,-56.62470223
0.22,-56.18640712
0.23,-55.5967004
0.24,-54.8038499
0.25,-53.88969557
0.26,-52.81815743
0.27,-51.66642692
0.28,-50.37246941
0.29,-48.99848188
0.3,-47.54198536
0.31,-46.01022641
0.32,-44.41703245
0.33,-42.76388807
0.34,-41.0592012
0.35,-39.30998701
0.36,-37.51697015
0.37,-35.68706884
0.38,-33.82364852
0.39,-31.93372735
0.4,-30.02209099
0.41,-28.09656467
0.42,-26.1568326
0.43,-24.21898949
0.44,-22.2839025
0.45,-20.3635527
0.46,-18.47370007
0.47,-16.62767833
0.48,-14.8519383
0.49,-13.155316
0.5,-11.58137335
0.51,-10.14955435
0.52,-8.8816108
0.53,-7.79917456
0.54,-6.91103327
0.55,-6.22356277
0.56,-5.72825859
0.57,-5.42326348
0.58,-5.21568377
0.59,-5.14821965
0.6,-5.15206294
0.61,-5.19151846
0.62,-5.24875398
0.63,-5.31099087
0.64,-5.34670521
0.65,-5.36631125
0.66,-5.37431194
0.67,-5.37772915
0.68,-5.36070809
0.69,-5.3416266
0.7,-5.3334267
0.71,-5.355845
0.72,-5.36077936
0.73,-5.35576006
0.74,-5.38447963
0.75,-5.4059027
0.76,-5.44011374
0.77,-5.51144944
0.78,-5.5725572
0.79,-5.72133181
0.8,-5.84350646
0.81,-6.05207123
0.82,-6.29326994
0.83,-6.57420718
0.84,-6.90915063
0.85,-7.26561939
0.86,-7.65722893
0.87,-8.08561988
0.88,-8.53345598
0.89,-8.98495259
0.9,-9.44973147
0.91,-9.91959662
0.92,-10.35922266
0.93,-10.75710347
0.94,-11.09681482
0.95,-11.37142379
0.96,-11.56127804
0.97,-11.65249152
0.98,-11.66134417
0.99,-11.5852313
1,-11.41608932
1.01,-11.15884589
1.02,-10.82501819
1.03,-10.40126371
1.04,-9.93298726
1.05,-9.42109352
1.06,-8.88130732
1.07,-8.32681756
1.08,-7.78959958
1.09,-7.25426098
1.1,-6.75837854
1.11,-6.31512273
1.12,-5.92665695
1.13,-5.6168655
1.14,-5.3800613
1.15,-5.21941033
1.16,-5.14827987
1.17,-5.14466159
1.18,-5.20922572
1.19,-5.33340268
1.2,-5.51078033
1.21,-5.7192044
1.22,-5.94311616
1.23,-6.18579801
1.24,-6.42509923
1.25,-6.65342407
1.26,-6.87234352
1.27,-7.05026099
1.28,-7.21701135
1.29,-7.34116374
1.3,-7.42867355
1.31,-7.47727709
1.32,-7.51252014
1.33,-7.49462347
1.34,-7.48323521
1.35,-7.40331247
1.36,-7.32578016
1.37,-7.25879408
1.38,-7.20883952
1.39,-7.15682678
1.4,-7.14099071
1.41,-7.17891826
1.42,-7.25755181
1.43,-7.39117834
1.44,-7.6029116
1.45,-7.88079856
1.46,-8.2336432
1.47,-8.65945283
1.48,-9.15810715
1.49,-9.7290614
1.5,-10.37022742
1.51,-11.0867752
1.52,-11.88285241
1.53,-12.77129344
1.54,-13.76238826
1.55,-14.86831224
1.56,-16.10597056
1.57,-17.49639358
1.58,-19.04805758
1.59,-20.77163649
1.6,-22.66984855
1.61,-24.74272463
1.62,-26.97295779
1.63,-29.34119932
1.64,-31.80620196
1.65,-34.32667434
1.66,-36.88103808
1.67,-39.39328555
1.68,-41.822726
1.69,-44.18212103
1.7,-46.38918206
1.71,-48.4773291
1.72,-50.40464861
1.73,-52.17239775
1.74,-53.74822935
1.75,-55.11843154
1.76,-56.32177148
1.77,-57.27751181
1.78,-58.02947579
1.79,-58.56066441
1.8,-58.8700031
1.81,-58.95347487
1.82,-58.80514184
1.83,-58.47106006
1.84,-57.95094651
1.85,-57.25842012
1.86,-56.39409518
1.87,-55.39085162
1.88,-54.25707682
1.89,-52.99473761
1.9,-51.64144721
1.91,-50.20972547
1.92,-48.68723093
1.93,-47.10060628
1.94,-45.45633761
1.95,-43.76868304
1.96,-42.04358582
1.97,-40.28679965
1.98,-38.50114873
1.99,-36.69268385
2,-34.86576126
2.01,-33.02508732
2.02,-31.17420337
