t,Elongation,Activation
-0,0.19856,0.048633
0.01,0.19993,0.07204
0.02,0.19701,0.097299
0.03,0.19553,0.120745
0.04,0.19669,0.14122
0.05,0.19898,0.158745
0.06,0.20133,0.170557
0.07,0.2036,0.172035
0.08,0.20597,0.165574
0.09,0.20851,0.160534
0.1,0.21119,0.163757
0.11,0.21392,0.176136
0.12,0.21664,0.195001
0.13,0.21924,0.214152
0.14,0.22157,0.224969
0.15,0.22346,0.222466
0.16,0.22464,0.214526
0.17,0.22483,0.209385
0.18,0.22367,0.208717
0.19,0.22078,0.211006
0.2,0.21575,0.216423
0.21,0.20811,0.228105
0.22,0.19737,0.245843
0.23,0.1831,0.265278
0.24,0.16508,0.285094
0.25,0.14333,0.307959
0.26,0.11818,0.335235
0.27,0.09022,0.361829
0.28,0.0619099999999999,0.37785
0.29,0.03651,0.381464
0.3,0.0138100000000001,0.376278
0.31,-0.00813900000000001,0.365282
0.32,-0.030721,0.35097
0.33,-0.054347,0.334238
0.34,-0.078863,0.318719
0.35,-0.103915,0.304067
0.36,-0.129113,0.286533
0.37,-0.154064,0.267563
0.38,-0.178384,0.246709
0.39,-0.201715,0.216023
0.4,-0.223748,0.175107
0.41,-0.244239,0.134009
0.42,-0.26302,0.098149
0.43,-0.278821,0.068466
0.44,-0.285134,0.04455
0.45,-0.279657,0.029387
0.46,-0.265538,0.021127
0.47,-0.248076,0.018398
0.48,-0.230259,0.019486
0.49,-0.212723,0.02245
0.5,-0.19543,0.024909
0.51,-0.178434,0.025451
0.52,-0.161845,0.024592
0.53,-0.145703,0.023208
0.54,-0.129952,0.021584
0.55,-0.114478,0.019888
0.56,-0.09916,0.018507
0.57,-0.08388,0.017954
0.58,-0.068294,0.018565
0.59,-0.052455,0.020032
0.6,-0.036215,0.021706
0.61,-0.019335,0.023197
0.62,-0.00166900000000003,0.024404
0.63,0.0166299999999999,0.025017
0.64,0.03512,0.024822
0.65,0.05338,0.023928
0.66,0.0710299999999999,0.022666
0.67,0.08755,0.021407
0.68,0.10231,0.020688
0.69,0.11478,0.02099
0.7,0.1246,0.022333
0.71,0.13161,0.02443
0.72,0.13572,0.026859
0.73,0.1369,0.029171
0.74,0.13522,0.029932
0.75,0.13087,0.027979
0.76,0.12413,0.024233
0.77,0.11539,0.020276
0.78,0.10511,0.017051
0.79,0.0938600000000001,0.014886
0.8,0.08219,0.013671
0.81,0.07063,0.01328
0.82,0.0596300000000001,0.01392
0.83,0.04962,0.015937
0.84,0.0409600000000001,0.019464
0.85,0.034,0.024624
0.86,0.02904,0.031595
0.87,0.02633,0.040238
0.88,0.02603,0.049781
0.89,0.02817,0.058874
0.9,0.0325800000000001,0.065419
0.91,0.0389200000000001,0.068196
0.92,0.0467,0.067541
0.93,0.0553900000000001,0.064536
0.94,0.06454,0.062192
0.95,0.07379,0.063063
0.96,0.08294,0.068306
0.97,0.0918099999999999,0.078139
0.98,0.10034,0.092235
0.99,0.10847,0.110081
1,0.11618,0.13018
1.01,0.12346,0.15023
1.02,0.13031,0.171848
1.03,0.13676,0.192391
1.04,0.1428,0.211245
1.05,0.14846,0.225705
1.06,0.15375,0.231488
1.07,0.15867,0.227643
1.08,0.16326,0.216874
1.09,0.16752,0.20204
1.1,0.17148,0.186546
1.11,0.17517,0.173273
1.12,0.17862,0.163957
1.13,0.18185,0.16062
1.14,0.18489,0.164201
1.15,0.18776,0.173509
1.16,0.19049,0.184812
1.17,0.19311,0.195081
1.18,0.19564,0.203485
1.19,0.19809,0.208814
1.2,0.2005,0.210003
1.21,0.2029,0.209244
1.22,0.20532,0.207813
1.23,0.2078,0.202187
1.24,0.21035,0.189479
1.25,0.21297,0.173012
1.26,0.21563,0.156026
1.27,0.21824,0.143726
1.28,0.22068,0.140508
1.29,0.22275,0.147073
1.3,0.22418,0.161955
1.31,0.22462,0.184195
1.32,0.22365,0.208202
1.33,0.2208,0.228279
1.34,0.21561,0.242362
1.35,0.20763,0.255668
1.36,0.19632,0.272401
1.37,0.18116,0.297934
1.38,0.16191,0.336682
1.39,0.13872,0.390004
1.4,0.11214,0.453764
1.41,0.0829899999999999,0.520443
1.42,0.05352,0.577899
1.43,0.0266,0.613639
1.44,0.00177000000000005,0.61569
1.45,-0.022635,0.575517
1.46,-0.047562,0.497427
1.47,-0.073166,0.408102
1.48,-0.099225,0.329285
1.49,-0.125397,0.270357
1.5,-0.151319,0.231532
1.51,-0.176636,0.207448
1.52,-0.201016,0.189902
1.53,-0.224161,0.168397
1.54,-0.245827,0.137239
1.55,-0.265837,0.103256
1.56,-0.282244,0.07313
1.57,-0.290542,0.049882
1.58,-0.289809,0.034262
1.59,-0.282234,0.025519
1.6,-0.271035,0.021867
1.61,-0.258484,0.021018
1.62,-0.245493,0.021128
1.63,-0.232239,0.021588
1.64,-0.218737,0.022267
1.65,-0.205012,0.022976
1.66,-0.191074,0.023181
1.67,-0.176891,0.0222
1.68,-0.162407,0.020469
1.69,-0.14756,0.018917
1.7,-0.132303,0.018154
1.71,-0.116605,0.01847
1.72,-0.10021,0.019888
1.73,-0.083274,0.02208
1.74,-0.065701,0.024267
1.75,-0.047269,0.025626
1.76,-0.027843,0.026089
1.77,-0.00744100000000003,0.026051
