t,Elongation,Activation
-0,0.20965,0
0.01,0.21111,0.000605
0.02,0.20948,0.083754
0.03,0.20925,0.157746
0.04,0.211,0.21654
0.05,0.21345,0.253319
0.06,0.2159,0.265158
0.07,0.21838,0.25878
0.08,0.22105,0.247224
0.09,0.22392,0.242826
0.1,0.22692,0.251889
0.11,0.23001,0.275429
0.12,0.23309,0.31042
0.13,0.23606,0.343232
0.14,0.23876,0.354745
0.15,0.24099,0.333369
0.16,0.24249,0.297641
0.17,0.24294,0.264267
0.18,0.24197,0.240568
0.19,0.23918,0.227169
0.2,0.23412,0.220273
0.21,0.22634,0.219087
0.22,0.2153,0.2232
0.23,0.20056,0.233577
0.24,0.18199,0.249258
0.25,0.15964,0.268199
0.26,0.13393,0.293067
0.27,0.10556,0.32565
0.28,0.0758000000000001,0.360165
0.29,0.0499400000000001,0.387669
0.3,0.0283199999999999,0.400529
0.31,0.00880999999999998,0.392473
0.32,-0.010782,0.364555
0.33,-0.031443,0.327478
0.34,-0.053245,0.29273
0.35,-0.075867,0.261107
0.36,-0.099095,0.229851
0.37,-0.122437,0.195713
0.38,-0.145413,0.157062
0.39,-0.16762,0.117264
0.4,-0.188733,0.081452
0.41,-0.208494,0.052166
0.42,-0.226718,0.030368
0.43,-0.243289,0.015865
0.44,-0.258441,0.007294
0.45,-0.264277,0.004033
0.46,-0.257755,0.004095
0.47,-0.242829,0.006169
0.48,-0.225268,0.009234
0.49,-0.207861,0.012456
0.5,-0.190963,0.01494
0.51,-0.174376,0.016286
0.52,-0.158067,0.017004
0.53,-0.142117,0.017602
0.54,-0.126524,0.018183
0.55,-0.111202,0.018634
0.56,-0.0960259999999999,0.018983
0.57,-0.0808759999999999,0.019373
0.58,-0.062435,0.01996
0.59,-0.044207,0.020918
0.6,-0.027,0.022058
0.61,-0.00965300000000002,0.022999
0.62,0.00869000000000009,0.02356
0.63,0.0277499999999999,0.023739
0.64,0.0469299999999999,0.023508
0.65,0.0658700000000001,0.022733
0.66,0.08423,0.021541
0.67,0.1015,0.020104
0.68,0.11698,0.018661
0.69,0.13005,0.017229
0.7,0.14032,0.015601
0.71,0.14758,0.013676
0.72,0.15171,0.011595
0.73,0.15272,0.009575
0.74,0.15067,0.008044
0.75,0.14579,0.006997
0.76,0.13839,0.006453
0.77,0.12892,0.006319
0.78,0.11794,0.00648
0.79,0.10607,0.006919
0.8,0.09392,0.00757
0.81,0.08202,0.008342
0.82,0.0708200000000001,0.009356
0.83,0.06073,0.010865
0.84,0.0521,0.013072
0.85,0.0452300000000001,0.016018
0.86,0.0404100000000001,0.019612
0.87,0.03786,0.0238
0.88,0.0377099999999999,0.028368
0.89,0.03996,0.033355
0.9,0.0444100000000001,0.038656
0.91,0.05071,0.043449
0.92,0.0583800000000001,0.046047
0.93,0.06694,0.045375
0.94,0.0759799999999999,0.04353
0.95,0.0851999999999999,0.042722
0.96,0.0943799999999999,0.043994
0.97,0.10336,0.047505
0.98,0.11206,0.053624
0.99,0.12043,0.06259
1,0.12843,0.074459
