t,Angle
0,-8.49983897
0.01,-8.51746903
0.02,-8.50262826
0.03,-8.47113306
0.04,-8.41759181
0.05,-8.3770068
0.06,-8.29245964
0.07,-8.20079206
0.08,-8.08979734
0.09,-7.94687096
0.1,-7.78987991
0.11,-7.61640732
0.12,-7.42297492
0.13,-7.20221381
0.14,-6.99476384
0.15,-6.81328351
0.16,-6.63191561
0.17,-6.49382231
0.18,-6.42852582
0.19,-6.45803795
0.2,-6.57877339
0.21,-6.83918023
0.22,-7.26853263
0.23,-7.90036305
0.24,-8.76175999
0.25,-9.89294567
0.26,-11.30915594
0.27,-13.04131269
0.28,-15.0443626
0.29,-17.27300167
0.3,-19.64117351
0.31,-22.0077108
0.32,-24.27852635
0.33,-26.26654738
0.34,-27.86701203
0.35,-29.07238521
0.36,-29.75556987
0.37,-29.96630903
0.38,-29.7276953
0.39,-29.11729962
0.4,-28.20834119
0.41,-27.10865467
0.42,-25.81797368
0.43,-24.44928726
0.44,-23.07791302
0.45,-21.75043286
0.46,-20.47114254
0.47,-19.30144344
0.48,-18.242895
0.49,-17.28585394
0.5,-16.45520213
0.51,-15.73982577
0.52,-15.14299431
0.53,-14.65218792
0.54,-14.26619893
0.55,-13.96211018
0.56,-13.72858806
0.57,-13.56034563
0.58,-13.40657194
0.59,-13.27099689
0.6,-13.1441448
0.61,-13.021925
0.62,-12.87930974
0.63,-12.72477641
0.64,-12.56702302
0.65,-12.43016337
0.66,-12.32261016
0.67,-12.25947495
0.68,-12.25819606
0.69,-12.32083434
0.7,-12.45170425
0.71,-12.66156927
0.72,-12.93682878
0.73,-13.33388238
0.74,-13.8104136
0.75,-14.3563837
0.76,-15.08098875
0.77,-15.82110861
0.78,-16.56728025
0.79,-17.28972316
0.8,-17.91602404
0.81,-18.36302552
0.82,-18.64776495
0.83,-18.69145825
0.84,-18.57276703
0.85,-18.2831908
0.86,-17.83854259
0.87,-17.28061421
0.88,-16.64708499
0.89,-15.96644994
0.9,-15.25170456
0.91,-14.51464008
0.92,-13.79063604
0.93,-13.06478352
0.94,-12.35519659
0.95,-11.67440074
0.96,-11.03815101
0.97,-10.4507045
0.98,-9.91933349
0.99,-9.44771013
1,-9.04942797
1.01,-8.72287445
1.02,-8.45102061
1.03,-8.23508403
1.04,-8.07510578
1.05,-7.96286709
1.06,-7.89669122
1.07,-7.86749927
1.08,-7.86328423
1.09,-7.89915042
1.1,-7.94575559
1.11,-7.99928387
1.12,-8.05747114
1.13,-8.10478137
1.14,-8.14553907
1.15,-8.17709036
1.16,-8.18740329
1.17,-8.18443696
1.18,-8.176486
1.19,-8.14608366
1.2,-8.07977012
1.21,-8.03020812
1.22,-7.94345765
1.23,-7.83386963
1.24,-7.7115703
1.25,-7.56444369
1.26,-7.390832
1.27,-7.20257585
1.28,-7.00984823
1.29,-6.80988443
1.3,-6.60050735
1.31,-6.41229708
1.32,-6.27696422
1.33,-6.20577822
1.34,-6.23530907
1.35,-6.40269125
1.36,-6.73222236
1.37,-7.27587719
1.38,-8.09351289
1.39,-9.19011036
1.4,-10.59801135
1.41,-12.32617514
1.42,-14.32881329
1.43,-16.52798375
1.44,-18.81464804
1.45,-21.04700097
1.46,-23.09285957
1.47,-24.82000171
1.48,-26.17299329
1.49,-27.07700899
1.5,-27.52313114
1.51,-27.5707742
1.52,-27.25933015
1.53,-26.67555062
1.54,-25.89452491
1.55,-25.00255702
1.56,-24.03029203
1.57,-23.04162113
1.58,-22.0979089
1.59,-21.20943683
1.6,-20.40962031
1.61,-19.63089617
1.62,-18.94346229
1.63,-18.31698475
1.64,-17.75389252
1.65,-17.25428004
1.66,-16.82457034
1.67,-16.42443865
1.68,-16.09751595
1.69,-15.82653354
1.7,-15.60161017
1.71,-15.43301284
1.72,-15.26321465
1.73,-15.10234523
1.74,-14.93024381
1.75,-14.77488129
1.76,-14.57697824
1.77,-14.35671794
1.78,-14.11432498
1.79,-13.86248787
1.8,-13.61633923
1.81,-13.39690526
1.82,-13.2065789
1.83,-13.07039677
1.84,-12.98643349
1.85,-12.96849251
1.86,-13.04219093
1.87,-13.19242626
1.88,-13.471411
1.89,-13.91145071
1.9,-14.45752741
1.91,-15.12225099
1.92,-15.86061596
1.93,-16.63650391
1.94,-17.33960822
1.95,-17.94572393
1.96,-18.40825883
1.97,-18.69288251
1.98,-18.76872285
1.99,-18.6431615
2,-18.3747128
2.01,-17.97208185
2.02,-17.4581064
2.03,-16.89507808
2.04,-16.26950833
2.05,-15.63201866
2.06,-14.98406346
2.07,-14.33006902
2.08,-13.68846913
2.09,-13.06556831
2.1,-12.47905213
2.11,-11.92760656
2.12,-11.42290937
2.13,-10.98104871
2.14,-10.59614376
2.15,-10.26436237
2.16,-9.99062808
2.17,-9.78328843
2.18,-9.64735476
2.19,-9.54409325
2.2,-9.47304084
2.21,-9.46174225
2.22,-9.46313863
2.23,-9.48595333
2.24,-9.50736494
2.25,-9.52969444
2.26,-9.55023699
2.27,-9.5481604
2.28,-9.5273433
2.29,-9.4846118
2.3,-9.42461573
2.31,-9.3333781
2.32,-9.22972543
2.33,-9.10679077
2.34,-8.92981929
2.35,-8.74383755
2.36,-8.55014063
2.37,-8.35398634
2.38,-8.12417453
2.39,-7.91192675
2.4,-7.63442538
2.41,-7.40735901
2.42,-7.16318203
2.43,-6.93386231
2.44,-6.72108445
2.45,-6.54273664
2.46,-6.40527545
2.47,-6.30206224
2.48,-6.31807298
2.49,-6.3885836
2.5,-6.58413522
2.51,-6.95547527
2.52,-7.48710204
2.53,-8.28679667
2.54,-9.34427006
2.55,-10.70825521
2.56,-12.40655921
2.57,-14.43338527
2.58,-16.75479782
2.59,-19.28964474
2.6,-21.92867685
2.61,-24.50089327
