t,Angle
0,-20.50747869
0.01,-20.42455099
0.02,-20.33818112
0.03,-20.21770242
0.04,-20.06644381
0.05,-19.87364869
0.06,-19.63415575
0.07,-19.38344217
0.08,-19.00165347
0.09,-18.60789795
0.1,-18.1525631
0.11,-17.66224659
0.12,-17.13171155
0.13,-16.53628491
0.14,-15.97683039
0.15,-15.42763974
0.16,-14.87781813
0.17,-14.31962247
0.18,-13.79105911
0.19,-13.26335837
0.2,-12.794632
0.21,-12.32882635
0.22,-11.89114156
0.23,-11.47307957
0.24,-11.07307441
0.25,-10.68841218
0.26,-10.32868201
0.27,-9.98728529
0.28,-9.64207989
0.29,-9.31275453
0.3,-8.98543175
0.31,-8.67188926
0.32,-8.34925921
0.33,-8.04686118
0.34,-7.74361915
0.35,-7.43214364
0.36,-7.10808473
0.37,-6.7584246
0.38,-6.39049336
0.39,-5.99789988
0.4,-5.59955655
0.41,-5.11905337
0.42,-4.66447901
0.43,-4.10947325
0.44,-3.55689357
0.45,-2.98632177
0.46,-2.40269528
0.47,-1.81608072
0.48,-1.22477561
0.49,-0.64342176
0.5,-0.1001752
0.51,0.43741778
0.52,0.94345499
0.53,1.44545696
0.54,1.87101871
0.55,2.34965468
0.56,2.74675368
0.57,3.15197342
0.58,3.54249593
0.59,3.90827628
0.6,4.22855763
0.61,4.52262159
0.62,4.7200205
0.63,4.8364965
0.64,4.79243472
0.65,4.57019373
0.66,4.15000418
0.67,3.48650463
0.68,2.52049466
0.69,1.29757075
0.7,-0.21641473
0.71,-1.93740761
0.72,-3.80250193
0.73,-5.75737267
0.74,-7.67167764
0.75,-9.4630618
0.76,-11.05034505
0.77,-12.35129129
0.78,-13.38238503
0.79,-14.04160526
0.8,-14.47149362
0.81,-14.5620265
0.82,-14.41664939
0.83,-14.08257153
0.84,-13.60701772
0.85,-13.02939554
0.86,-12.4080661
0.87,-11.7710974
0.88,-11.14628888
0.89,-10.56761066
0.9,-10.06008348
0.91,-9.62083381
0.92,-9.23451167
0.93,-8.95395557
0.94,-8.75246535
0.95,-8.59991736
0.96,-8.58380062
0.97,-8.57985503
0.98,-8.68354541
0.99,-8.80832804
1,-8.98945336
1.01,-9.19648539
1.02,-9.41953777
1.03,-9.65800694
1.04,-9.85101659
1.05,-10.03905781
1.06,-10.19865388
1.07,-10.31791558
1.08,-10.40066689
1.09,-10.42342514
1.1,-10.4176285
1.11,-10.37724705
1.12,-10.32026652
1.13,-10.2532513
1.14,-10.2043227
1.15,-10.14476707
1.16,-10.12606185
1.17,-10.13279245
1.18,-10.17816785
1.19,-10.2806892
1.2,-10.45317187
1.21,-10.68668376
1.22,-11.01328842
1.23,-11.46737136
1.24,-12.05843768
1.25,-12.75694369
1.26,-13.52583116
1.27,-14.40040173
1.28,-15.30089164
1.29,-16.20392917
1.3,-17.03635246
1.31,-17.78781142
1.32,-18.41357321
1.33,-18.91523227
1.34,-19.30021039
1.35,-19.55414686
1.36,-19.6917006
1.37,-19.724841
1.38,-19.66724536
1.39,-19.53061422
1.4,-19.33831161
1.41,-19.07941496
1.42,-18.71224326
1.43,-18.32992972
1.44,-17.88574566
1.45,-17.40115431
1.46,-16.8891494
1.47,-16.33929682
1.48,-15.75535357
1.49,-15.1646313
1.5,-14.61559866
1.51,-14.09717971
1.52,-13.59261427
1.53,-13.11113176
1.54,-12.63267994
1.55,-12.14616717
1.56,-11.71716154
1.57,-11.27727323
1.58,-10.85153937
1.59,-10.47321309
1.6,-10.09344544
1.61,-9.72622002
1.62,-9.36858116
1.63,-9.01267158
1.64,-8.6770386
1.65,-8.33095941
1.66,-7.98201177
1.67,-7.63098291
1.68,-7.26450424
1.69,-6.90121053
1.7,-6.51682277
1.71,-6.10581362
1.72,-5.66316843
1.73,-5.2402843
