t,Angle
0,-14.81561519
0.01,-15.2528984
0.02,-15.72798907
0.03,-16.21544062
0.04,-16.74415718
0.05,-17.30252321
0.06,-17.87168229
0.07,-18.43203164
0.08,-18.97994589
0.09,-19.49898849
0.1,-19.98423023
0.11,-20.42977006
0.12,-20.82975441
0.13,-21.17368024
0.14,-21.4622051
0.15,-21.69187534
0.16,-21.84551793
0.17,-21.94675685
0.18,-21.96585521
0.19,-21.93399734
0.2,-21.8327926
0.21,-21.69416824
0.22,-21.5255569
0.23,-21.3334174
0.24,-21.12784767
0.25,-20.92315705
0.26,-20.70801289
0.27,-20.49347261
0.28,-20.29428272
0.29,-20.09964108
0.3,-19.91582974
0.31,-19.75122969
0.32,-19.59953577
0.33,-19.47520024
0.34,-19.37597478
0.35,-19.29968979
0.36,-19.25209744
0.37,-19.24604757
0.38,-19.26133307
0.39,-19.32505546
0.4,-19.39684097
0.41,-19.54383117
0.42,-19.69106405
0.43,-19.89973648
0.44,-20.12344478
0.45,-20.36934304
0.46,-20.6337354
0.47,-20.91142665
0.48,-21.1855395
0.49,-21.44581205
0.5,-21.70443057
0.51,-21.94436474
0.52,-22.1706137
0.53,-22.40083863
0.54,-22.61762441
0.55,-22.87636499
0.56,-23.15880949
0.57,-23.51167744
0.58,-23.95187798
0.59,-24.51660312
0.6,-25.23673467
0.61,-26.14356191
0.62,-27.24451301
0.63,-28.5778987
0.64,-30.13099974
0.65,-31.91764623
0.66,-33.92435188
0.67,-36.11515987
0.68,-38.45480457
0.69,-40.89081941
0.7,-43.36084053
0.71,-45.82444121
0.72,-48.22766922
0.73,-50.51064593
0.74,-52.65676341
0.75,-54.6390249
0.76,-56.43704027
0.77,-58.05601404
0.78,-59.461743
0.79,-60.65706352
0.8,-61.68244333
0.81,-62.4821467
0.82,-63.07539811
0.83,-63.47116376
0.84,-63.64921584
0.85,-63.59112587
0.86,-63.344183
0.87,-62.90426803
0.88,-62.26469314
0.89,-61.45193508
0.9,-60.4763934
0.91,-59.34851923
0.92,-58.05061536
0.93,-56.63548304
0.94,-55.09914899
0.95,-53.49838416
0.96,-51.70637896
0.97,-49.91044737
0.98,-47.95843207
0.99,-46.00808752
1,-43.95200885
1.01,-41.87585184
1.02,-39.76190019
1.03,-37.62731599
1.04,-35.47477227
1.05,-33.31879184
1.06,-31.16115882
1.07,-29.00868011
1.08,-26.86107427
1.09,-24.73452439
1.1,-22.62362611
1.11,-20.5402705
1.12,-18.4935394
1.13,-16.50098449
1.14,-14.57901288
1.15,-12.76443609
1.16,-11.08063481
1.17,-9.55706535
1.18,-8.23924576
1.19,-7.14021807
1.2,-6.28078089
1.21,-5.66990114
1.22,-5.31256056
1.23,-5.19516431
1.24,-5.28911118
1.25,-5.60632389
1.26,-6.11914916
1.27,-6.77122011
