t,Elongation,Activation
-0,-0.00834999999999997,0
0.01,-0.00344699999999998,0.001537
0.02,-0.00530299999999995,0.010087
0.03,-0.00630699999999995,0.017304
0.04,-0.00270400000000004,0.02322
0.05,0.00475000000000003,0.027696
0.06,0.0137700000000001,0.030773
0.07,0.0228600000000001,0.032773
0.08,0.0316000000000001,0.033869
0.09,0.04,0.034016
0.1,0.0482899999999999,0.033391
0.11,0.0563199999999999,0.032245
0.12,0.0640000000000001,0.030862
0.13,0.07134,0.029634
0.14,0.0784,0.028749
0.15,0.0851999999999999,0.027704
0.16,0.0917300000000001,0.026432
0.17,0.09798,0.025416
0.18,0.10391,0.024901
0.19,0.10945,0.024834
0.2,0.11452,0.025013
0.21,0.11899,0.025255
0.22,0.12274,0.025282
0.23,0.12562,0.02471
0.24,0.12751,0.023458
0.25,0.1283,0.021815
0.26,0.12793,0.020121
0.27,0.12635,0.018588
0.28,0.12361,0.017217
0.29,0.11979,0.016005
0.3,0.11504,0.01496
0.31,0.10954,0.014195
0.32,0.10353,0.013936
0.33,0.0972500000000001,0.014233
0.34,0.0909800000000001,0.014869
0.35,0.08497,0.015488
0.36,0.07948,0.016155
0.37,0.0747100000000001,0.016857
0.38,0.07084,0.017161
0.39,0.06802,0.016991
0.4,0.06636,0.016939
0.41,0.06592,0.017342
0.42,0.0666800000000001,0.018387
0.43,0.0686,0.020142
0.44,0.07159,0.022497
0.45,0.0754900000000001,0.02505
0.46,0.0801799999999999,0.027006
0.47,0.0854699999999999,0.028731
0.48,0.09124,0.031116
0.49,0.09735,0.034637
0.5,0.1037,0.038892
0.51,0.11021,0.043078
0.52,0.11681,0.045893
0.53,0.12346,0.046188
0.54,0.1301,0.043699
0.55,0.13671,0.039487
0.56,0.14326,0.034765
0.57,0.1497,0.030604
0.58,0.15601,0.027572
0.59,0.16217,0.025952
0.6,0.16814,0.026391
0.61,0.17393,0.029109
0.62,0.17953,0.034043
0.63,0.18497,0.040392
0.64,0.1903,0.0467
0.65,0.19555,0.052515
0.66,0.20079,0.057949
0.67,0.20608,0.061926
0.68,0.21145,0.062818
0.69,0.21695,0.06142
0.7,0.22261,0.060018
0.71,0.22844,0.061095
0.72,0.23443,0.06582
0.73,0.24055,0.073515
0.74,0.24675,0.083085
0.75,0.25297,0.09133
0.76,0.25915,0.097373
0.77,0.26521,0.10308
0.78,0.2711,0.109846
0.79,0.27677,0.118213
0.8,0.28217,0.126394
0.81,0.2873,0.131691
0.82,0.29216,0.134171
0.83,0.29676,0.133932
0.84,0.30112,0.132468
0.85,0.30526,0.129941
0.86,0.30921,0.124348
0.87,0.313,0.113381
0.88,0.31664,0.098023
0.89,0.32013,0.080593
0.9,0.32351,0.063478
0.91,0.32677,0.049884
0.92,0.32992,0.042504
0.93,0.33296,0.042882
0.94,0.33587,0.051306
0.95,0.33866,0.066663
0.96,0.34131,0.08701
0.97,0.34379,0.110909
0.98,0.34608,0.137366
0.99,0.34816,0.164803
1,0.34998,0.189256
1.01,0.35153,0.203969
1.02,0.35275,0.206809
1.03,0.35363,0.209372
1.04,0.35412,0.225806
1.05,0.35419,0.25913
1.06,0.3538,0.307166
1.07,0.35292,0.361716
1.08,0.3515,0.409388
1.09,0.34948,0.440867
1.1,0.34678,0.456791
1.11,0.34331,0.46902
1.12,0.33893,0.489565
1.13,0.33349,0.520818
1.14,0.3268,0.564096
1.15,0.31859,0.627024
1.16,0.30857,0.705464
1.17,0.29636,0.781102
1.18,0.28156,0.834814
1.19,0.26383,0.856451
1.2,0.24338,0.838124
1.21,0.2204,0.779176
1.22,0.19506,0.692594
1.23,0.16788,0.595594
1.24,0.13945,0.500704
1.25,0.11036,0.415489
1.26,0.0810200000000001,0.341554
1.27,0.0519499999999999,0.277862
1.28,0.0256799999999999,0.221303
1.29,0.00174999999999992,0.171127
1.3,-0.021379,0.129093
1.31,-0.044531,0.095834
1.32,-0.067813,0.070278
1.33,-0.091024,0.050525
1.34,-0.113897,0.033989
1.35,-0.136197,0.022187
1.36,-0.157967,0.01444
1.37,-0.175577,0.010176
1.38,-0.18678,0.008637
1.39,-0.19166,0.009097
1.4,-0.191167,0.010859
1.41,-0.186346,0.013347
1.42,-0.178175,0.016152
1.43,-0.167567,0.019013
1.44,-0.15533,0.021752
1.45,-0.142098,0.024089
1.46,-0.128289,0.025554
1.47,-0.114179,0.026062
1.48,-0.099974,0.026197
1.49,-0.085846,0.026352
1.5,-0.071941,0.026426
1.51,-0.058357,0.025721
1.52,-0.045184,0.023938
1.53,-0.032502,0.021956
1.54,-0.020363,0.020524
1.55,-0.00880899999999996,0.019953
1.56,0.0021199999999999,0.02007
1.57,0.0123599999999999,0.020555
1.58,0.0218499999999999,0.021156
1.59,0.0307299999999999,0.021705
1.6,0.03891,0.022385
1.61,0.0464100000000001,0.023076
1.62,0.0533300000000001,0.023497
1.63,0.05979,0.023677
1.64,0.0658799999999999,0.023522
1.65,0.0716600000000001,0.023074
1.66,0.0771900000000001,0.022592
1.67,0.08253,0.022524
1.68,0.08771,0.023248
1.69,0.09276,0.024713
1.7,0.0976999999999999,0.02616
1.71,0.1025,0.026446
1.72,0.10711,0.025448
1.73,0.11147,0.023926
1.74,0.11547,0.022242
1.75,0.119,0.020441
1.76,0.12192,0.018625
1.77,0.12409,0.01707
1.78,0.12538,0.016139
1.79,0.12567,0.015996
1.8,0.12487,0.01643
1.81,0.12292,0.016962
1.82,0.11984,0.017212
1.83,0.11567,0.017211
1.84,0.11051,0.016952
1.85,0.10452,0.016329
1.86,0.0979000000000001,0.015431
1.87,0.0908899999999999,0.01469
1.88,0.0837399999999999,0.014508
1.89,0.0767199999999999,0.015042
1.9,0.0700700000000001,0.016229
1.91,0.0640499999999999,0.017915
1.92,0.05887,0.019866
1.93,0.0547299999999999,0.021784
1.94,0.0518000000000001,0.022996
1.95,0.05019,0.023668
1.96,0.04996,0.024049
1.97,0.0511200000000001,0.024376
1.98,0.0536099999999999,0.024642
1.99,0.05732,0.024687
2,0.06206,0.025106
2.01,0.06765,0.026641
2.02,0.0738799999999999,0.029586
2.03,0.08056,0.033854
2.04,0.08752,0.038553
2.05,0.09467,0.042356
2.06,0.1019,0.045247
2.07,0.10917,0.047975
2.08,0.11644,0.051312
2.09,0.12368,0.055426
2.1,0.13088,0.059134
2.11,0.13805,0.060915
2.12,0.14518,0.060633
2.13,0.15227,0.058655
2.14,0.15931,0.056369
2.15,0.1663,0.055282
2.16,0.17322,0.05572
2.17,0.18006,0.056561
2.18,0.1868,0.057576
2.19,0.19342,0.05917
2.2,0.1999,0.061156
2.21,0.20625,0.064655
2.22,0.21247,0.070058
2.23,0.21854,0.07564
2.24,0.2245,0.080695
2.25,0.23034,0.084013
2.26,0.23607,0.083388
2.27,0.2417,0.079184
2.28,0.24724,0.074672
2.29,0.2527,0.072063
2.3,0.25807,0.073092
2.31,0.26336,0.079356
2.32,0.26855,0.091451
2.33,0.27365,0.109526
2.34,0.27863,0.132858
2.35,0.28347,0.157086
2.36,0.28818,0.174347
2.37,0.29272,0.177868
2.38,0.29709,0.168744
2.39,0.30127,0.150595
2.4,0.30527,0.126759
2.41,0.30909,0.102862
2.42,0.31272,0.083491
2.43,0.31619,0.070516
2.44,0.31951,0.065533
2.45,0.32267,0.070911
2.46,0.3257,0.087402
2.47,0.32861,0.114899
2.48,0.33141,0.154373
2.49,0.33409,0.203201
2.5,0.33664,0.253787
2.51,0.33907,0.297919
2.52,0.34136,0.329317
2.53,0.34349,0.341828
2.54,0.34544,0.341305
2.55,0.3472,0.331251
2.56,0.34874,0.315539
2.57,0.35004,0.297346
2.58,0.35109,0.281022
2.59,0.35187,0.270318
2.6,0.35235,0.2663
