t,ankle
0,-8.03769458
0.01,-7.65249231
0.02,-7.29010687
0.03,-6.92112599
0.04,-6.54270608
0.05,-6.18652803
0.06,-5.84234578
0.07,-5.56034703
0.08,-5.33436742
0.09,-5.16601165
0.1,-5.05722791
0.11,-4.99569006
0.12,-4.96941754
0.13,-4.97100126
0.14,-4.97912991
0.15,-5.01035051
0.16,-5.02916543
0.17,-5.04899086
0.18,-5.07248577
0.19,-5.08899514
0.2,-5.11265664
0.21,-5.1368966
0.22,-5.17923689
0.23,-5.25091182
0.24,-5.35419564
0.25,-5.49990618
0.26,-5.69374407
0.27,-5.93585577
0.28,-6.23565981
0.29,-6.57330672
0.3,-6.95001819
0.31,-7.34007325
0.32,-7.71871975
0.33,-8.06884767
0.34,-8.37361965
0.35,-8.60473519
0.36,-8.76033714
0.37,-8.83794201
0.38,-8.80471622
0.39,-8.7130226
0.4,-8.54234915
0.41,-8.34501966
0.42,-8.06210773
0.43,-7.76454621
0.44,-7.43713125
0.45,-7.15537956
0.46,-6.82418011
0.47,-6.50232929
0.48,-6.18781526
0.49,-5.8827618
0.5,-5.58166363
0.51,-5.29522824
0.52,-4.9928902
0.53,-4.69620591
0.54,-4.40573306
0.55,-4.0856002
0.56,-3.7709161
0.57,-3.45548956
0.58,-3.14191466
0.59,-2.83555546
0.6,-2.55515911
0.61,-2.31526573
0.62,-2.12522027
0.63,-1.98248421
0.64,-1.88483784
0.65,-1.80282185
0.66,-1.75981095
0.67,-1.67530886
0.68,-1.52814264
0.69,-1.35647953
0.7,-1.11316738
0.71,-0.77473077
0.72,-0.37524772
0.73,0.05325964
0.74,0.48390744
0.75,0.88846916
0.76,1.25342963
0.77,1.56812626
0.78,1.83261075
0.79,2.05511601
0.8,2.24703336
0.81,2.41037618
0.82,2.5743411
0.83,2.75293542
0.84,2.92974999
0.85,3.11996164
0.86,3.33031619
0.87,3.54520155
0.88,3.76466266
0.89,3.99854962
0.9,4.23278049
0.91,4.46933259
0.92,4.71507851
0.93,4.96403269
0.94,5.18684939
0.95,5.43823817
0.96,5.6440304
0.97,5.86024169
0.98,6.06102034
0.99,6.24335428
1,6.40496831
1.01,6.54569972
1.02,6.65867392
1.03,6.76535905
1.04,6.8060531
1.05,6.82482771
1.06,6.78737181
1.07,6.75277077
1.08,6.65524708
1.09,6.49830429
1.1,6.28182773
1.11,5.99724859
1.12,5.63508603
1.13,5.18881976
1.14,4.65281831
1.15,3.99592393
1.16,3.25792583
1.17,2.42007122
1.18,1.42992454
1.19,0.35702164
1.2,-0.91427861
1.21,-2.28917827
1.22,-3.80387741
1.23,-5.45126947
1.24,-7.23317147
1.25,-9.09950449
1.26,-11.01730117
1.27,-12.94701461
1.28,-14.7798509
1.29,-16.46188562
1.3,-17.90508179
1.31,-19.05354072
1.32,-19.87336292
1.33,-20.34115536
1.34,-20.47439113
1.35,-20.30130378
1.36,-19.88254233
1.37,-19.27087694
1.38,-18.52603469
1.39,-17.69382735
1.4,-16.81846378
1.41,-15.90374881
1.42,-14.99145163
1.43,-14.08337553
1.44,-13.18629953
1.45,-12.28930631
1.46,-11.46621138
1.47,-10.59477889
1.48,-9.85751198
1.49,-9.08476244
1.5,-8.42358754
1.51,-7.83038801
1.52,-7.30587539
1.53,-6.85635276
1.54,-6.49042111
1.55,-6.17150429
1.56,-5.91571763
1.57,-5.71998949
1.58,-5.57945246
1.59,-5.48955069
1.6,-5.45424467
1.61,-5.44867516
1.62,-5.49334908
1.63,-5.56119871
1.64,-5.65525424
1.65,-5.76564099
1.66,-5.87480514
1.67,-6.00087206
1.68,-6.10981762
1.69,-6.21783251
1.7,-6.31129125
1.71,-6.39217769
1.72,-6.46246625
1.73,-6.52258809
1.74,-6.57046408
1.75,-6.61568613
1.76,-6.66196294
1.77,-6.71620141
1.78,-6.79815092
1.79,-6.88653657
1.8,-7.0648083
1.81,-7.28214184
1.82,-7.57151129
1.83,-7.93278528
1.84,-8.36359204
1.85,-8.84923879
1.86,-9.36253264
1.87,-9.87612931
1.88,-10.36028226
1.89,-10.78311615
1.9,-11.11930542
1.91,-11.34723655
1.92,-11.4677245
1.93,-11.46757991
1.94,-11.34244971
1.95,-11.13427625
1.96,-10.85218338
1.97,-10.47759557
1.98,-10.00271206
1.99,-9.50079538
2,-8.96977078
2.01,-8.42422286
2.02,-7.87686913
2.03,-7.34222037
2.04,-6.81052959
2.05,-6.2975371
2.06,-5.7837073
2.07,-5.29958367
2.08,-4.80842942
2.09,-4.33322499
2.1,-3.86771898
2.11,-3.39658409
2.12,-2.93125429
2.13,-2.4778696
2.14,-2.0358184
2.15,-1.62436538
2.16,-1.20557532
2.17,-0.85944151
2.18,-0.50419776
2.19,-0.10502923
2.2,0.21822415
2.21,0.52795609
2.22,0.79544876
2.23,1.05912382
2.24,1.2892703
2.25,1.51315804
2.26,1.72490688
2.27,1.91780064
2.28,2.10741092
2.29,2.29108227
2.3,2.47305184
2.31,2.65083596
2.32,2.83086607
2.33,3.02445931
2.34,3.21894102
2.35,3.420835
2.36,3.63666564
2.37,3.85558246
2.38,4.07766404
2.39,4.31519305
2.4,4.56312694
2.41,4.78440325
2.42,5.05315779
2.43,5.28458041
2.44,5.52970705
2.45,5.77975075
2.46,6.03700678
2.47,6.29557552
2.48,6.53952104
2.49,6.82069099
2.5,7.03211324
2.51,7.25455886
2.52,7.46760681
2.53,7.65947251
2.54,7.83657395
2.55,7.99007963
2.56,8.12639842
2.57,8.22708253
2.58,8.30109659
2.59,8.34650183
2.6,8.35103713
2.61,8.31471042
2.62,8.22776361
2.63,8.10247971
2.64,7.94386006
2.65,7.71746028
2.66,7.44222877
2.67,7.10398906
2.68,6.69904002
2.69,6.22481593
2.7,5.66065705
2.71,5.03085308
2.72,4.31693384
2.73,3.49619528
2.74,2.56978618
2.75,1.52470444
2.76,0.37351919
2.77,-0.94639207
2.78,-2.41047526
