t,knee
0,-55.35865515
0.01,-54.72454525
0.02,-54.00759708
0.03,-53.16944906
0.04,-52.18396378
0.05,-51.04671621
0.06,-49.75780441
0.07,-48.34796719
0.08,-46.84301513
0.09,-45.27446461
0.1,-43.67592025
0.11,-42.06846893
0.12,-40.47084734
0.13,-38.89629384
0.14,-37.35221932
0.15,-35.84934049
0.16,-34.39024172
0.17,-32.98550701
0.18,-31.64824304
0.19,-30.39143747
0.2,-29.22945545
0.21,-28.18262752
0.22,-27.26226767
0.23,-26.4879513
0.24,-25.87163266
0.25,-25.42970013
0.26,-25.16755849
0.27,-25.08331922
0.28,-25.1721078
0.29,-25.4349057
0.3,-25.84453379
0.31,-26.38516258
0.32,-27.02812593
0.33,-27.7406994
0.34,-28.48240465
0.35,-29.22754763
0.36,-29.94052959
0.37,-30.57899937
0.38,-31.14976094
0.39,-31.60845864
0.4,-31.95821553
0.41,-32.16916641
0.42,-32.27748607
0.43,-32.25464528
0.44,-32.13601438
0.45,-31.90913396
0.46,-31.61885765
0.47,-31.24344047
0.48,-30.79642486
0.49,-30.3050902
0.5,-29.7706239
0.51,-29.2132516
0.52,-28.61446005
0.53,-28.00756654
0.54,-27.40455147
0.55,-26.78075221
0.56,-26.16174627
0.57,-25.54737936
0.58,-24.93462757
0.59,-24.32233837
0.6,-23.70277276
0.61,-23.073464
0.62,-22.41401732
0.63,-21.72094625
0.64,-21.00036845
0.65,-20.25096138
0.66,-19.50156871
0.67,-18.7567062
0.68,-18.06037822
0.69,-17.3966257
0.7,-16.76868925
0.71,-16.22038471
0.72,-15.72630549
0.73,-15.26255569
0.74,-14.80718112
0.75,-14.3410703
0.76,-13.84308351
0.77,-13.30598822
0.78,-12.73333631
0.79,-12.13185504
0.8,-11.5156502
0.81,-10.9056163
0.82,-10.30796247
0.83,-9.74495544
0.84,-9.224478
0.85,-8.75466194
0.86,-8.33796985
0.87,-7.96881165
0.88,-7.65099738
0.89,-7.37665707
0.9,-7.14009198
0.91,-6.93728595
0.92,-6.75791146
0.93,-6.60448921
0.94,-6.46384008
0.95,-6.33620667
0.96,-6.21333018
0.97,-6.09691383
0.98,-5.99110584
0.99,-5.89765132
1,-5.81736554
1.01,-5.75987584
1.02,-5.73341502
1.03,-5.73922357
1.04,-5.78453874
1.05,-5.87241733
1.06,-6.01045976
1.07,-6.1934639
1.08,-6.4155328
1.09,-6.69151292
1.1,-7.01679563
1.11,-7.38745904
1.12,-7.80628686
1.13,-8.28857794
1.14,-8.82975356
1.15,-9.44298186
1.16,-10.17159026
1.17,-11.02944269
1.18,-12.07687463
1.19,-13.25680484
1.2,-14.63495332
1.21,-16.21499981
1.22,-18.00350973
1.23,-19.99920758
1.24,-22.18315967
1.25,-24.54360503
1.26,-27.04826304
1.27,-29.64690448
1.28,-32.31964033
1.29,-35.0203835
1.3,-37.71258398
1.31,-40.3701221
1.32,-42.95675239
1.33,-45.4489761
1.34,-47.82180493
1.35,-50.04968057
1.36,-52.10437484
