t,ankle
0,-26.55368221
0.01,-26.55292225
0.02,-26.5529727
0.03,-26.5514195
0.04,-26.52781391
0.05,-26.53289528
0.06,-26.53185586
0.07,-26.51720211
0.08,-26.51679433
0.09,-26.50770036
0.1,-26.50901148
0.11,-26.49677063
0.12,-26.49760589
0.13,-26.4937264
0.14,-26.48629294
0.15,-26.47890586
0.16,-26.47174016
0.17,-26.46534617
0.18,-26.4573029
0.19,-26.44952486
0.2,-26.4409955
0.21,-26.43331135
0.22,-26.42512356
0.23,-26.4171906
0.24,-26.40962025
0.25,-26.3750867
0.26,-26.38882924
0.27,-26.38999577
0.28,-26.35407576
0.29,-26.36431332
0.3,-26.37085379
0.31,-26.34732095
0.32,-26.35535897
0.33,-26.35542725
0.34,-26.36367021
0.35,-26.36929421
0.36,-26.36790287
0.37,-26.38941063
0.38,-26.38839689
0.39,-26.39447163
0.4,-26.39396164
0.41,-26.44721927
0.42,-26.44603219
0.43,-26.44796669
0.44,-26.45060857
0.45,-26.4542198
0.46,-26.46238131
0.47,-26.46357774
0.48,-26.458022
0.49,-26.45695138
0.5,-26.45003403
0.51,-26.44837306
0.52,-26.44018531
0.53,-26.43041277
0.54,-26.42883445
0.55,-26.42470457
0.56,-26.42243713
0.57,-26.4139378
0.58,-26.41870819
0.59,-26.41807163
0.6,-26.42215874
0.61,-26.42565276
0.62,-26.42304606
0.63,-26.41942065
0.64,-26.41671423
0.65,-26.41301402
0.66,-26.40566
0.67,-26.41259098
0.68,-26.40877531
0.69,-26.40221563
0.7,-26.40924413
0.71,-26.41214354
0.72,-26.4111455
0.73,-26.40758951
0.74,-26.4118016
0.75,-26.41713263
0.76,-26.41882405
0.77,-26.42550025
0.78,-26.43173753
0.79,-26.43170437
0.8,-26.44008152
0.81,-26.4429468
0.82,-26.44571051
0.83,-26.45862819
0.84,-26.46255728
0.85,-26.46342951
0.86,-26.4714686
0.87,-26.47797769
0.88,-26.48515014
0.89,-26.49242037
0.9,-26.49959652
0.91,-26.50682081
0.92,-26.51413498
0.93,-26.52176352
0.94,-26.52828297
0.95,-26.53741233
0.96,-26.55003392
0.97,-26.5721857
0.98,-26.59165066
0.99,-26.6061757
1,-26.64628763
1.01,-26.65930863
1.02,-26.67258353
1.03,-26.68998419
1.04,-26.70733212
1.05,-26.72304756
1.06,-26.7308393
1.07,-26.73375089
1.08,-26.77243965
1.09,-26.76210157
1.1,-26.76928163
1.11,-26.76390303
1.12,-26.74973948
1.13,-26.76245335
1.14,-26.76081738
1.15,-26.76671299
1.16,-26.77183156
1.17,-26.75792735
1.18,-26.76453061
1.19,-26.76797096
1.2,-26.76944986
1.21,-26.77292404
1.22,-26.7748011
1.23,-26.77952294
1.24,-26.78185689
1.25,-26.80296797
1.26,-26.7991915
1.27,-26.80155718
1.28,-26.80825308
1.29,-26.81016254
1.3,-26.81116455
1.31,-26.81177016
1.32,-26.81282129
1.33,-26.76941366
1.34,-26.77104581
1.35,-26.77253423
1.36,-26.75588268
1.37,-26.75664904
1.38,-26.75670889
1.39,-26.75067364
1.4,-26.75240032
1.41,-26.75193855
1.42,-26.75400047
1.43,-26.75406004
1.44,-26.75608602
1.45,-26.75742845
1.46,-26.75816654
1.47,-26.75456428
1.48,-26.75665827
1.49,-26.75785792
1.5,-26.75848475
1.51,-26.75866266
1.52,-26.75658052
1.53,-26.75804572
1.54,-26.75885096
1.55,-26.75934172
1.56,-26.76189406
1.57,-26.76309009
1.58,-26.76968093
1.59,-26.77042516
1.6,-26.77694659
1.61,-26.77743267
1.62,-26.78491113
1.63,-26.78529292
1.64,-26.78611378
1.65,-26.79431206
1.66,-26.79472849
1.67,-26.79537117
1.68,-26.79597682
1.69,-26.8023029
1.7,-26.8029366
1.71,-26.80351123
1.72,-26.80743113
1.73,-26.80824483
1.74,-26.80875201
1.75,-26.83018797
1.76,-26.82988857
1.77,-26.82494628
1.78,-26.82394181
1.79,-26.81356176
1.8,-26.81281794
1.81,-26.79987983
1.82,-26.79909265
1.83,-26.77804209
1.84,-26.78055919
1.85,-26.77221901
1.86,-26.77147178
1.87,-26.75768807
1.88,-26.75691772
1.89,-26.74850539
1.9,-26.74818318
1.91,-26.75210944
1.92,-26.75065431
1.93,-26.74497042
1.94,-26.74529543
1.95,-26.75800018
1.96,-26.75850285
1.97,-26.76883688
1.98,-26.75010613
1.99,-26.7201811
2,-26.65540438
2.01,-26.62679983
2.02,-26.55907414
2.03,-26.47170614
2.04,-26.38406425
2.05,-26.27878045
2.06,-26.17259556
2.07,-26.06377324
2.08,-25.94922131
2.09,-25.8222246
2.1,-25.68513723
2.11,-25.53894179
2.12,-25.3823795
2.13,-25.22059967
2.14,-25.03297344
2.15,-24.81461259
2.16,-24.60323968
2.17,-24.35267418
2.18,-24.06525823
2.19,-23.80328489
2.2,-23.47769595
2.21,-23.18936718
2.22,-22.84182292
2.23,-22.53269542
2.24,-22.16897474
2.25,-21.84277518
2.26,-21.49592986
2.27,-21.17636118
2.28,-20.86454637
2.29,-20.56208166
2.3,-20.27665318
2.31,-20.00708262
2.32,-19.75472358
2.33,-19.50576066
2.34,-19.30254607
2.35,-19.07093495
2.36,-18.92214071
2.37,-18.71401924
2.38,-18.61397951
2.39,-18.42863461
2.4,-18.37878133
2.41,-18.26231871
2.42,-18.20673881
2.43,-18.09202666
2.44,-18.08011133
2.45,-18.03279881
2.46,-17.99072292
2.47,-17.95490797
2.48,-17.91769757
2.49,-17.88993231
2.5,-17.84909993
2.51,-17.81409428
2.52,-17.76545514
2.53,-17.73165446
2.54,-17.64378064
2.55,-17.62892542
2.56,-17.56975497
2.57,-17.45465426
2.58,-17.42388497
2.59,-17.32820876
2.6,-17.18562598
2.61,-17.1358044
2.62,-17.01291238
2.63,-16.88009793
2.64,-16.73947448
2.65,-16.58949727
2.66,-16.41913899
2.67,-16.23967852
2.68,-16.05564343
2.69,-15.8586219
2.7,-15.65367421
2.71,-15.43253412
2.72,-15.20168901
2.73,-14.96410078
2.74,-14.70479232
2.75,-14.45728393
2.76,-14.18778829
2.77,-13.91583704
2.78,-13.63888976
2.79,-13.35774173
2.8,-13.07793666
2.81,-12.80796206
2.82,-12.55954477
2.83,-12.29177234
2.84,-12.05310803
2.85,-11.85011279
2.86,-11.64950385
2.87,-11.46290602
2.88,-11.29326047
2.89,-11.1243353
2.9,-10.97841306
2.91,-10.88441751
2.92,-10.75061711
2.93,-10.65682543
2.94,-10.53569796
2.95,-10.43843536
2.96,-10.32626468
2.97,-10.21217618
2.98,-10.09051217
2.99,-9.9534623
3,-9.79545714
3.01,-9.62936419
3.02,-9.46277475
3.03,-9.25161932
3.04,-9.05266963
3.05,-8.82160474
3.06,-8.5850727
3.07,-8.34060879
3.08,-8.0974164
3.09,-7.83734712
3.1,-7.57546061
3.11,-7.31097978
3.12,-7.03889563
3.13,-6.78179769
3.14,-6.51648996
3.15,-6.25174197
3.16,-6.01080243
3.17,-5.72234112
3.18,-5.46543474
3.19,-5.19843113
3.2,-4.93566326
3.21,-4.66227999
3.22,-4.39016895
3.23,-4.13560934
3.24,-3.81342963
3.25,-3.56873797
3.26,-3.25676037
3.27,-3.04255228
3.28,-2.81750018
3.29,-2.66174688
3.3,-2.57681824
3.31,-2.6167561
3.32,-2.81819043
3.33,-3.17071021
3.34,-3.71164906
3.35,-4.48675345
3.36,-5.45476142
3.37,-6.70794524
3.38,-8.0950831
3.39,-9.71929281
3.4,-11.39036546
3.41,-13.12320646
3.42,-14.80177849
3.43,-16.37946172
3.44,-17.72784801
3.45,-18.80216898
3.46,-19.57944424
3.47,-20.01759288
3.48,-20.19945942
3.49,-20.12478569
3.5,-19.79635361
3.51,-19.30608703
3.52,-18.68993144
3.53,-18.00461859
3.54,-17.29415702
3.55,-16.58900785
3.56,-15.91494648
3.57,-15.28180688
3.58,-14.71926252
3.59,-14.20918971
3.6,-13.75567883
3.61,-13.36623789
3.62,-13.03537535
3.63,-12.76912993
3.64,-12.55620793
3.65,-12.39111297
3.66,-12.29767595
3.67,-12.24472538
3.68,-12.23126151
3.69,-12.25057162
3.7,-12.30246012
3.71,-12.36134048
3.72,-12.43356161
3.73,-12.51337072
3.74,-12.6037447
3.75,-12.70708045
3.76,-12.82301767
3.77,-12.95244966
3.78,-13.09154525
3.79,-13.24374865
3.8,-13.3950235
3.81,-13.55195697
3.82,-13.72985895
3.83,-13.94169152
3.84,-14.21178558
3.85,-14.5655918
3.86,-15.02354004
3.87,-15.57235307
3.88,-16.2524612
3.89,-17.01409077
3.9,-17.82841858
3.91,-18.59543525
3.92,-19.30177977
3.93,-19.82334339
3.94,-20.1383963
3.95,-20.26328258
3.96,-20.1665281
3.97,-19.8785547
3.98,-19.40020857
3.99,-18.8031049
4,-18.10902953
4.01,-17.35527266
4.02,-16.56459408
4.03,-15.76162074
4.04,-14.96081344
4.05,-14.1771724
4.06,-13.42696305
4.07,-12.71310659
4.08,-12.00793233
4.09,-11.4003554
4.1,-10.79405641
4.11,-10.21850277
4.12,-9.69824871
4.13,-9.22332663
4.14,-8.80084273
4.15,-8.43857733
4.16,-8.11124817
4.17,-7.88272671
4.18,-7.6385302
4.19,-7.42427141
4.2,-7.25462869
4.21,-7.102034
4.22,-6.96985933
4.23,-6.8655624
4.24,-6.77566328
4.25,-6.70212469
4.26,-6.64376917
4.27,-6.60175055
4.28,-6.54233237
4.29,-6.49692979
4.3,-6.45783234
4.31,-6.40127815
4.32,-6.35164286
4.33,-6.235736
4.34,-6.13950726
4.35,-5.99316935
4.36,-5.82454052
4.37,-5.6241905
4.38,-5.40554956
4.39,-5.1730185
4.4,-4.92286023
4.41,-4.68303718
4.42,-4.42491717
4.43,-4.18132937
4.44,-3.9482684
4.45,-3.72685766
4.46,-3.54266989
4.47,-3.38495631
4.48,-3.24933386
4.49,-3.18730817
4.5,-3.1839848
4.51,-3.22923718
4.52,-3.40056394
4.53,-3.74789494
4.54,-4.17842266
4.55,-4.84171526
4.56,-5.70194291
4.57,-6.79416998
4.58,-8.13167478
4.59,-9.7263678
4.6,-11.51194791
4.61,-13.5591015
4.62,-15.70803864
4.63,-17.91751237
4.64,-20.06631248
4.65,-22.04958709
4.66,-23.77124067
4.67,-25.14969239
4.68,-26.15162987
4.69,-26.72727634
4.7,-26.90780616
4.71,-26.74155403
4.72,-26.27684651
4.73,-25.57545546
4.74,-24.69163257
4.75,-23.68044549
4.76,-22.57238647
4.77,-21.44938822
4.78,-20.30858168
4.79,-19.20633497
4.8,-18.14837858
4.81,-17.14683665
4.82,-16.22676462
4.83,-15.39133492
4.84,-14.65084411
4.85,-14.0165488
4.86,-13.4951866
4.87,-13.0809353
4.88,-12.76644377
4.89,-12.57694161
4.9,-12.44809747
4.91,-12.38976153
4.92,-12.398148
4.93,-12.44954472
4.94,-12.53090606
4.95,-12.62453228
4.96,-12.71407235
4.97,-12.78088719
4.98,-12.81770466
4.99,-12.83490515
5,-12.80803223
5.01,-12.75493085
5.02,-12.68254794
5.03,-12.5944553
5.04,-12.48915094
5.05,-12.3745447
5.06,-12.25627762
5.07,-12.14107552
5.08,-12.04393616
5.09,-11.98206059
5.1,-11.97672989
5.11,-12.04819045
5.12,-12.2312216
5.13,-12.58733613
5.14,-13.037632
5.15,-13.73484961
5.16,-14.53194747
5.17,-15.44799909
5.18,-16.44249577
5.19,-17.43602992
5.2,-18.37805946
5.21,-19.21852168
5.22,-19.88120227
5.23,-20.42671794
5.24,-20.77035762
5.25,-20.95836095
5.26,-21.00833975
5.27,-20.91755522
5.28,-20.74569282
5.29,-20.49936259
5.3,-20.19768106
5.31,-19.84696962
5.32,-19.49201363
5.33,-19.09653688
5.34,-18.67017175
5.35,-18.22937522
5.36,-17.7542055
5.37,-17.27193956
5.38,-16.76468465
5.39,-16.24630792
5.4,-15.72140929
5.41,-15.21811714
5.42,-14.71701007
5.43,-14.25700567
5.44,-13.80309276
5.45,-13.39004142
5.46,-13.0053649
5.47,-12.65723278
5.48,-12.33268785
5.49,-12.0291358
5.5,-11.75058039
5.51,-11.48791016
5.52,-11.24643949
5.53,-11.01722559
5.54,-10.79778773
5.55,-10.59031459
5.56,-10.39064709
5.57,-10.19634375
5.58,-10.0109043
5.59,-9.79215576
5.6,-9.54803699
5.61,-9.3033558
5.62,-9.03772007
5.63,-8.74844904
5.64,-8.45215105
5.65,-8.13679328
5.66,-7.80756181
5.67,-7.48075087
5.68,-7.134545
5.69,-6.78422963
5.7,-6.43834066
5.71,-6.09142505
5.72,-5.74558637
5.73,-5.4118908
5.74,-5.083713
5.75,-4.77100874
5.76,-4.47217926
5.77,-4.1980728
5.78,-3.93155809
5.79,-3.68498191
5.8,-3.48418231
5.81,-3.27046859
5.82,-3.10329907
5.83,-2.99019713
5.84,-2.96988201
5.85,-2.94223859
5.86,-3.05036863
5.87,-3.27616876
5.88,-3.64601176
5.89,-4.1867667
5.9,-4.91431406
5.91,-5.84470014
5.92,-6.98714041
5.93,-8.36426782
5.94,-9.95186347
5.95,-11.71480897
5.96,-13.68953615
5.97,-15.71325359
5.98,-17.78486176
5.99,-19.81402418
6,-21.65915847
6.01,-23.25358954
6.02,-24.52776517
6.03,-25.43750103
6.04,-25.97868245
6.05,-26.12441787
6.06,-25.98993879
6.07,-25.50309771
6.08,-24.85163397
6.09,-23.99182127
6.1,-23.00873397
6.11,-21.96327595
6.12,-20.91127994
6.13,-19.88237427
6.14,-18.91083504
6.15,-18.00067956
6.16,-17.17391438
6.17,-16.42473622
6.18,-15.7839811
6.19,-15.2265292
6.2,-14.78129571
6.21,-14.41960321
6.22,-14.12843635
6.23,-13.95286469
6.24,-13.81003416
6.25,-13.76375233
6.26,-13.74586996
6.27,-13.71880537
6.28,-13.76206088
6.29,-13.7615421
6.3,-13.79059414
6.31,-13.79904824
6.32,-13.80071511
6.33,-13.79972471
6.34,-13.79340138
6.35,-13.80193959
6.36,-13.80627535
6.37,-13.80769316
6.38,-13.80239771
6.39,-13.7724977
6.4,-13.72808508
6.41,-13.66776092
6.42,-13.6071544
6.43,-13.53638236
6.44,-13.47698674
6.45,-13.45460473
6.46,-13.40030965
6.47,-13.39546413
