t,Elongation,Activation
-0,-0.127302,0.011133
0.01,-0.119749,0.013775
0.02,-0.118937,0.015854
0.03,-0.11621,0.0172
0.04,-0.107399,0.018015
0.05,-0.0941149999999999,0.018587
0.06,-0.079336,0.019083
0.07,-0.064528,0.019581
0.08,-0.0496529999999999,0.020207
0.09,-0.034894,0.020858
0.1,-0.020317,0.021394
0.11,-0.00590599999999997,0.022145
0.12,0.00834000000000001,0.023513
0.13,0.02227,0.025254
0.14,0.03583,0.026972
0.15,0.0490600000000001,0.028237
0.16,0.06203,0.028694
0.17,0.0747100000000001,0.02848
0.18,0.0868899999999999,0.027702
0.19,0.09826,0.026488
0.2,0.10852,0.025005
0.21,0.11745,0.023276
0.22,0.12492,0.021115
0.23,0.13081,0.018539
0.24,0.135,0.015857
0.25,0.13735,0.013403
0.26,0.13778,0.011392
0.27,0.13628,0.009972
0.28,0.1329,0.009225
0.29,0.12781,0.009092
0.3,0.12124,0.009276
0.31,0.1135,0.009578
0.32,0.10499,0.010065
0.33,0.09613,0.010775
0.34,0.08734,0.011727
0.35,0.0790200000000001,0.01295
0.36,0.0715300000000001,0.014573
0.37,0.0651999999999999,0.0166
0.38,0.06029,0.0192
0.39,0.05704,0.022252
0.4,0.0555699999999999,0.025703
0.41,0.05596,0.029589
0.42,0.0581199999999999,0.033669
0.43,0.06189,0.037398
0.44,0.06698,0.041101
0.45,0.0730599999999999,0.045107
0.46,0.0797600000000001,0.049246
0.47,0.0867599999999999,0.053536
0.48,0.09382,0.058475
0.49,0.10074,0.064679
0.5,0.10741,0.072421
0.51,0.11375,0.081167
0.52,0.11972,0.091063
0.53,0.12532,0.101833
0.54,0.13057,0.112174
0.55,0.13548,0.120596
0.56,0.14012,0.125558
0.57,0.14452,0.127777
0.58,0.14873,0.127615
0.59,0.1528,0.127262
0.6,0.15677,0.128959
0.61,0.16067,0.133097
0.62,0.16454,0.139666
0.63,0.16841,0.147967
0.64,0.17229,0.156397
0.65,0.1762,0.162055
0.66,0.18014,0.163374
0.67,0.1841,0.162035
0.68,0.18809,0.160909
0.69,0.19208,0.159547
0.7,0.19604,0.155495
0.71,0.19996,0.148481
0.72,0.20382,0.138805
0.73,0.20759,0.128316
0.74,0.21124,0.119299
0.75,0.21476,0.112785
0.76,0.21814,0.10781
0.77,0.22138,0.104545
0.78,0.22449,0.104422
0.79,0.22746,0.10843
0.8,0.23031,0.114707
0.81,0.23304,0.11913
0.82,0.23567,0.11946
0.83,0.2382,0.113636
0.84,0.24063,0.105513
0.85,0.24293,0.097572
0.86,0.24509,0.092017
0.87,0.24704,0.089784
0.88,0.2487,0.090947
0.89,0.24994,0.094871
0.9,0.25061,0.101614
0.91,0.25047,0.111482
0.92,0.24925,0.12244
0.93,0.24661,0.133046
0.94,0.24214,0.143342
0.95,0.2354,0.152418
0.96,0.22604,0.162511
0.97,0.21367,0.177379
0.98,0.19788,0.196401
0.99,0.17856,0.213958
1,0.1559,0.223536
1.01,0.13037,0.22147
1.02,0.10259,0.209449
1.03,0.0728599999999999,0.192776
1.04,0.0446899999999999,0.177445
1.05,0.0194099999999999,0.166605
1.06,-0.00429000000000002,0.159909
1.07,-0.0279509999999999,0.15429
1.08,-0.05223,0.147673
1.09,-0.077136,0.140819
1.1,-0.102405,0.13397
1.11,-0.127701,0.124378
1.12,-0.152689,0.107924
1.13,-0.177035,0.086683
1.14,-0.200429,0.065532
1.15,-0.222593,0.04727
1.16,-0.243312,0.033105
1.17,-0.262759,0.023259
1.18,-0.275288,0.017239
1.19,-0.27833,0.014194
1.2,-0.272923,0.013243
1.21,-0.262094,0.01377
1.22,-0.248764,0.015305
1.23,-0.234508,0.017484
1.24,-0.219815,0.019945
1.25,-0.204793,0.022456
1.26,-0.189531,0.024758
1.27,-0.174132,0.026543
1.28,-0.158681,0.027652
1.29,-0.14323,0.028023
1.3,-0.12783,0.027621
1.31,-0.11254,0.026629
1.32,-0.097423,0.024914
1.33,-0.082291,0.022602
1.34,-0.067396,0.020445
1.35,-0.0527300000000001,0.019065
1.36,-0.038125,0.018654
1.37,-0.0234259999999999,0.018968
1.38,-0.00854200000000005,0.019693
1.39,0.00655000000000006,0.020672
1.4,0.0216799999999999,0.021844
1.41,0.03661,0.023207
1.42,0.0511299999999999,0.024371
1.43,0.06498,0.024602
1.44,0.07778,0.023606
1.45,0.0891599999999999,0.021736
1.46,0.0988100000000001,0.019529
1.47,0.10656,0.017392
1.48,0.11228,0.015568
1.49,0.11589,0.014193
1.5,0.11738,0.013331
1.51,0.11679,0.013026
1.52,0.11425,0.0133
1.53,0.10999,0.014147
1.54,0.10431,0.015214
1.55,0.0975699999999999,0.016084
1.56,0.0902099999999999,0.01664
1.57,0.08266,0.016953
1.58,0.07535,0.017137
1.59,0.0686800000000001,0.017197
1.6,0.06301,0.017227
1.61,0.0586100000000001,0.017167
1.62,0.0557099999999999,0.017066
1.63,0.05447,0.017331
1.64,0.0549299999999999,0.018421
1.65,0.05704,0.020601
1.66,0.06064,0.024011
1.67,0.0654699999999999,0.028912
1.68,0.07121,0.035252
1.69,0.0775300000000001,0.041985
1.7,0.08413,0.047538
1.71,0.0907500000000001,0.052561
1.72,0.09724,0.058757
1.73,0.10346,0.066706
1.74,0.10933,0.077252
1.75,0.11481,0.092415
1.76,0.11988,0.112845
1.77,0.12454,0.138002
1.78,0.1288,0.161339
1.79,0.13271,0.180776
1.8,0.13627,0.193407
1.81,0.13953,0.201099
1.82,0.1425,0.208261
1.83,0.14523,0.214942
1.84,0.14773,0.22078
1.85,0.15002,0.225341
1.86,0.15212,0.228399
1.87,0.15406,0.232632
1.88,0.15587,0.241114
1.89,0.15756,0.255481
1.9,0.15916,0.272003
1.91,0.16069,0.282538
1.92,0.16217,0.284411
1.93,0.16362,0.281667
1.94,0.16504,0.275461
1.95,0.16646,0.263126
1.96,0.16787,0.242349
1.97,0.1693,0.217438
1.98,0.17073,0.198999
1.99,0.17217,0.191986
2,0.17363,0.19491
2.01,0.17511,0.204101
2.02,0.17663,0.216549
2.03,0.17818,0.231778
2.04,0.1798,0.250204
2.05,0.1815,0.270929
2.06,0.18328,0.291477
2.07,0.18518,0.306398
2.08,0.18718,0.310894
2.09,0.18928,0.299914
2.1,0.19142,0.276853
2.11,0.19353,0.250686
2.12,0.1955,0.230734
2.13,0.19717,0.221068
2.14,0.19831,0.221917
2.15,0.19866,0.228907
2.16,0.19791,0.237149
2.17,0.1957,0.240675
2.18,0.19167,0.236491
2.19,0.1854,0.229844
2.2,0.17643,0.224764
2.21,0.16433,0.22157
2.22,0.14884,0.219846
2.23,0.1299,0.218022
2.24,0.10777,0.216574
2.25,0.0829800000000001,0.213802
2.26,0.05565,0.208441
2.27,0.02952,0.200793
2.28,0.00531999999999999,0.193079
2.29,-0.0182330000000001,0.186445
2.3,-0.0421049999999999,0.179262
2.31,-0.066604,0.168023
2.32,-0.091637,0.153196
2.33,-0.116952,0.136777
2.34,-0.142243,0.119762
2.35,-0.167195,0.10149
2.36,-0.191486,0.082841
2.37,-0.214797,0.065463
2.38,-0.236849,0.049922
2.39,-0.257415,0.036875
2.4,-0.276494,0.027136
2.41,-0.289317,0.020471
2.42,-0.293064,0.016112
2.43,-0.288345,0.013377
2.44,-0.277963,0.011878
2.45,-0.264849,0.011487
2.46,-0.25066,0.012062
2.47,-0.235933,0.013302
2.48,-0.220778,0.014564
2.49,-0.205277,0.015842
2.5,-0.18952,0.017394
2.51,-0.173584,0.019274
2.52,-0.157532,0.021265
2.53,-0.141443,0.023066
2.54,-0.125429,0.024467
2.55,-0.109639,0.025216
2.56,-0.094007,0.024954
2.57,-0.078904,0.024119
2.58,-0.0645,0.023335
2.59,-0.050823,0.022905
2.6,-0.03791,0.022945
2.61,-0.025818,0.023263
2.62,-0.014589,0.023601
2.63,-0.00424599999999997,0.023953
2.64,0.00520999999999994,0.024462
2.65,0.01376,0.025204
2.66,0.02142,0.025933
2.67,0.0282500000000001,0.026471
2.68,0.0343100000000001,0.027266
2.69,0.03969,0.028796
2.7,0.0444800000000001,0.031041
2.71,0.0488,0.032891
2.72,0.0527599999999999,0.033124
2.73,0.0564100000000001,0.030779
2.74,0.0598099999999999,0.026597
2.75,0.0629299999999999,0.022151
2.76,0.0657099999999999,0.018496
2.77,0.0680400000000001,0.016185
2.78,0.06979,0.015343
2.79,0.07081,0.01583
2.8,0.0709599999999999,0.017544
2.81,0.07013,0.020426
2.82,0.06823,0.024162
2.83,0.06525,0.028
2.84,0.0612299999999999,0.030721
2.85,0.0562400000000001,0.031404
2.86,0.05044,0.030222
2.87,0.044,0.027782
2.88,0.03712,0.025334
2.89,0.0300199999999999,0.023779
2.9,0.02291,0.023659
2.91,0.0159899999999999,0.025306
2.92,0.00943999999999989,0.028543
2.93,0.00340999999999991,0.032733
2.94,-0.00197800000000004,0.037779
2.95,-0.00664100000000001,0.043919
2.96,-0.010534,0.052643
2.97,-0.013665,0.065268
2.98,-0.016097,0.083159
2.99,-0.017925,0.10587
3,-0.019263,0.130774
3.01,-0.020222,0.152923
3.02,-0.020914,0.166292
3.03,-0.021415,0.168422
3.04,-0.021783,0.163034
3.05,-0.0220590000000001,0.152822
3.06,-0.022268,0.140597
3.07,-0.0224259999999999,0.127986
3.08,-0.02254,0.117178
3.09,-0.0226150000000001,0.10904
3.1,-0.022656,0.104613
3.11,-0.022668,0.102854
3.12,-0.022661,0.10131
3.13,-0.022648,0.097625
3.14,-0.022644,0.091863
3.15,-0.022667,0.085022
3.16,-0.022733,0.078804
3.17,-0.022853,0.072975
3.18,-0.0230359999999999,0.067006
3.19,-0.023286,0.061651
3.2,-0.023599,0.05943
3.21,-0.023959,0.061341
3.22,-0.02436,0.066827
3.23,-0.0247889999999999,0.074397
3.24,-0.02523,0.081498
3.25,-0.02566,0.083892
3.26,-0.026061,0.079698
3.27,-0.0264180000000001,0.070993
3.28,-0.026722,0.06164
3.29,-0.026968,0.054071
3.3,-0.02716,0.049539
3.31,-0.027304,0.04807
3.32,-0.027415,0.04796
3.33,-0.027511,0.047499
3.34,-0.027614,0.046371
3.35,-0.027746,0.04451
3.36,-0.027928,0.042176
3.37,-0.02818,0.03951
3.38,-0.028514,0.036834
3.39,-0.028939,0.034803
3.4,-0.029457,0.033722
3.41,-0.030066,0.0334
3.42,-0.0307539999999999,0.033303
3.43,-0.031509,0.032899
