t,Elongation,Activation
-0,-0.122919,0.009503
0.01,-0.121745,0.011246
0.02,-0.122133,0.012574
0.03,-0.118421,0.013267
0.04,-0.108854,0.013334
0.05,-0.095637,0.013047
0.06,-0.081271,0.012709
0.07,-0.066814,0.012656
0.08,-0.049561,0.012981
0.09,-0.032655,0.013525
0.1,-0.017147,0.014035
0.11,-0.00231300000000001,0.014628
0.12,0.0124599999999999,0.015526
0.13,0.0271300000000001,0.016616
0.14,0.0415399999999999,0.017621
0.15,0.0557000000000001,0.018138
0.16,0.0696600000000001,0.017972
0.17,0.0833900000000001,0.017496
0.18,0.0966400000000001,0.016922
0.19,0.10904,0.016299
0.2,0.12027,0.015718
0.21,0.13007,0.015183
0.22,0.13829,0.014587
0.23,0.14478,0.013855
0.24,0.14938,0.012956
0.25,0.15198,0.011937
0.26,0.15248,0.010917
0.27,0.15088,0.010076
0.28,0.14727,0.009317
0.29,0.14183,0.008573
0.3,0.13484,0.007936
0.31,0.12668,0.007482
0.32,0.11778,0.007254
0.33,0.1086,0.007198
0.34,0.0995699999999999,0.007174
0.35,0.09111,0.007102
0.36,0.0835699999999999,0.007087
0.37,0.07725,0.007322
0.38,0.0724,0.008082
0.39,0.0692200000000001,0.009652
0.4,0.0678300000000001,0.012163
0.41,0.06826,0.015492
0.42,0.0704199999999999,0.019154
0.43,0.0741400000000001,0.0225
0.44,0.07911,0.025522
0.45,0.0850200000000001,0.028397
0.46,0.09152,0.030821
0.47,0.0983400000000001,0.032632
0.48,0.10523,0.034021
0.49,0.11202,0.035256
0.5,0.11859,0.03654
0.51,0.12486,0.037517
0.52,0.13079,0.03804
0.53,0.13639,0.039206
0.54,0.14165,0.04305
0.55,0.14662,0.050757
0.56,0.15132,0.063051
0.57,0.15582,0.081151
0.58,0.16016,0.105299
0.59,0.16437,0.137695
0.6,0.1685,0.174172
0.61,0.1726,0.211742
0.62,0.17668,0.247233
0.63,0.18078,0.278612
0.64,0.1849,0.304118
0.65,0.18907,0.318035
0.66,0.19327,0.319055
0.67,0.19751,0.316723
0.68,0.20177,0.318904
0.69,0.20604,0.323776
0.7,0.21028,0.322149
0.71,0.21448,0.309272
0.72,0.2186,0.290003
0.73,0.22262,0.273029
0.74,0.22652,0.26454
0.75,0.23029,0.26547
0.76,0.23391,0.26969
0.77,0.23738,0.271197
0.78,0.24071,0.273842
0.79,0.2439,0.278377
0.8,0.24695,0.28188
0.81,0.24989,0.288821
0.82,0.25273,0.299958
0.83,0.25547,0.307346
0.84,0.2581,0.30071
0.85,0.2606,0.280781
0.86,0.26295,0.253974
0.87,0.26508,0.227083
0.88,0.2669,0.206857
0.89,0.26829,0.197581
0.9,0.26908,0.198131
0.91,0.26902,0.20553
0.92,0.26785,0.216001
0.93,0.2652,0.227154
0.94,0.26065,0.236197
0.95,0.25377,0.237202
0.96,0.24418,0.233729
0.97,0.2315,0.236415
0.98,0.21534,0.251306
0.99,0.19555,0.27669
1,0.17241,0.304838
1.01,0.14646,0.324813
1.02,0.11837,0.327009
1.03,0.0886499999999999,0.309744
1.04,0.0604100000000001,0.284569
1.05,0.03592,0.261519
1.06,0.0143200000000001,0.239474
1.07,-0.00640499999999999,0.211974
1.08,-0.027579,0.174781
1.09,-0.0497300000000001,0.135119
1.1,-0.0726250000000001,0.099257
1.11,-0.095862,0.070662
1.12,-0.119051,0.049321
1.13,-0.14185,0.034012
1.14,-0.163953,0.02333
1.15,-0.185084,0.016177
1.16,-0.205013,0.011579
1.17,-0.223571,0.008712
1.18,-0.240642,0.007086
1.19,-0.253844,0.006342
1.2,-0.258495,0.006185
