t,Elongation,Activation
-0,0.0204299999999999,0.000843
0.01,0.02034,0.002537
0.02,0.0147600000000001,0.004073
0.03,0.00900999999999996,0.00533
0.04,0.00553000000000003,0.006288
0.05,0.00405999999999995,0.007038
0.06,0.0035400000000001,0.007626
0.07,0.00327999999999995,0.00802
0.08,0.00300999999999996,0.0082
0.09,0.00269999999999992,0.008151
0.1,0.00239999999999996,0.007937
0.11,0.00209999999999999,0.007597
0.12,0.00181000000000009,0.007151
0.13,0.0015099999999999,0.006695
0.14,0.00120000000000009,0.006343
0.15,0.000890000000000057,0.006169
0.16,0.000559999999999894,0.006204
0.17,0.000229999999999952,0.006388
0.18,-0.000102000000000046,0.006657
0.19,-0.000442999999999971,0.006947
0.2,-0.000786999999999982,0.007262
0.21,-0.00113300000000005,0.00754
0.22,-0.00147900000000001,0.00763
0.23,-0.00182400000000005,0.007504
0.24,-0.00216700000000003,0.007204
0.25,-0.00250700000000004,0.006785
0.26,-0.00284200000000001,0.006326
0.27,-0.00317400000000001,0.005849
0.28,-0.00349900000000003,0.005391
0.29,-0.00381699999999996,0.005084
0.3,-0.00412699999999999,0.005019
0.31,-0.00442699999999996,0.005231
0.32,-0.00471900000000003,0.005663
0.33,-0.00500299999999998,0.006165
0.34,-0.00528200000000001,0.006531
0.35,-0.00555600000000001,0.006643
0.36,-0.00582800000000006,0.006564
0.37,-0.00609999999999999,0.006425
0.38,-0.00637200000000004,0.0063
0.39,-0.00664600000000004,0.006193
0.4,-0.00692000000000004,0.00609
0.41,-0.00719499999999995,0.005946
0.42,-0.00746800000000003,0.005759
0.43,-0.00773599999999997,0.005581
0.44,-0.00799499999999997,0.00544
0.45,-0.008243,0.005346
0.46,-0.00847600000000004,0.005389
0.47,-0.00869200000000003,0.00562
0.48,-0.00888999999999995,0.005959
0.49,-0.00905900000000004,0.006309
0.5,-0.00920799999999999,0.006636
0.51,-0.00934199999999996,0.006953
0.52,-0.00946499999999995,0.00722
0.53,-0.00957699999999995,0.007361
0.54,-0.00968000000000002,0.007355
0.55,-0.00977799999999995,0.007265
0.56,-0.00987300000000002,0.007144
0.57,-0.00996799999999998,0.006994
0.58,-0.010062,0.006834
0.59,-0.010157,0.0067
0.6,-0.010251,0.006628
0.61,-0.01034,0.006606
0.62,-0.010423,0.006601
0.63,-0.010498,0.006574
0.64,-0.010561,0.006554
0.65,-0.010612,0.006614
0.66,-0.010652,0.006766
0.67,-0.0106810000000001,0.006922
0.68,-0.0107,0.006959
0.69,-0.010711,0.006855
0.7,-0.010718,0.006721
0.71,-0.010723,0.006673
0.72,-0.010732,0.006711
0.73,-0.010747,0.006858
0.74,-0.010768,0.007095
0.75,-0.0107969999999999,0.007317
0.76,-0.010833,0.007461
0.77,-0.010877,0.00752
0.78,-0.010928,0.007467
0.79,-0.010988,0.007304
0.8,-0.011055,0.007041
0.81,-0.01113,0.006711
0.82,-0.011212,0.006337
0.83,-0.011303,0.005973
0.84,-0.011402,0.005664
0.85,-0.011512,0.005408
0.86,-0.01163,0.005293
0.87,-0.011759,0.005487
0.88,-0.011897,0.005978
0.89,-0.012046,0.006566
0.9,-0.0122060000000001,0.00708
0.91,-0.012377,0.007452
0.92,-0.012561,0.007616
0.93,-0.012758,0.007547
0.94,-0.012971,0.007307
0.95,-0.013198,0.006975
0.96,-0.013442,0.006573
0.97,-0.0137,0.006176
0.98,-0.013972,0.005888
0.99,-0.014255,0.005776
1,-0.014545,0.00588
1.01,-0.01484,0.006179
1.02,-0.015134,0.006594
1.03,-0.0154260000000001,0.007048
1.04,-0.0157119999999999,0.007497
1.05,-0.0159899999999999,0.007874
1.06,-0.016258,0.008136
1.07,-0.016514,0.008286
1.08,-0.016756,0.008368
1.09,-0.01698,0.008438
1.1,-0.017193,0.008507
1.11,-0.017391,0.008562
1.12,-0.01757,0.008599
1.13,-0.017742,0.008625
1.14,-0.0179009999999999,0.008659
1.15,-0.018048,0.008691
1.16,-0.018184,0.008648
1.17,-0.01831,0.008481
1.18,-0.018425,0.008134
1.19,-0.018532,0.007579
1.2,-0.01863,0.006883
1.21,-0.018721,0.006248
1.22,-0.018804,0.00577
1.23,-0.018882,0.005557
1.24,-0.018956,0.005675
1.25,-0.019026,0.00613
1.26,-0.019092,0.006854
1.27,-0.019155,0.007705
1.28,-0.019213,0.008434
1.29,-0.019263,0.008788
1.3,-0.019305,0.008684
1.31,-0.019336,0.008333
1.32,-0.019354,0.008006
1.33,-0.019358,0.007841
1.34,-0.01935,0.007834
1.35,-0.019331,0.007898
1.36,-0.019301,0.007927
1.37,-0.0192639999999999,0.007945
1.38,-0.019223,0.007964
1.39,-0.019181,0.007913
1.4,-0.01914,0.007737
1.41,-0.019104,0.007523
1.42,-0.019074,0.007445
1.43,-0.019051,0.007555
1.44,-0.0190360000000001,0.007838
1.45,-0.019029,0.008294
1.46,-0.019029,0.008843
1.47,-0.019034,0.00937
