t,Elongation,Activation
-0,0.17436,0
0.01,0.17428,0.002839
0.02,0.17017,0.009282
0.03,0.16706,0.014432
0.04,0.16614,0.018499
0.05,0.1662,0.021718
0.06,0.16625,0.024248
0.07,0.16608,0.026232
0.08,0.16582,0.027704
0.09,0.16558,0.028862
0.1,0.16535,0.029914
0.11,0.16512,0.031015
0.12,0.16487,0.032481
0.13,0.16461,0.034177
0.14,0.16435,0.035272
0.15,0.16409,0.035814
0.16,0.16383,0.037027
0.17,0.16358,0.03973
0.18,0.16331,0.043824
0.19,0.16304,0.048472
0.2,0.16278,0.052647
0.21,0.16252,0.055016
0.22,0.16227,0.05513
0.23,0.16202,0.052801
0.24,0.16178,0.047878
0.25,0.16154,0.041173
0.26,0.16132,0.034486
0.27,0.1611,0.029167
0.28,0.16089,0.025705
0.29,0.1607,0.024102
0.3,0.16051,0.02421
0.31,0.16033,0.025595
0.32,0.16017,0.027525
0.33,0.16001,0.029212
0.34,0.15986,0.029824
0.35,0.15971,0.02938
0.36,0.15957,0.028619
0.37,0.15942,0.02782
0.38,0.15928,0.026976
0.39,0.15914,0.026031
0.4,0.159,0.025063
0.41,0.15886,0.024026
0.42,0.15873,0.023006
0.43,0.1586,0.0222
0.44,0.15847,0.021573
0.45,0.15835,0.021024
0.46,0.15824,0.020706
0.47,0.15813,0.020849
0.48,0.15803,0.021495
0.49,0.15794,0.022493
0.5,0.15785,0.023737
0.51,0.15777,0.024904
0.52,0.15769,0.025457
0.53,0.15762,0.025571
0.54,0.15755,0.02578
0.55,0.15749,0.026179
0.56,0.15743,0.026536
0.57,0.15737,0.026334
0.58,0.15732,0.025629
0.59,0.15726,0.024703
0.6,0.1572,0.02394
0.61,0.15715,0.023564
0.62,0.15709,0.023337
0.63,0.15703,0.023075
0.64,0.15697,0.023004
0.65,0.15691,0.023064
0.66,0.15685,0.022891
0.67,0.15679,0.022371
0.68,0.15674,0.021589
0.69,0.15668,0.020628
0.7,0.15663,0.019622
0.71,0.15657,0.018836
0.72,0.15652,0.018547
0.73,0.15647,0.018837
0.74,0.15642,0.019403
0.75,0.15636,0.019925
0.76,0.15631,0.020341
0.77,0.15625,0.020803
0.78,0.1562,0.021468
0.79,0.15614,0.022232
0.8,0.15609,0.023016
0.81,0.15604,0.023741
0.82,0.15599,0.024189
0.83,0.15594,0.024385
0.84,0.15589,0.024587
0.85,0.15584,0.025388
0.86,0.15579,0.026976
0.87,0.15574,0.028981
0.88,0.1557,0.030709
0.89,0.15566,0.031468
0.9,0.15561,0.030789
0.91,0.15557,0.029139
0.92,0.15553,0.027411
0.93,0.15549,0.026029
0.94,0.15544,0.025276
0.95,0.15539,0.025241
0.96,0.15535,0.025505
0.97,0.1553,0.025618
0.98,0.15525,0.025514
0.99,0.15521,0.025505
1,0.15517,0.025644
1.01,0.15514,0.025602
1.02,0.15511,0.024864
1.03,0.15508,0.023436
1.04,0.15506,0.021737
1.05,0.15504,0.020314
1.06,0.15502,0.019468
1.07,0.155,0.019163
1.08,0.15498,0.019053
1.09,0.15495,0.018969
1.1,0.15492,0.019107
1.11,0.15489,0.019908
1.12,0.15486,0.021581
1.13,0.15483,0.02385
1.14,0.15481,0.026228
1.15,0.1548,0.028373
1.16,0.15479,0.029595
1.17,0.15479,0.029273
1.18,0.1548,0.027758
1.19,0.15481,0.025652
1.2,0.15484,0.023527
1.21,0.15486,0.022022
1.22,0.15489,0.021546
1.23,0.15491,0.022249
1.24,0.15494,0.023916
