t,Angle
0,-12.99665802
0.01,-12.99620579
0.02,-12.9969764
0.03,-13.00723723
0.04,-13.00744851
0.05,-13.02649589
0.06,-13.02703492
0.07,-13.04058922
0.08,-13.04095285
0.09,-13.05906647
0.1,-13.05915041
0.11,-13.08816919
0.12,-13.08824335
0.13,-13.09018196
0.14,-13.11068498
0.15,-13.11040933
0.16,-13.12631595
0.17,-13.12595239
0.18,-13.14094618
0.19,-13.14068382
0.2,-13.1552599
0.21,-13.16265662
0.22,-13.17065172
0.23,-13.17019986
0.24,-13.18420089
0.25,-13.18545002
0.26,-13.20274021
0.27,-13.20281873
0.28,-13.21654717
0.29,-13.21640294
0.3,-13.21817451
0.31,-13.23388601
0.32,-13.2338988
0.33,-13.23499157
0.34,-13.23789022
0.35,-13.23810017
0.36,-13.2411117
0.37,-13.24166477
0.38,-13.27354961
0.39,-13.2729932
0.4,-13.27357309
0.41,-13.27358502
0.42,-13.27831937
0.43,-13.2780181
0.44,-13.27935652
0.45,-13.27946112
0.46,-13.2852298
0.47,-13.28508307
0.48,-13.28531295
0.49,-13.28837041
0.5,-13.28833587
0.51,-13.28917071
0.52,-13.28925302
0.53,-13.29611148
0.54,-13.29590932
0.55,-13.29564954
0.56,-13.29575473
0.57,-13.29691126
0.58,-13.29707843
0.59,-13.29978589
0.6,-13.29997562
0.61,-13.31415819
0.62,-13.31411738
0.63,-13.31447589
0.64,-13.31456915
0.65,-13.3165652
0.66,-13.32306537
0.67,-13.3230679
0.68,-13.32315675
0.69,-13.33020906
0.7,-13.33024305
0.71,-13.33036775
0.72,-13.33066535
0.73,-13.34116099
0.74,-13.34124287
0.75,-13.3414
0.76,-13.34162995
0.77,-13.34205389
0.78,-13.36175323
0.79,-13.3617666
0.8,-13.36184084
0.81,-13.36204467
0.82,-13.36479762
0.83,-13.36513083
0.84,-13.38325193
0.85,-13.38329284
0.86,-13.38336486
0.87,-13.38348747
0.88,-13.38375971
0.89,-13.39995192
0.9,-13.39998899
0.91,-13.40011226
0.92,-13.40174784
0.93,-13.40203456
0.94,-13.40647135
0.95,-13.40676206
0.96,-13.42115495
0.97,-13.42120812
0.98,-13.4221372
0.99,-13.42223441
1,-13.43467831
1.01,-13.43443717
1.02,-13.43360821
1.03,-13.43356253
1.04,-13.43356819
1.05,-13.43367432
1.06,-13.43510094
1.07,-13.43519372
1.08,-13.43535258
1.09,-13.43549684
1.1,-13.43964132
1.11,-13.43980552
1.12,-13.46584707
1.13,-13.46564894
1.14,-13.46358679
1.15,-13.46334375
1.16,-13.46310669
1.17,-13.46264874
1.18,-13.46032428
1.19,-13.45169346
1.2,-13.45172698
1.21,-13.45178152
1.22,-13.45226142
1.23,-13.44617926
1.24,-13.44621465
1.25,-13.44681785
1.26,-13.44585436
1.27,-13.44051398
1.28,-13.44082534
1.29,-13.44038201
1.3,-13.43666635
1.31,-13.43659947
1.32,-13.43631804
1.33,-13.43197736
1.34,-13.43185053
1.35,-13.42339715
1.36,-13.42348028
1.37,-13.42335805
1.38,-13.40973679
1.39,-13.41028632
1.4,-13.41023999
1.41,-13.40923811
1.42,-13.40897089
1.43,-13.390448
1.44,-13.39132246
1.45,-13.39136128
1.46,-13.39106964
1.47,-13.39099279
1.48,-13.39076217
1.49,-13.39055018
1.5,-13.38715591
1.51,-13.38696408
1.52,-13.38684982
1.53,-13.38674658
1.54,-13.38098815
1.55,-13.38103246
1.56,-13.38104928
1.57,-13.38077383
1.58,-13.38074953
1.59,-13.38060776
1.6,-13.37971529
1.61,-13.37969388
1.62,-13.37067348
1.63,-13.370824
1.64,-13.37092775
1.65,-13.37034101
1.66,-13.36538943
1.67,-13.3657266
1.68,-13.36294708
1.69,-13.36307784
1.7,-13.35979347
1.71,-13.3597894
1.72,-13.35997689
1.73,-13.35726902
1.74,-13.3571967
1.75,-13.35379905
1.76,-13.35372114
1.77,-13.35315931
1.78,-13.35263921
1.79,-13.35263041
1.8,-13.35191245
1.81,-13.35150613
1.82,-13.35115851
1.83,-13.35082997
1.84,-13.35064414
1.85,-13.35056278
1.86,-13.35070014
1.87,-13.35110173
1.88,-13.3520734
1.89,-13.35218976
1.9,-13.35280364
1.91,-13.35292187
1.92,-13.35339876
1.93,-13.3534709
1.94,-13.3534222
1.95,-13.35275582
1.96,-13.350106
1.97,-13.34993129
1.98,-13.34838706
1.99,-13.34569835
2,-13.34262856
2.01,-13.33930946
2.02,-13.33565384
2.03,-13.33157633
2.04,-13.32688681
2.05,-13.32144874
2.06,-13.32119419
2.07,-13.31818567
2.08,-13.29997207
2.09,-13.2997174
2.1,-13.29959363
2.11,-13.29840643
2.12,-13.29324213
2.13,-13.28292701
2.14,-13.28293549
2.15,-13.28287874
2.16,-13.28067104
2.17,-13.28041508
2.18,-13.27119702
2.19,-13.27107987
