t,knee
0,-5.30543095
0.01,-5.30346181
0.02,-5.30263265
0.03,-5.31439444
0.04,-5.3098475
0.05,-5.29664321
0.06,-5.29146125
0.07,-5.29710085
0.08,-5.29078099
0.09,-5.29491627
0.1,-5.28719466
0.11,-5.27196988
0.12,-5.26544467
0.13,-5.26028715
0.14,-5.27047743
0.15,-5.26332747
0.16,-5.27042747
0.17,-5.26361214
0.18,-5.27368313
0.19,-5.26739474
0.2,-5.28091495
0.21,-5.28443127
0.22,-5.28708935
0.23,-5.28081417
0.24,-5.27793356
0.25,-5.27289195
0.26,-5.28436504
0.27,-5.27898038
0.28,-5.28442111
0.29,-5.27933184
0.3,-5.27534455
0.31,-5.27750846
0.32,-5.27308251
0.33,-5.26956194
0.34,-5.26655198
0.35,-5.26624796
0.36,-5.2635605
0.37,-5.26337012
0.38,-5.24384186
0.39,-5.24576142
0.4,-5.25014569
0.41,-5.25006539
0.42,-5.26702694
0.43,-5.26735255
0.44,-5.27226006
0.45,-5.27238304
0.46,-5.29143105
0.47,-5.29099827
0.48,-5.29250056
0.49,-5.3025336
0.5,-5.30229308
0.51,-5.30451746
0.52,-5.30448149
0.53,-5.32086976
0.54,-5.32016062
0.55,-5.31826792
0.56,-5.31799343
0.57,-5.31713045
0.58,-5.31691822
0.59,-5.31654481
0.6,-5.3163934
0.61,-5.32008579
0.62,-5.31971836
0.63,-5.31873814
0.64,-5.31853271
0.65,-5.31987496
0.66,-5.32402693
0.67,-5.3236747
0.68,-5.32349919
0.69,-5.32710709
0.7,-5.32684704
0.71,-5.32675451
0.72,-5.3268978
0.73,-5.32814274
0.74,-5.32787759
0.75,-5.32766888
0.76,-5.32745362
0.77,-5.32721796
0.78,-5.32149708
0.79,-5.32103515
0.8,-5.32052791
0.81,-5.31985965
0.82,-5.31603322
0.83,-5.31592125
0.84,-5.31119172
0.85,-5.31091102
0.86,-5.31050747
0.87,-5.30998739
0.88,-5.30924275
0.89,-5.30465426
0.9,-5.30429821
0.91,-5.3039204
0.92,-5.30223706
0.93,-5.30210054
0.94,-5.30150958
0.95,-5.30138255
0.96,-5.29981842
0.97,-5.29974149
0.98,-5.30037168
0.99,-5.30019117
1,-5.30544873
1.01,-5.30518245
1.02,-5.30549985
1.03,-5.30538717
1.04,-5.30535013
1.05,-5.30546873
1.06,-5.30730696
1.07,-5.30719711
1.08,-5.30710516
1.09,-5.30699283
1.1,-5.3070347
1.11,-5.30692396
1.12,-5.30009056
1.13,-5.30045718
1.14,-5.30462571
1.15,-5.30445551
1.16,-5.30435423
1.17,-5.30443643
1.18,-5.30529982
1.19,-5.30125622
1.2,-5.30134763
1.21,-5.30160959
1.22,-5.30550489
1.23,-5.30511377
1.24,-5.30525375
1.25,-5.30924644
1.26,-5.31190967
1.27,-5.31141087
1.28,-5.3137393
1.29,-5.316642
1.3,-5.31838494
1.31,-5.31841411
1.32,-5.32194287
1.33,-5.32410324
1.34,-5.32415323
1.35,-5.32583759
1.36,-5.32657203
1.37,-5.33120234
1.38,-5.32971634
1.39,-5.33265813
1.4,-5.33311454
1.41,-5.33646012
1.42,-5.33664037
1.43,-5.32647805
1.44,-5.32613766
1.45,-5.32626193
1.46,-5.32570193
1.47,-5.32566702
1.48,-5.32536716
1.49,-5.3251702
1.5,-5.31929979
1.51,-5.31892348
1.52,-5.31882117
1.53,-5.31876743
1.54,-5.3100581
1.55,-5.31032981
1.56,-5.31056722
1.57,-5.31157267
1.58,-5.31177305
1.59,-5.31219994
1.6,-5.31377861
1.61,-5.31377943
1.62,-5.31116042
1.63,-5.31223915
1.64,-5.3143377
1.65,-5.31557932
1.66,-5.31248437
1.67,-5.31459088
1.68,-5.3151869
1.69,-5.31705447
1.7,-5.31849975
1.71,-5.3185873
1.72,-5.3218708
1.73,-5.32430111
1.74,-5.3263816
1.75,-5.33202429
1.76,-5.33186605
1.77,-5.33118988
1.78,-5.33108858
1.79,-5.33108565
1.8,-5.32942839
1.81,-5.32870961
1.82,-5.32755918
1.83,-5.32587116
1.84,-5.32402449
1.85,-5.32163389
1.86,-5.31916043
1.87,-5.31626613
1.88,-5.31282438
1.89,-5.31285797
1.9,-5.30879552
1.91,-5.30888828
1.92,-5.30643226
1.93,-5.3065851
1.94,-5.30652785
1.95,-5.30642684
1.96,-5.30562567
1.97,-5.30571756
1.98,-5.3072076
1.99,-5.3081258
2,-5.30905037
2.01,-5.31020676
2.02,-5.3114482
2.03,-5.31276914
2.04,-5.31403753
2.05,-5.31520694
2.06,-5.31522224
2.07,-5.31840168
2.08,-5.31466412
2.09,-5.31748685
2.1,-5.31769186
2.11,-5.32136423
2.12,-5.32216097
2.13,-5.31963838
2.14,-5.3200085
2.15,-5.32263528
2.16,-5.32323143
2.17,-5.32317685
2.18,-5.32056735
2.19,-5.32183739
2.2,-5.32217443
2.21,-5.32193277
2.22,-5.32195579
2.23,-5.32123629
2.24,-5.3212288
2.25,-5.31981431
2.26,-5.31816294
2.27,-5.31807225
2.28,-5.31653607
2.29,-5.31648741
2.3,-5.31442109
2.31,-5.31203145
2.32,-5.31211789
2.33,-5.31087557
2.34,-5.31096754
2.35,-5.30955507
2.36,-5.30954622
2.37,-5.30813084
2.38,-5.3081977
2.39,-5.30828405
2.4,-5.30713581
2.41,-5.30228176
2.42,-5.3025528
2.43,-5.3032136
2.44,-5.30332294
2.45,-5.30302052
2.46,-5.3031682
2.47,-5.30324781
2.48,-5.30338367
2.49,-5.30364129
2.5,-5.30370966
2.51,-5.29652301
2.52,-5.2999845
2.53,-5.30034265
2.54,-5.30166444
2.55,-5.3018116
2.56,-5.29129869
2.57,-5.29167171
2.58,-5.29250068
2.59,-5.29262434
2.6,-5.28852914
2.61,-5.28850548
2.62,-5.28844912
2.63,-5.288397
2.64,-5.27933463
2.65,-5.279628
2.66,-5.27993967
2.67,-5.28027101
2.68,-5.28059893
2.69,-5.28061973
2.7,-5.28092778
2.71,-5.28098584
2.72,-5.27632083
2.73,-5.26727256
2.74,-5.2674043
2.75,-5.26327463
2.76,-5.25170956
2.77,-5.25191825
2.78,-5.25199348
2.79,-5.23401958
2.8,-5.23439596
2.81,-5.2347484
2.82,-5.23507497
2.83,-5.23409485
2.84,-5.23450833
2.85,-5.24143374
2.86,-5.24154426
2.87,-5.23907167
2.88,-5.23939565
2.89,-5.24536653
2.9,-5.24236351
2.91,-5.23950031
2.92,-5.23645872
2.93,-5.23331465
2.94,-5.23013608
2.95,-5.22698066
2.96,-5.22408473
2.97,-5.22151627
2.98,-5.21929845
2.99,-5.21807297
3,-5.21502464
3.01,-5.21281905
3.02,-5.21108403
3.03,-5.20950711
3.04,-5.20832926
3.05,-5.20861358
3.06,-5.20588501
3.07,-5.20620016
3.08,-5.20587716
3.09,-5.20566802
3.1,-5.20202011
3.11,-5.20253225
3.12,-5.20298405
3.13,-5.20342566
3.14,-5.20410644
3.15,-5.20466065
3.16,-5.21232471
3.17,-5.21313934
3.18,-5.21760035
3.19,-5.21841041
3.2,-5.22488792
3.21,-5.22546658
3.22,-5.22622638
3.23,-5.23976682
3.24,-5.24020832
3.25,-5.24053462
