t,Elongation,Activation
-0,0.17086,0
0.01,0.17085,0
0.02,0.16692,0.002236
0.03,0.16398,0.012817
0.04,0.1632,0.020058
0.05,0.16336,0.024855
0.06,0.16352,0.027901
0.07,0.16346,0.029418
0.08,0.16332,0.029498
0.09,0.1632,0.028677
0.1,0.1631,0.027376
0.11,0.16298,0.025771
0.12,0.16285,0.024243
0.13,0.16271,0.023572
0.14,0.16257,0.024077
0.15,0.16242,0.02583
0.16,0.16227,0.028438
0.17,0.16213,0.03122
0.18,0.16198,0.033393
0.19,0.16184,0.034622
0.2,0.1617,0.034992
0.21,0.16155,0.034443
0.22,0.16142,0.032935
0.23,0.16128,0.030563
0.24,0.16114,0.027743
0.25,0.16101,0.025006
0.26,0.16087,0.022732
0.27,0.16074,0.021257
0.28,0.1606,0.020802
0.29,0.16046,0.021178
0.3,0.16032,0.022128
0.31,0.16018,0.023385
0.32,0.16005,0.024727
0.33,0.15991,0.026067
0.34,0.15977,0.027276
0.35,0.15964,0.0282
0.36,0.15951,0.028603
0.37,0.15937,0.028422
0.38,0.15924,0.027607
0.39,0.15911,0.026306
0.4,0.15899,0.024791
0.41,0.15887,0.023464
0.42,0.15875,0.022877
0.43,0.15864,0.023271
0.44,0.15854,0.024567
0.45,0.15845,0.026428
0.46,0.15836,0.028211
0.47,0.15828,0.029505
0.48,0.15821,0.030329
0.49,0.15814,0.030851
0.5,0.15807,0.031132
0.51,0.15801,0.030931
0.52,0.15795,0.029963
0.53,0.15789,0.028139
0.54,0.15783,0.02588
0.55,0.15777,0.023801
0.56,0.15771,0.022264
0.57,0.15766,0.0212
0.58,0.1576,0.020515
0.59,0.15755,0.019793
0.6,0.15749,0.018894
0.61,0.15744,0.017974
0.62,0.15738,0.017296
0.63,0.15733,0.017003
0.64,0.15727,0.017207
0.65,0.15721,0.017903
0.66,0.15715,0.018937
0.67,0.15709,0.020208
0.68,0.15703,0.021567
0.69,0.15696,0.023017
0.7,0.1569,0.024332
0.71,0.15683,0.02544
0.72,0.15677,0.0263
0.73,0.1567,0.027192
0.74,0.15663,0.028207
0.75,0.15655,0.029002
0.76,0.15647,0.029189
0.77,0.15638,0.028828
0.78,0.15629,0.027847
0.79,0.15619,0.026531
0.8,0.15607,0.025316
0.81,0.15594,0.024654
0.82,0.1558,0.024671
0.83,0.15564,0.025276
0.84,0.15546,0.025962
0.85,0.15524,0.026478
0.86,0.15498,0.026471
0.87,0.15466,0.026043
0.88,0.15426,0.025715
0.89,0.15377,0.02598
0.9,0.15316,0.027595
0.91,0.15241,0.031782
0.92,0.15149,0.039652
0.93,0.15039,0.051702
0.94,0.14909,0.068018
0.95,0.14756,0.08764
0.96,0.14579,0.107782
0.97,0.14377,0.124853
0.98,0.14151,0.136339
0.99,0.139,0.139585
1,0.13625,0.131651
1.01,0.13327,0.115267
1.02,0.1301,0.095304
1.03,0.12674,0.074601
1.04,0.12324,0.058466
1.05,0.11963,0.0475
1.06,0.11595,0.040828
1.07,0.11225,0.03642
1.08,0.10857,0.032754
1.09,0.10497,0.029057
1.1,0.10149,0.025265
1.11,0.0981700000000001,0.021379
1.12,0.0950299999999999,0.017705
1.13,0.0921000000000001,0.014831
1.14,0.0893699999999999,0.013475
1.15,0.0868500000000001,0.014203
1.16,0.0845,0.017396
1.17,0.08229,0.023446
1.18,0.08019,0.032493
1.19,0.07816,0.043971
1.2,0.0761400000000001,0.056622
1.21,0.07412,0.067888
1.22,0.07206,0.073983
1.23,0.0699700000000001,0.072966
1.24,0.0678300000000001,0.065976
1.25,0.0656699999999999,0.055736
1.26,0.0634999999999999,0.044604
1.27,0.06135,0.035647
1.28,0.0592600000000001,0.028863
1.29,0.0572699999999999,0.023884
1.3,0.05541,0.019935
1.31,0.0537300000000001,0.016565
1.32,0.0522499999999999,0.014091
1.33,0.0509900000000001,0.012753
1.34,0.0499700000000001,0.012429
1.35,0.0491900000000001,0.012916
1.36,0.04864,0.01393
1.37,0.0482899999999999,0.014956
1.38,0.0481199999999999,0.01567
1.39,0.04644,0.015956
1.4,0.04453,0.015795
1.41,0.0433399999999999,0.015626
1.42,0.04284,0.015969
1.43,0.04264,0.017055
1.44,0.0424100000000001,0.018711
1.45,0.0420100000000001,0.020554
1.46,0.04139,0.022561
1.47,0.04053,0.024401
1.48,0.0394099999999999,0.025945
